case,window,D0,D1,T0,T1,B0,B1
sym_shared,peak1,0.2516589697084981,0.7439533275783322,0.0005029910258586204,0.0016908603307264304,0.0005029910258586204,0.0016908603307264308
sym_shared,valley,0.00682087926055066,0.6795718721708736,0.010739672489174115,0.1460639517951138,0.010739672489174113,0.14606395179511386
sym_shared,peak2,0.000950857985992898,0.8811529949058485,0.0007957198792804524,0.0581523536747989,0.0007957198792804526,0.05815235367479895
tb_asym_balanced,peak1,0.25212748004589675,0.7451733357948072,0.0005014754752017021,0.0016855988551275406,0.00011521304502774135,0.00039689678393894733
tb_asym_balanced,valley,0.0078022068333101985,0.7716126033100377,0.012094441214298144,0.164159529022078,0.003012305894098139,0.04131891372617794
tb_asym_balanced,peak2,0.0009872983926914238,0.9246675760719796,0.0007696463567776454,0.05857631670980201,0.0001980055223929262,0.014801156946356402
dir_asym_easy_out_balanced,peak1,0.25277729617437733,0.7447038077695325,0.0002198120908165613,0.0010396359372284295,0.00021981209081656139,0.0010396359372284295
dir_asym_easy_out_balanced,valley,0.007605658580268906,0.7388339488326617,0.0030619574041316445,0.12371823888940309,0.0030619574041316445,0.12371823888940309
dir_asym_easy_out_balanced,peak2,0.0009760164201361069,0.9057455126060149,0.00019856604314270662,0.046440669443781744,0.0001985660431427067,0.046440669443781765
dir_asym_easy_in_balanced,peak1,0.25153520617634345,0.7458008745009558,0.0003664585309935828,0.0009655011303568843,0.00036645853099358293,0.0009655011303568843
dir_asym_easy_in_balanced,valley,0.008093086390353674,0.8082314813521655,0.01231604603921843,0.07952167008952205,0.012316046039218428,0.07952167008952207
dir_asym_easy_in_balanced,peak2,0.0010013604487109705,0.9439726076597944,0.0008010789824885265,0.026711936963258805,0.0008010789824885266,0.02671193696325881
