case,display_name,style,base_start_x,base_start_y,target_x,target_y,x_gate,start_x,start_y,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,0,0,1,602,1424,1920,0.2567237399810883,0.7625108475556841
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,1,0,1,602,1424,1920,0.2569514015646506,0.7622903412377097
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,2,0,1,602,1424,1920,0.25749355969142523,0.7616295868246171
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,3,0,1,602,1425,1920,0.25844151028237905,0.7611897198960439
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,4,0,1,604,1427,1921,0.2598692713061318,0.7597346408999135
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,5,0,1,608,1431,1924,0.2617882605018375,0.7587200922456039
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,6,0,1,615,1438,1930,0.2641491447030646,0.7577067127628926
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,7,0,1,623,1447,1937,0.26684563018551066,0.7566945004319032
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,8,0,1,633,1457,1946,0.2697547295206423,0.7561186294270084
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,9,0,1,644,1469,1956,0.2727761770247116,0.7557603686635944
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,10,0,1,656,1481,1966,0.2758423574819034,0.7548256986459234
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,11,0,1,668,1493,1977,0.27891677249738167,0.7546843470740847
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,12,0,1,681,1507,1988,0.28198070471053344,0.7539659648110758
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,13,0,1,694,1520,1999,0.2850287075093718,0.7532467532467533
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,14,0,1,706,1533,2010,0.2880598666233501,0.7531042448743863
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,15,0,1,719,1547,2022,0.2910752602452893,0.7531791907514451
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,16,0,1,732,1561,2033,0.2940773077338532,0.7528935185185185
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,17,0,1,746,1574,2045,0.2970665399777997,0.7523892267593397
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,18,0,1,759,1588,2056,0.30004403476400077,0.7516661837148653
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,19,0,1,772,1602,2067,0.30300982501958595,0.7511600928074246
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,20,0,1,785,1616,2079,0.3059633264885695,0.7514518002322881
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,21,0,1,798,1630,2090,0.30890357539250857,0.7511627906976744
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,22,0,1,811,1644,2102,0.31182935966215264,0.7514551804423748
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,23,0,1,824,1658,2113,0.31473932511291053,0.7509466938537722
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,24,0,1,837,1672,2125,0.3176320540687835,0.7512394284047827
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,25,0,1,850,1687,2136,0.3205058527453524,0.7511682242990654
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,26,0,1,863,1701,2148,0.32335935743756794,0.7512423268050278
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,27,0,1,877,1715,2159,0.3261911809184479,0.7503658179689786
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,28,0,1,890,1730,2171,0.32899957976419464,0.7508792497069168
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,29,0,1,903,1744,2182,0.3317835813029022,0.7503666764447052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,30,0,1,916,1759,2193,0.33454189619645175,0.7502937720329025
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,31,0,1,929,1773,2205,0.3372730730170019,0.7508090614886731
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,32,0,1,942,1788,2216,0.3399758469322276,0.7505154639175258
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,33,0,1,955,1802,2228,0.3426489245883365,0.7505896226415094
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,34,0,1,968,1817,2239,0.3452904647155504,0.7505166814289932
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,35,0,1,981,1832,2251,0.3478992336120869,0.750812887969258
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,36,0,1,994,1846,2262,0.35047320874689264,0.7507400828892836
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,37,0,1,1007,1861,2273,0.3530100584632543,0.7506670619626445
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,38,0,1,1021,1876,2285,0.35550720868710384,0.7503710299792223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,39,0,1,1034,1891,2296,0.3579619850255463,0.750074294205052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,40,0,1,1047,1905,2308,0.3603705537258451,0.7508186960404882
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,41,0,1,1060,1920,2319,0.36272898054906355,0.7507453786523554
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,42,0,1,1073,1935,2330,0.365032508366747,0.7506718423409973
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,43,0,1,1086,1949,2342,0.36727543708525584,0.7511961722488039
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,44,0,1,1099,1964,2353,0.3694520924667555,0.7511230907457322
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,45,0,1,1112,1978,2364,0.37155676119505104,0.7510497900419916
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,46,0,1,1125,1993,2376,0.3735844605929357,0.7515770501652148
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,47,0,1,136,464,1137,0.04721927846334615,0.5053003533568905
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,48,0,2,116,476,1150,0.048094106944756417,1.9024839006439742
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,49,0,2,100,489,1162,0.04895974687027193,2.0561471442400774
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,50,0,2,87,501,1174,0.04981603787655608,2.16318407960199
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,51,0,2,76,512,1186,0.05066131395652118,2.2469635627530367
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,52,0,2,67,524,1198,0.0514918865070831,2.3223819301848048
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,53,0,2,59,535,1209,0.04875009979376923,2.383419689119171
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,54,0,2,53,545,1221,0.03237027925874288,2.4384133611691023
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,55,0,2,48,555,1232,0.022233393549415913,2.484784889821616
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,56,0,2,44,565,1242,0.016058682176680356,2.524762908324552
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,57,0,2,42,574,1252,0.012313181722688438,2.558139534883721
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,58,0,2,40,581,1260,0.010109610310783026,2.582010582010582
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,59,0,2,39,585,1264,0.009024209693667058,2.5980911983032873
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,0,1,1,597,1420,1915,0.25647215878902957,0.7616295868246171
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,1,1,1,596,1419,1915,0.25671432029922026,0.7617672538261623
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,2,1,1,596,1419,1914,0.2572944811945785,0.7607503607503607
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,3,1,1,596,1419,1914,0.2583228361768922,0.7598731622946094
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,4,1,1,598,1421,1915,0.2598859451190639,0.7584221134465879
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,5,1,1,603,1426,1919,0.2619538054680637,0.757410071942446
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,6,1,1,611,1434,1926,0.26443881609502645,0.7566168009205984
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,7,1,1,620,1444,1934,0.2672029469785108,0.7560414269275029
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,8,1,1,631,1455,1944,0.2701238856336094,0.75568345323741
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,9,1,1,643,1467,1954,0.27312102956074785,0.7547495682210709
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,10,1,1,655,1480,1965,0.276148060407353,0.7546082949308756
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,11,1,1,668,1493,1976,0.279181400965959,0.7536732929991357
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,12,1,1,680,1506,1987,0.2822106930923123,0.7537485582468282
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,13,1,1,693,1520,1998,0.2852314509761495,0.7530294287362954
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,14,1,1,706,1533,2010,0.28824305330897443,0.7531042448743863
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,15,1,1,719,1547,2021,0.2912460991106917,0.7523837041317538
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,16,1,1,732,1560,2033,0.29424049685961684,0.7524580682475419
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,17,1,1,745,1574,2044,0.29722586405890183,0.7521713954834974
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,18,1,1,759,1588,2056,0.30020153768914865,0.7516661837148653
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,19,1,1,772,1602,2067,0.3031667795481906,0.7511600928074246
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,20,1,1,785,1616,2079,0.3061203939572459,0.7514518002322881
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,21,1,1,798,1630,2090,0.30906095149139645,0.7509444928799768
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,22,1,1,811,1644,2102,0.31198693078730366,0.7514551804423748
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,23,1,1,824,1658,2113,0.31489678240617647,0.7509466938537722
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,24,1,1,837,1672,2125,0.3177889737036272,0.7512394284047827
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,25,1,1,850,1687,2136,0.3206616344304888,0.7511682242990654
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,26,1,1,863,1701,2148,0.32351359173537897,0.7510227936879018
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,27,1,1,877,1715,2159,0.32634335579594287,0.7503658179689786
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,28,1,1,890,1730,2170,0.32914903174683047,0.7500732493407559
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,29,1,1,903,1744,2182,0.3319299856650812,0.7503666764447052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,30,1,1,916,1759,2193,0.33468461952382517,0.7502937720329025
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,31,1,1,929,1773,2205,0.3374118640651838,0.7505882352941177
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,32,1,1,942,1788,2216,0.3401101116444775,0.7505154639175258
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,33,1,1,955,1803,2228,0.34277840016942135,0.7505896226415094
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,34,1,1,968,1817,2239,0.34541476137283894,0.7505166814289932
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,35,1,1,981,1832,2251,0.3480179516594724,0.750812887969258
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,36,1,1,994,1847,2262,0.35058618560314114,0.7507400828892836
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,37,1,1,1008,1861,2273,0.3531168938394184,0.7500741179958494
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,38,1,1,1021,1876,2285,0.3556076586436983,0.7501483679525223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,39,1,1,1034,1891,2296,0.35805590283521166,0.750074294205052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,40,1,1,1047,1905,2308,0.3604579793674888,0.7508186960404882
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,41,1,1,1060,1920,2319,0.36280964948744976,0.7507453786523554
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,42,1,1,1073,1935,2330,0.36510638713421306,0.7506718423409973
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,43,1,1,1086,1949,2342,0.367342692651946,0.7511961722488039
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,44,1,1,1099,1964,2353,0.36951265125354105,0.7511230907457322
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,45,1,1,1112,1978,2364,0.37161090281823556,0.7510497900419916
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,46,1,1,1125,1993,2376,0.37363231162415117,0.7513513513513513
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,47,1,1,134,464,1137,0.04727120472797226,0.5061821852132223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,48,1,2,115,477,1150,0.04813388452243966,1.9113573407202216
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,49,1,2,99,489,1162,0.04899116767376614,2.060077519379845
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,50,1,2,86,501,1174,0.04984250226515917,2.165174129353234
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,51,1,2,74,513,1186,0.05068711139858256,2.251012145748988
