scan_type,kappa_top,kappa_bottom,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,rollback_total,no_leak_total,leak_total,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,peak2_dominant_gate_family,peak2_dominant_gate_frac,L0R0,L0R1,L1R0,L1R1,N,P,Q
tb,0.0,0.0,2,395,1083,1711,0.05793243436724379,1.8693181818181819,0.8713278659788961,1.0,0.0,L0R1,0.9989575532179625,N,1.0,0.0010424467820374494,0.9989575532179625,0.0,0.0,1.0,0.0,0.0
tb,0.00025,0.0,2,395,1083,1710,0.05926933808510347,1.8534178999295279,0.8715228174806858,0.9937168641391435,0.00628313586085656,L0R1,0.9915957805423969,N,0.9926323962176914,0.0010366156752944372,0.9915957805423969,8.01789315952493e-05,0.007287424850713245,0.9926323962176914,0.001799835955517341,0.005567767826791154
tb,0.0005,0.0,2,395,1083,1710,0.0606005420794644,1.8391608391608392,0.8717160220005109,0.9874980277778156,0.012501972222184328,L0R1,0.9842794402998227,N,0.985307344580826,0.0010279042810031572,0.9842794402998227,0.0001597554195644099,0.014532899999609604,0.985307344580826,0.003608990310941431,0.011083665108232586
tb,0.00075,0.0,2,395,1082,1709,0.061925666267993076,1.8212058212058213,0.8719075033830959,0.9813425839648218,0.018657416035178325,L0R1,0.9769983186412781,N,0.9780204566379945,0.0010221379967164416,0.9769983186412781,0.00023986781366068695,0.02173967554834479,0.9780204566379945,0.005429817943393831,0.016549725418611664
tb,0.001,0.0,2,395,1082,1708,0.06324519099140291,1.8035714285714286,0.8720972850096324,0.9752496416529941,0.02475035834700599,L0R1,0.9697571503956419,N,0.9707735458554199,0.0010163954597778853,0.9697571503956419,0.00032014301336492874,0.028906311131215324,0.9707735458554199,0.007261119009451341,0.0219653351351289
tb,0.00125,0.0,2,395,1082,1707,0.06455915689621491,1.7862491490810075,0.8722853898097597,0.9692183253603855,0.030781674639614464,L0R1,0.9625561791474615,N,0.9635668560920699,0.0010106769446086429,0.9625561791474615,0.00040058548989880394,0.03603255841803116,0.9635668560920699,0.009102588038141892,0.02733055586978809
tb,0.0015,0.0,2,395,1082,1706,0.06586760202909843,1.768037761294673,0.8724718402731492,0.9632477748403512,0.03675222515964884,L0R1,0.9553956335380261,N,0.9564006162518467,0.0010049827138205155,0.9553956335380261,0.00048119949147255024,0.043118184256680826,0.9564006162518467,0.010953924096390868,0.03264545965176251
tb,0.00175,0.0,2,395,1081,1705,0.06717037684021931,1.7489986648865155,0.8726566584607469,0.9573371447602348,0.042662855239765166,L0R1,0.9482757275561859,N,0.9492750405745969,0.0009993130184108782,0.9482757275561859,0.0005619890510695323,0.05016297037433356,0.9492750405745969,0.012814830772948942,0.03791012865245418
tb,0.002,0.0,2,394,1081,1704,0.06846736141633934,1.7316589557171183,0.8728398660156479,0.9514856043883857,0.04851439561161429,L0R1,0.941196660830158,N,0.9421903289281177,0.0009936680979597385,0.941196660830158,0.0006429579940147107,0.05716671307786762,0.9421903289281177,0.014685016160068455,0.0431246549118139
tb,0.0025,0.0,2,394,1081,1702,0.07104479222802758,1.6932038834951457,0.8732015337734292,0.939956541026173,0.06004345897382709,L0R1,0.9271617736100931,N,0.9281442270944541,0.0009824534843608998,0.9271617736100931,0.0008054483368879181,0.07105032456865801,0.9281442270944541,0.0184520778276842,0.05340369507786172
