case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,left_full,4,7,0.0007826245655596072,1
sym_shared,peak1,369,421,left_full,4,8,0.000691462731161354,2
sym_shared,peak1,369,421,left_full,4,6,0.0006914627311613539,3
sym_shared,peak1,369,421,left_full,4,5,0.0004898904631612669,4
sym_shared,peak1,369,421,left_full,4,9,0.0004898904631612669,5
sym_shared,peak1,369,421,left_full,3,7,0.0004540735063183242,6
sym_shared,peak1,369,421,left_full,3,8,0.0004095241292072404,7
sym_shared,peak1,369,421,left_full,3,6,0.00040952412920724037,8
sym_shared,peak1,369,421,left_full,3,5,0.0002976085327407224,9
sym_shared,peak1,369,421,left_full,3,9,0.0002976085327407224,10
sym_shared,peak1,369,421,left_full,2,7,0.00028239326090291416,11
sym_shared,peak1,369,421,left_full,2,6,0.00026025791944423447,12
sym_shared,peak1,369,421,left_full,2,8,0.00026025791944423447,13
sym_shared,peak1,369,421,left_full,2,9,0.00020270606576066984,14
sym_shared,peak1,369,421,left_full,2,5,0.0002027060657606698,15
sym_shared,peak1,369,421,left_full,1,7,0.00019305190973291448,16
sym_shared,peak1,369,421,left_full,1,6,0.00018226087415752732,17
sym_shared,peak1,369,421,left_full,1,8,0.00018226087415752732,18
sym_shared,peak1,369,421,left_full,4,4,0.00015540282437498168,19
sym_shared,peak1,369,421,left_full,4,10,0.00015540282437498162,20
sym_shared,peak1,369,421,left_full,1,5,0.00015418213256197328,21
sym_shared,peak1,369,421,left_full,1,9,0.00015418213256197328,22
sym_shared,peak1,369,421,left_full,3,4,0.00015115981715168821,23
sym_shared,peak1,369,421,left_full,3,10,0.00015115981715168821,24
sym_shared,peak1,369,421,left_full,0,7,0.0001489873648116646,25
sym_shared,peak1,369,421,left_full,0,6,0.00014369484245233525,26
sym_shared,peak1,369,421,left_full,0,8,0.00014369484245233525,27
sym_shared,peak1,369,421,left_full,0,9,0.0001322500948969551,28
sym_shared,peak1,369,421,left_full,0,5,0.00013225009489695506,29
sym_shared,peak1,369,421,left_full,2,10,0.00012891953699495782,30
sym_shared,peak1,369,421,left_full,2,4,0.0001289195369949578,31
sym_shared,peak1,369,421,left_full,0,10,0.0001269836023001048,32
sym_shared,peak1,369,421,left_full,0,4,0.00012698360230010478,33
sym_shared,peak1,369,421,left_full,1,10,0.00011661942345879623,34
sym_shared,peak1,369,421,left_full,1,4,0.00011661942345879616,35
sym_shared,peak1,369,421,left_full,0,11,0.00010077028107042587,36
sym_shared,peak1,369,421,left_full,0,3,0.00010077028107042586,37
sym_shared,peak1,369,421,left_full,1,3,8.246909764741076e-05,38
sym_shared,peak1,369,421,left_full,1,11,8.246909764741076e-05,39
sym_shared,peak1,369,421,left_full,2,3,7.853791746904243e-05,40
sym_shared,peak1,369,421,left_full,2,11,7.853791746904241e-05,41
sym_shared,peak1,369,421,left_full,3,3,7.741179961856558e-05,42
sym_shared,peak1,369,421,left_full,3,11,7.741179961856558e-05,43
sym_shared,peak1,369,421,left_full,0,12,7.549353574963647e-05,44
sym_shared,peak1,369,421,left_full,0,2,7.549353574963644e-05,45
sym_shared,peak1,369,421,left_full,4,3,6.64905108744247e-05,46
sym_shared,peak1,369,421,left_full,4,11,6.64905108744247e-05,47
sym_shared,peak1,369,421,left_full,0,13,5.814204365177722e-05,48
sym_shared,peak1,369,421,left_full,0,1,5.8142043651777214e-05,49
sym_shared,peak1,369,421,left_full,1,12,5.764013921358792e-05,50
sym_shared,peak1,369,421,left_full,1,2,5.764013921358789e-05,51
sym_shared,peak1,369,421,left_full,0,14,4.9682939967356754e-05,52
sym_shared,peak1,369,421,left_full,0,0,4.9682939967356734e-05,53
sym_shared,peak1,369,421,left_full,2,12,4.9175508914818025e-05,54
sym_shared,peak1,369,421,left_full,2,2,4.917550891481802e-05,55
sym_shared,peak1,369,421,left_full,3,12,4.304909341487907e-05,56
sym_shared,peak1,369,421,left_full,3,2,4.3049093414879064e-05,57
sym_shared,peak1,369,421,left_full,1,13,4.252483476206057e-05,58
sym_shared,peak1,369,421,left_full,1,1,4.252483476206056e-05,59
sym_shared,peak1,369,421,left_full,1,0,3.5563803541970055e-05,60
sym_shared,peak1,369,421,left_full,1,14,3.5563803541970055e-05,61
sym_shared,peak1,369,421,left_full,4,2,3.426155927719787e-05,62
sym_shared,peak1,369,421,left_full,4,12,3.426155927719787e-05,63
sym_shared,peak1,369,421,left_full,2,1,3.3700041607745155e-05,64
sym_shared,peak1,369,421,left_full,2,13,3.3700041607745155e-05,65
sym_shared,peak1,369,421,left_full,3,1,2.732038873136207e-05,66
sym_shared,peak1,369,421,left_full,3,13,2.732038873136207e-05,67
sym_shared,peak1,369,421,left_full,2,14,2.712347659526012e-05,68
sym_shared,peak1,369,421,left_full,2,0,2.7123476595260115e-05,69
sym_shared,peak1,369,421,left_full,3,14,2.113162163542835e-05,70
sym_shared,peak1,369,421,left_full,3,0,2.1131621635428345e-05,71
