t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016224000000000002,0.016224000000000002,0.0,0.016224000000000002,0.0,0.0,0.0,0.0,0.0
5,0.0129792,0.0129792,0.0,0.0129792,0.0,0.0,0.0,0.0,0.0
6,0.016405708800000005,0.016405708800000005,0.0,0.016405708800000002,0.0,0.0,0.0,0.0,0.0
7,0.014495170559999996,0.014495170559999996,0.0,0.01449517056,0.0,0.0,0.0,0.0,0.0
8,0.014602520657919997,0.014602520657919997,0.0,0.01460252065792,0.0,0.0,0.0,0.0,0.0
9,0.013316263247871997,0.013316263247871997,0.0,0.013316263247871997,0.0,0.0,0.0,0.0,0.0
10,0.012664291287105535,0.012664291287105535,0.0,0.012659205297769474,5.085989336064003e-06,0.0,0.0,0.0,0.0
11,0.011680787225116673,0.011680787225116673,0.0,0.011670615246444544,1.0171978672128003e-05,0.0,0.0,0.0,0.0
12,0.010932484349990139,0.010932484349990139,0.0,0.010911069674521661,2.141467546848215e-05,0.0,0.0,0.0,0.0
13,0.010138727510617406,0.010138727510617406,0.0,0.010105234971956,3.349253866141189e-05,0.0,0.0,0.0,0.0
14,0.009457958185038468,0.009457958185038468,0.0,0.00940793994940345,5.001823563502064e-05,0.0,0.0,0.0,0.0
15,0.008804388141088722,0.008804388141088722,0.0,0.008736923539907009,6.746460118171434e-05,0.0,0.0,0.0,0.0
16,0.008220409839727971,0.008220409839727971,0.0,0.008133147575312898,8.726226441507755e-05,0.0,0.0,0.0,0.0
17,0.007677119492029087,0.007677119492029087,0.0,0.007569694841270138,0.00010742465075895481,0.0,0.0,0.0,0.0
18,0.007183832194909526,0.007183832194909526,0.0,0.007055530948113178,0.00012830124679635217,0.0,0.0,0.0,0.0
19,0.00672899057391386,0.00672899057391386,0.0,0.00658014758092667,0.00014884299298719396,0.0,0.0,0.0,0.0
20,0.00631278006686696,0.00631278006686696,0.0,0.006143757289104048,0.00016902277776291802,0.0,0.0,0.0,0.0
21,0.005929389518233819,0.005929389518233819,0.0,0.005741079806255599,0.00018830971197822318,0.0,0.0,0.0,0.0
22,0.005576812562025001,0.005576812562025001,0.0,0.005370201592026643,0.00020661096999836294,0.0,0.0,0.0,0.0
23,0.005251449117688446,0.005251449117688446,0.0,0.005027770357427891,0.00022367876026055926,0.0,0.0,0.0,0.0
24,0.0049510614326847375,0.0049510614326847375,0.0,0.004711605313689584,0.00023945611899515857,0.0,0.0,0.0,0.0
25,0.004673102273816126,0.004673102273816126,0.0,0.004419250408016227,0.0002538518657999034,0.0,0.0,0.0,0.0
26,0.004415600189411007,0.004415600189411007,0.0,0.00414873933114215,0.0002668608582688608,0.0,0.0,0.0,0.0
27,0.004176626699417597,0.004176626699417597,0.0,0.0038981479707154735,0.00027847872870212807,0.0,0.0,0.0,0.0
28,0.003954552964123048,0.003954552964123048,0.0,0.0036658120190243473,0.00028874094509870525,0.0,0.0,0.0,0.0
