level,window,family,fraction
fine,peak1,N_direct,0.9822381399111667
fine,peak1,N_detour,0.017761860088833303
fine,peak1,F_clean,0.0
fine,peak1,F_linger,0.0
fine,peak1,F_rollback,0.0
fine,valley,N_direct,0.26714198780283255
fine,valley,N_detour,0.4100132017021388
fine,valley,F_clean,0.08991975211415565
fine,valley,F_linger,0.22815825271067666
fine,valley,F_rollback,0.004766805670196301
fine,peak2,N_direct,3.7411186822988166e-06
fine,peak2,N_detour,3.489057188184418e-05
fine,peak2,F_clean,0.2636788270825823
fine,peak2,F_linger,0.623582603928517
fine,peak2,F_rollback,0.11269993729833652
coarse,peak1,N_direct,0.9822381399111667
coarse,peak1,N_detour,0.017761860088833303
coarse,peak1,F_no_return,0.0
coarse,peak1,F_rollback,0.0
coarse,valley,N_direct,0.26714198780283255
coarse,valley,N_detour,0.4100132017021388
coarse,valley,F_no_return,0.31807800482483234
coarse,valley,F_rollback,0.004766805670196301
coarse,peak2,N_direct,3.7411186822988174e-06
coarse,peak2,N_detour,3.489057188184419e-05
coarse,peak2,F_no_return,0.8872614310110994
coarse,peak2,F_rollback,0.11269993729833654
