t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.004569760000000001,0.004569760000000001,0.0,0.004569760000000001,0.0,0.0,0.0,0.0,0.0
6,0.004569759999999999,0.004569759999999999,0.0,0.004569759999999999,0.0,0.0,0.0,0.0,0.0
7,0.0072794448896,0.0072794448896,0.0,0.0072794448896,0.0,0.0,0.0,0.0,0.0
8,0.007632157245439999,0.007632157245439999,0.0,0.0076321572454400004,0.0,0.0,0.0,0.0,0.0
9,0.008820411538831358,0.008820411538831358,0.0,0.00882041153883136,0.0,0.0,0.0,0.0,0.0
10,0.009041210409474044,0.009041210409474044,0.0,0.00904121040947405,0.0,0.0,0.0,0.0,0.0
11,0.009441407649017181,0.009441407649017181,0.0,0.009441143177571708,2.644714454753282e-07,0.0,0.0,0.0,0.0
12,0.009453975267698433,0.009453975267698433,0.0,0.009453393430518396,5.818371800457218e-07,0.0,0.0,0.0,0.0
13,0.009472562019197535,0.009472562019197535,0.0,0.009470917853115312,1.6441660822310196e-06,0.0,0.0,0.0,0.0
14,0.009331967027221267,0.009331967027221267,0.0,0.009328902416741967,3.06461047930555e-06,0.0,0.0,0.0,0.0
15,0.009168569567010267,0.009168569567010267,0.0,0.009163010302285753,5.5592647245201865e-06,0.0,0.0,0.0,0.0
16,0.008938992608744704,0.008938992608744704,0.0,0.008930217999965889,8.77460877882228e-06,0.0,0.0,0.0,0.0
17,0.008692485337202668,0.008692485337202668,0.0,0.00867931908296435,1.3166254238327016e-05,0.0,0.0,0.0,0.0
18,0.008420201454133656,0.008420201454133656,0.0,0.00840173700241814,1.8464451715524328e-05,0.0,0.0,0.0,0.0
19,0.008141081814141424,0.008141081814141424,0.0,0.00811622924313728,2.485257100415182e-05,0.0,0.0,0.0,0.0
20,0.007854925136014256,0.007854925136014256,0.0,0.007822809400850773,3.211573516349069e-05,0.0,0.0,0.0,0.0
21,0.007569535265410027,0.007569535265410027,0.0,0.007529277731271844,4.025753413819221e-05,0.0,0.0,0.0,0.0
22,0.007286180413305582,0.007286180413305582,0.0,0.00723708785944348,4.909255386211334e-05,0.0,0.0,0.0,0.0
23,0.007008240544596513,0.007008240544596513,0.0,0.006949705668043874,5.853487655264842e-05,0.0,0.0,0.0,0.0
24,0.0067367386466101135,0.0067367386466101135,0.0,0.006668317464240497,6.842118236962602e-05,0.0,0.0,0.0,0.0
25,0.006473133746936846,0.006473133746936846,0.0,0.006394497737902559,7.863600903429459e-05,0.0,0.0,0.0,0.0
26,0.006217970707373495,0.006217970707373495,0.0,0.006128930863139281,8.903984423422372e-05,0.0,0.0,0.0,0.0
27,0.005971803451380064,0.005971803451380064,0.0,0.005872282923892509,9.952052748756225e-05,0.0,0.0,0.0,0.0
28,0.005734801761660644,0.005734801761660644,0.0,0.00562483667334884,0.00010996508831181208,0.0,0.0,0.0,0.0
