level,window,family,fraction
fine,peak1,N_direct,0.9892297044062106
fine,peak1,N_detour,0.010770295593789458
fine,peak1,F_clean,0.0
fine,peak1,F_linger,0.0
fine,peak1,F_rollback,0.0
fine,valley,N_direct,0.3376340279580821
fine,valley,N_detour,0.33695327267518294
fine,valley,F_clean,0.08638242485882162
fine,valley,F_linger,0.23339321332244567
fine,valley,F_rollback,0.005637061185467706
fine,peak2,N_direct,1.747067000239342e-05
fine,peak2,N_detour,6.934556892983715e-05
fine,peak2,F_clean,0.28762127334204113
fine,peak2,F_linger,0.5990719042808481
fine,peak2,F_rollback,0.11322000613817858
coarse,peak1,N_direct,0.9892297044062106
coarse,peak1,N_detour,0.010770295593789458
coarse,peak1,F_no_return,0.0
coarse,peak1,F_rollback,0.0
coarse,valley,N_direct,0.3376340279580821
coarse,valley,N_detour,0.33695327267518294
coarse,valley,F_no_return,0.31977563818126725
coarse,valley,F_rollback,0.005637061185467705
coarse,peak2,N_direct,1.7470670002393424e-05
coarse,peak2,N_detour,6.934556892983717e-05
coarse,peak2,F_no_return,0.8866931776228891
coarse,peak2,F_rollback,0.11322000613817859
