t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.00012113920000000002,0.00012113920000000002,0.0,0.00012113920000000005,0.0,0.0,0.0,0.0,0.0
9,0.00019382271999999996,0.00019382271999999996,0.0,0.00019382272,0.0,0.0,0.0,0.0,0.0
10,0.00035051454464,0.00035051454464,0.0,0.00035051454464000005,0.0,0.0,0.0,0.0,0.0
11,0.00046844182528000004,0.00046844182528000004,0.0,0.00046844182528000004,0.0,0.0,0.0,0.0,0.0
12,0.0006178500994498559,0.0006178500994498559,0.0,0.0006178500994498561,0.0,0.0,0.0,0.0,0.0
13,0.0007403225655148543,0.0007403225655148543,0.0,0.0007403225655148547,0.0,0.0,0.0,0.0,0.0
14,0.0008657474318915072,0.0008657474318915072,0.0,0.000865126680372542,6.207515189657605e-07,0.0,0.0,0.0,0.0
15,0.0009710794947212134,0.0009710794947212134,0.0,0.0009693413904681095,1.7381042531041294e-06,0.0,0.0,0.0,0.0
16,0.0010682965178406118,0.0010682965178406118,0.0,0.0010643399497332264,3.956568107385882e-06,0.0,0.0,0.0,0.0
17,0.0011496313705019502,0.0011496313705019502,0.0,0.0011425322861682492,7.0990843337016086e-06,0.0,0.0,0.0,0.0
18,0.0012201767407541734,0.0012201767407541734,0.0,0.0012086990536117526,1.1477687142421317e-05,0.0,0.0,0.0,0.0
19,0.0012780145374529364,0.0012780145374529364,0.0,0.001261116609107137,1.6897928345800323e-05,0.0,0.0,0.0,0.0
20,0.0013257001325265748,0.0013257001325265748,0.0,0.0013022785463242266,2.3421586202349006e-05,0.0,0.0,0.0,0.0
21,0.0013633316789796992,0.0013633316789796992,0.0,0.0013324798436920179,3.0851835287682574e-05,0.0,0.0,0.0,0.0
22,0.0013924724395316082,0.0013924724395316082,0.0,0.0013533591505540301,3.911328897757901e-05,0.0,0.0,0.0,0.0
23,0.0014137953802051235,0.0014137953802051235,0.0,0.0013657748737852127,4.8020506419911585e-05,0.0,0.0,0.0,0.0
24,0.0014283997749900816,0.0014283997749900816,0.0,0.0013709524356703188,5.7447339319763714e-05,0.0,0.0,0.0,0.0
25,0.0014370275104280043,0.0014370275104280043,0.0,0.001369796064947105,6.723144548090051e-05,0.0,0.0,0.0,0.0
26,0.001440503242358391,0.001440503242358391,0.0,0.0013632591207158595,7.724412164253279e-05,0.0,0.0,0.0,0.0
27,0.0014394804125777885,0.0014394804125777885,0.0,0.0013521276863874558,8.735272619033385e-05,0.0,0.0,0.0,0.0
28,0.0014345908144925597,0.0014345908144925597,0.0,0.0013371432826469935,9.744753184556709e-05,0.0,0.0,0.0,0.0
