level,window,family,fraction
fine,peak1,N_direct,0.8981312310050091
fine,peak1,N_detour,0.10186876899499091
fine,peak1,F_clean,4.993479960268436e-27
fine,peak1,F_linger,0.0
fine,peak1,F_rollback,0.0
fine,valley,N_direct,0.262442078865624
fine,valley,N_detour,0.42347337096577725
fine,valley,F_clean,0.28733772119565304
fine,valley,F_linger,0.021708947184636493
fine,valley,F_rollback,0.005037881788309328
fine,peak2,N_direct,2.7660084693614285e-06
fine,peak2,N_detour,2.902547638058152e-05
fine,peak2,F_clean,0.7480574261650694
fine,peak2,F_linger,0.12679579273279679
fine,peak2,F_rollback,0.1251149896172839
coarse,peak1,N_direct,0.8981312310050091
coarse,peak1,N_detour,0.10186876899499091
coarse,peak1,F_no_return,4.993479960268436e-27
coarse,peak1,F_rollback,0.0
coarse,valley,N_direct,0.262442078865624
coarse,valley,N_detour,0.42347337096577725
coarse,valley,F_no_return,0.30904666838028955
coarse,valley,F_rollback,0.005037881788309328
coarse,peak2,N_direct,2.766008469361428e-06
coarse,peak2,N_detour,2.9025476380581515e-05
coarse,peak2,F_no_return,0.8748532188978663
coarse,peak2,F_rollback,0.12511498961728387
