scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,no_leak_total,leak_total,rollback_total,late_window_name,late_window_lo,late_window_hi,late_hit_mass,late_flux_c2o,late_flux_o2c,late_L0R0,late_L0R1,late_L1R0,late_L1R1,late_rollback_share,late_tau_out_prob,late_tau_out_mean_event_time,late_tau_out_mean_hit_time,late_tau_out_ratio,late_tau_out_early_mass,late_tau_out_late_mass,late_tau_out_no_exit_mass,late_tau_mem_prob,late_tau_mem_mean_event_time,late_tau_mem_mean_hit_time,late_tau_mem_ratio,late_tau_mem_early_mass,late_tau_mem_late_mass,late_tau_mem_no_exit_mass,late_left_core_share,late_left_shoulders_share,late_left_outer_share,late_corridor_share,late_outer_reservoir_share,late_target_funnel_share
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,0,,,,,0.0,0.9190532981467383,0.0809467018532616,0.9561255207058931,late,260,360,1.5490328383733812e-05,2.0475951546114496e-08,8.023332119952293e-09,0.35255041375434565,0.6458001052921769,0.0005856119651656982,0.0010638689883116904,0.6468639742804886,0.36414529879671914,295.4900094371523,328.18797547941983,0.9003681777356344,0.01095549740360077,0.3531898013931184,0.6358547012032809,0.0013214517868926105,248.33427299172473,328.18797547941983,0.7566830339501497,0.00017260063634939085,0.0011488511505432196,0.9986785482131074,0.0011612631354764584,0.000484447821106963,0.00023040765853020285,0.9361983733451585,0.0013767770985460073,0.06054873094118169
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,0,,,,,0.0,0.8951710942375649,0.10482890576243518,0.9688256409519677,late,260,360,2.373554597674925e-05,2.905523223942048e-08,1.2074608063018586e-08,0.34435696689527645,0.654101136756973,0.0005250600543290033,0.0010168362934214032,0.6551179730503944,0.3468405338404465,292.0323289453831,328.12313639607277,0.8900083430656808,0.015265178548733646,0.33157535529171284,0.6531594661595534,0.0012237460367842542,241.27386321414508,328.12313639607277,0.7353149974859037,0.00019583633704830443,0.0010279096997359498,0.9987762539632158,0.0016162425111336987,0.0006796897025492616,0.00033382317074415635,0.9381005632953683,0.0012118173723898078,0.0580578639478149
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,0,,,,,0.0,0.8716286400966125,0.12837135990338758,0.975336506731834,late,260,360,3.253193135458222e-05,3.821159712637157e-08,1.6200396762958373e-08,0.33649772413856804,0.6620212251160483,0.00048278141860679294,0.0009982693267768018,0.6630194944428252,0.335417974370616,288.5310209440254,328.0690641586542,0.8794825616489452,0.019497640996633845,0.3159203333739821,0.664582025629384,0.0011742155155606523,234.2095767903277,328.0690641586542,0.7139032672616273,0.00022230383783718632,0.0009519116777234659,0.9988257844844394,0.002035564534391812,0.0008650976695396074,0.0004378729398356009,0.9398935202410604,0.0011053032831257862,0.05566264133204674
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,0,,,,,0.0,0.8561021516864993,0.1438978483135007,0.9781506202828456,late,260,360,3.914316983112951e-05,4.519566434085542e-08,1.9156870584961227e-08,0.33099000725610084,0.6675579094400433,0.00045797186754726265,0.0009941114363084661,0.6685520208763518,0.3286760365097549,286.05373588432684,328.0320871013111,0.872029740785634,0.022394153395681408,0.3062818831140735,0.671323963490245,0.0011542486461370916,228.9815431129007,328.0320871013111,0.6980461732762774,0.0002434576869614329,0.0009107909591756587,0.9988457513538629,0.0022997748609320866,0.0009862859552194113,0.0005098993909131168,0.9412247949680179,0.0010457451899055278,0.053933499635012
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,0,,,,,0.0,0.8353792558516994,0.16462074414830066,0.9808771507855268,late,260,360,4.970469684215183e-05,5.666267362039785e-08,2.3600270129389944e-08,0.3227406831303881,0.6758371551446121,0.0004251112795711351,0.0009970504454286247,0.6768342055900407,0.3191813741447634,282.4253261246309,327.97469626270544,0.8611192550610983,0.026431686232412092,0.2927496879123513,0.6808186258552367,0.0011395941214181638,220.60906812525587,327.97469626270544,0.6726405135490988,0.00027873268409734134,0.0008608614373208224,0.9988604058785818,0.002622843551262612,0.0011434224987432481,0.0006106743654392427,0.9434174329540328,0.0009687931230071788,0.051236833507514824
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,0,,,,,0.0,0.8750204861820213,0.12497951381797863,0.9396075726355704,late,260,360,0.0007390665022478129,8.026248785098087e-07,4.63434149046611e-07,0.34520644795432054,0.6532654845781282,0.0005286351254703548,0.0009994323420808855,0.654264916920209,0.3884012877704455,291.4344547732549,326.16898387260665,0.8935075656583026,0.011900763071167358,0.3765005246992782,0.6115987122295545,0.0010856641732558765,238.46798846107458,326.16898387260665,0.7311179181715639,0.00018185855099507662,0.0009038056222607999,0.9989143358267442,0.001256809564488997,0.0005256921332221335,0.0002742225950855099,0.9303088205416392,0.0016276860924557225,0.06600676907310839
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,0,,,,,0.0,0.8512392024835994,0.14876079751640062,0.949282231507114,late,260,360,0.0011177913429176645,1.146511323321246e-06,6.830629596878938e-07,0.33678148570774824,0.661767632649894,0.0004783510730063573,0.0009725305693515856,0.6627401632192456,0.3702085004426876,288.1091785329785,326.05991838051864,0.8836080802693116,0.016503840917663534,0.35370465952502406,0.6297914995573124,0.0010253721405546951,228.800799662437,326.05991838051864,0.7017139696251219,0.00021231638539296964,0.0008130557551617255,0.9989746278594454,0.0017403768403393106,0.000734274448256837,0.00039580930063311937,0.9326475003664245,0.0014381334141764957,0.06304390563016948
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,0,,,,,0.0,0.8342587494632918,0.16574125053670805,0.9530187201122894,late,260,360,0.0015132588252935206,1.5151816635259433e-06,8.981731505436432e-07,0.32881614010328825,0.6697758114425258,0.0004412671375590765,0.000966781316626778,0.6707425927591526,0.35774194821327393,284.8053166300021,325.9645201162705,0.8737310322252648,0.020921107486690002,0.3368208407265839,0.642258051786726,0.0010009452797863185,219.25897161923297,325.9645201162705,0.672646739409013,0.00024545416298960834,0.0007554911167967102,0.9989990547202137,0.0021725066520641907,0.0009267224422567653,0.0005155228566282849,0.9348680608754023,0.0013133235049498212,0.060203863668698426
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,0,,,,,0.0,0.8259966907129059,0.17400330928709407,0.9540247426077906,late,260,360,0.0018050265222183414,1.7976524337618834e-06,1.0469653765128887e-06,0.3233149382240713,0.6752965026874161,0.0004187813793556097,0.0009697777091567868,0.6762662803965729,0.35018530430734895,282.51368340818095,325.89877087241746,0.8668755719817647,0.023870400388213767,0.3263149039191352,0.649814695692651,0.0009955792866196901,212.3478069181823,325.89877087241746,0.6515759674384044,0.00027221559500367206,0.000723363691616018,0.9990044207133804,0.0024342653719947307,0.0010481036588744067,0.0005963220950668487,0.9365051277041812,0.0012424793847327924,0.05817370178515006
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,0,,,,,0.0,0.8181481270769655,0.18185187292303456,0.9542397738368367,late,260,360,0.0022617967537300783,2.2636182050577157e-06,1.2617266810513465e-06,0.31521781886262096,0.6834119107870155,0.0003883412736017492,0.0009819290767618752,0.6843938398637773,0.3393616025287089,279.2467406548061,325.7980345458784,0.8571160996843982,0.02783656783949217,0.3115250346892167,0.660638397471291,0.001000444474967349,201.6118351690316,325.7980345458784,0.6188245900563925,0.0003173016128731541,0.0006831428620941948,0.9989995555250326,0.0027343595016002063,0.0011970891857685532,0.00070536541438144,0.9391634047288016,0.001149755871183839,0.055050025298264305
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,1,554,1490,2327,0.19043366227624353,0.674914350970689,0.8719590397165151,0.12804096028348497,0.9183047169372281,peak2,2301,2353,0.004489990712372687,0.0004807149285424488,0.00025172141722862843,0.00022109046458254817,0.8504435125396945,0.0011314207336801554,0.1482039762620427,0.9986474888017373,0.9999696653944328,346.88730883468895,2327.000083612895,0.1490706043706335,0.9967525483865893,0.0032171170078434397,3.0334605567228223e-05,0.10372071089128494,593.9983418365043,2327.000083612895,0.25526356703617464,0.08855584634011111,0.015164864551173829,0.896279289108715,0.06224311448499623,0.04146774196662932,0.20699009802706766,0.4406483451863272,0.21104763355268313,0.03760306678229662
