scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,10,60,7.902768666101064e-26,5.644825609506741e-32,1.644177631986607e-32,4.7145776718694206e-24,0.9943001424790837,0.005699143025887794,7.134927769013073e-07,1.0022515331579627e-09,0.005699144028139327
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,120,200,2.267573697402546e-08,1.1329481257473699e-11,2.6470944740836304e-12,4.275760609679963e-06,0.5740767628839262,0.4253706018149859,0.0003277111920977293,0.00022492410899009114,0.42559552592397604
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,260,360,1.5490328383733812e-05,2.0475951546114496e-08,8.023332119952293e-09,0.00508373951176906,0.35255041375434565,0.6458001052921769,0.0005856119651656982,0.0010638689883116904,0.6468639742804886
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,early,10,60,1.488915940629318e-25,9.695792527965647e-32,3.1414987751484614e-32,8.88222485739273e-24,0.9942513929496398,0.005747955638018383,6.50477226078633e-07,9.35115832138881e-10,0.005747956573134215
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,middle,120,200,3.583381010218847e-08,1.6072640178982063e-11,4.127819236493524e-12,6.754862655653679e-06,0.5710882543190006,0.42841203424605,0.00029410014193513535,0.0002056112930144239,0.42861764553906445
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,late,260,360,2.373554597674925e-05,2.905523223942048e-08,1.2074608063018586e-08,0.007788181789964262,0.34435696689527645,0.654101136756973,0.0005250600543290033,0.0010168362934214032,0.6551179730503944
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,early,10,60,2.4823507040932123e-25,1.5299070406967337e-31,5.310499596473521e-32,1.4808219205006825e-23,0.9942029823405785,0.005796401127676699,6.15628831244923e-07,9.029136168120476e-10,0.005796402030590316
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,middle,120,200,5.05195259255033e-08,2.1121242456716324e-11,5.741406304487163e-12,9.520509256209062e-06,0.5682069910216463,0.4313255735742335,0.00027301170671905874,0.00019442369740109566,0.4315199972716346
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,late,260,360,3.253193135458222e-05,3.821159712637157e-08,1.6200396762958373e-08,0.010672720274771522,0.33649772413856804,0.6620212251160483,0.00048278141860679294,0.0009982693267768018,0.6630194944428252
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,10,60,3.4412326655501897e-25,2.063299606506154e-31,7.437570738064884e-32,2.052791524144814e-23,0.9941669068908475,0.005832493306944117,5.98911705619814e-07,8.905027777157439e-10,0.0058324941974468945
