scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,left_core,2.636134829893495e-09
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,left_shoulders,0.0
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,left_outer,2.180861739365103e-12
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,corridor,0.9458354837565737
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,outer_reservoir,1.5261478630694224e-06
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,target_funnel,0.054162987459428186
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,left_core,0.0004011738728857495
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,left_outer,0.000102205626431582
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,corridor,0.9531489576404144
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.0011712918491564126
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,target_funnel,0.045261273439326656
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,left_core,0.0012163391333288693
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,left_outer,0.0006518352874882857
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,corridor,0.9600421662266938
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,outer_reservoir,0.0022854946835203496
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,target_funnel,0.036211815549763236
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,left_core,0.003387453292498751
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,left_shoulders,0.0
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,left_outer,0.004018430404087368
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,corridor,0.9501517362725291
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,outer_reservoir,0.006394936923179006
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,target_funnel,0.037657464326200166
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,left_core,0.09397951729982956
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,left_shoulders,0.0
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,left_outer,0.3682353682623445
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,corridor,0.501772553896067
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,outer_reservoir,0.08130946163253641
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,target_funnel,0.015357595562512519
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,left_core,0.11300644113194681
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,left_shoulders,0.0
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,left_outer,0.4855953218263716
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,corridor,0.36347581778577204
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,outer_reservoir,0.1005761869993288
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,target_funnel,0.011422883013472739
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,left_core,0.0028717525423086407
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,left_shoulders,0.0
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,left_outer,0.0027263939781086936
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,corridor,0.9273288735238117
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,outer_reservoir,0.011509694420353312
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,target_funnel,0.05685096524473229
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,left_core,0.08749087590187996
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,left_shoulders,0.0
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,left_outer,0.33474006247143606
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,corridor,0.461465156000439
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,outer_reservoir,0.14417239626670325
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,target_funnel,0.02850237019214264
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,left_core,0.08473719802504624
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,left_shoulders,0.0
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,left_outer,0.3694500062124197
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,corridor,0.33812394022558073
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,outer_reservoir,0.24233182538068987
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,target_funnel,0.02103510036435857
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,left_core,0.002181229376441243
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,left_shoulders,0.0
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,left_outer,0.001721807932295856
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,corridor,0.9046363169102418
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,outer_reservoir,0.015418823342813602
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,target_funnel,0.07696167659786575
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,left_core,0.0608321834752768
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,left_shoulders,0.0
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,left_outer,0.2554631828012047
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,corridor,0.3181026491257279
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,outer_reservoir,0.3532988783620248
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,target_funnel,0.05211368117498665
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,left_core,0.053289071679944046
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,left_shoulders,0.0
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,left_outer,0.2450326260993178
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,corridor,0.24023749342989742
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,outer_reservoir,0.46285316210081534
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,target_funnel,0.03394703625029151
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,left_core,2.117196181777495e-09
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,left_shoulders,0.0
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,left_outer,1.7613843681267e-12
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,corridor,0.9455400787129871
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,outer_reservoir,3.0536211262858622e-06
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,target_funnel,0.05445686554869068
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,left_core,0.0004857756759899082
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,left_outer,0.00016809016347634945
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,corridor,0.9275295407989732
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.004229423348968804
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,target_funnel,0.06771647217031013
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,left_core,0.0026386563194865788
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,left_outer,0.002639752216059568
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,corridor,0.8333087345451775
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,outer_reservoir,0.0370928043188236
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,target_funnel,0.12554773499866476
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,left_core,1.8545468266073902e-09
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,left_shoulders,0.0
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,left_outer,1.5470318399222473e-12
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,corridor,0.9454809573355824
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,outer_reservoir,3.498049122546047e-06
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,target_funnel,0.05451554276074825
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,left_core,0.0004658390940467613
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,left_outer,0.00017108313383615447
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,corridor,0.9163224544781436
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.005589687985700082
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,target_funnel,0.07758026052758465
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,left_core,0.002169176892734444
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,left_outer,0.0023354550815907695
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,corridor,0.7252999901797355
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,outer_reservoir,0.06592094873361706
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,target_funnel,0.2053124211504642
