scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,10,60,6.057887890653256e-20,1.533675053056911e-24,1.9204208252375804e-25,3.607150782226723e-18,0.9890419149472037,0.010932653137511066,2.5266453218996842e-05,1.6546206623994549e-07,0.010932818599577305
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,120,200,4.862052603905078e-06,6.0141705706388055e-09,2.8805799308740506e-09,0.0009007232677005365,0.6512229297260913,0.3472060844996601,0.0010105754645127606,0.0005604103097358439,0.347766494809396
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,260,360,0.0004873414986406349,1.3378735295456287e-06,1.0137623086379456e-06,0.15664898655122816,0.4817278484702662,0.5142347414863475,0.001772984675947667,0.0022644253674385007,0.516499166853786
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,431,483,0.006267432011037438,4.721785602984785e-05,3.883957087654782e-05,2.8642247387862865,0.3678902463553981,0.620540340289095,0.003576811885985214,0.007992601469521524,0.6285329417586165
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,1319,1371,0.0008163350979675977,0.00015646884920526478,4.73095432389915e-05,1.0979703932921647,0.011825960635679932,0.7580993607947827,0.009702368145181023,0.2203723104243562,0.9784716712191389
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,2034,2086,0.0008661571227974973,0.0002008274301539913,3.250024619622801e-05,1.7842836774113182,5.537806598493399e-05,0.7569797987527564,0.0003612528304596733,0.24260357035079888,0.9995833691035554
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,10,60,7.902768666101064e-26,5.644825609506741e-32,1.644177631986607e-32,4.7145776718694206e-24,0.9943001424790837,0.005699143025887794,7.134927769013073e-07,1.0022515331579627e-09,0.005699144028139327
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,120,200,2.267573697402546e-08,1.1329481257473699e-11,2.6470944740836304e-12,4.275760609679963e-06,0.5740767628839262,0.4253706018149859,0.0003277111920977293,0.00022492410899009114,0.42559552592397604
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,260,360,1.5490328383733812e-05,2.0475951546114496e-08,8.023332119952293e-09,0.00508373951176906,0.35255041375434565,0.6458001052921769,0.0005856119651656982,0.0010638689883116904,0.6468639742804886
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,early,10,60,1.488915940629318e-25,9.695792527965647e-32,3.1414987751484614e-32,8.88222485739273e-24,0.9942513929496398,0.005747955638018383,6.50477226078633e-07,9.35115832138881e-10,0.005747956573134215
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,middle,120,200,3.583381010218847e-08,1.6072640178982063e-11,4.127819236493524e-12,6.754862655653679e-06,0.5710882543190006,0.42841203424605,0.00029410014193513535,0.0002056112930144239,0.42861764553906445
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,late,260,360,2.373554597674925e-05,2.905523223942048e-08,1.2074608063018586e-08,0.007788181789964262,0.34435696689527645,0.654101136756973,0.0005250600543290033,0.0010168362934214032,0.6551179730503944
