scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,10,60,tau_out,0.00023949630858590692,54.22344980523334,59.65729064160258,0.9089157288584624,1.1015930110882627e-07,0.0002393861492847981,0.9997605036914141
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,10,60,tau_mem,7.142844676245579e-07,44.15113767858237,59.65729064160258,0.7400794974720685,1.1015930110882627e-07,6.041251665157317e-07,0.9999992857155324
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,120,200,tau_out,0.19012640806459374,173.99230167448246,188.56104278232363,0.9227372690940226,0.0010145945631176122,0.18911181350147613,0.8098735919354063
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,120,200,tau_mem,0.0004995872376635889,149.90819867923827,188.56104278232363,0.7950115064451223,4.0852291098953734e-05,0.0004587349465646352,0.9995004127623364
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,260,360,tau_out,0.36414529879671914,295.4900094371523,328.18797547941983,0.9003681777356344,0.01095549740360077,0.3531898013931184,0.6358547012032809
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,260,360,tau_mem,0.0013214517868926105,248.33427299172473,328.18797547941983,0.7566830339501497,0.00017260063634939085,0.0011488511505432196,0.9986785482131074
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,early,10,60,tau_out,0.0002134146861037887,54.27320563561818,59.65565022857144,0.9097747728449804,1.1172586706360373e-07,0.0002133029602367251,0.9997865853138962
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,early,10,60,tau_mem,6.511980336384947e-07,43.44717859504515,59.65565022857144,0.728299472532387,1.1172586706360372e-07,5.394721665748909e-07,0.9999993488019664
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,middle,120,200,tau_out,0.17583268357174658,173.82338787414253,188.5052869452217,0.9221141257680182,0.001297789486530748,0.17453489408521583,0.8241673164282535
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,middle,120,200,tau_mem,0.0004484949551660823,148.51466976461646,188.5052869452217,0.7878541348698287,4.1922805174352135e-05,0.0004065721499917302,0.9995515050448339
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,late,260,360,tau_out,0.3468405338404465,292.0323289453831,328.12313639607277,0.8900083430656808,0.015265178548733646,0.33157535529171284,0.6531594661595534
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,late,260,360,tau_mem,0.0012237460367842542,241.27386321414508,328.12313639607277,0.7353149974859037,0.00019583633704830443,0.0010279096997359498,0.9987762539632158
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,early,10,60,tau_out,0.00019778794959479567,54.31301696151928,59.654017381948236,0.9104670455598657,1.1329259720303666e-07,0.00019767465699759262,0.9998022120504052
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,early,10,60,tau_mem,6.163137417535798e-07,42.95399799290512,59.654017381948236,0.7200520581519684,1.1329259720303667e-07,5.030211445505432e-07,0.9999993836862583
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,middle,120,200,tau_out,0.16627919625984577,173.6369033876637,188.4520703984446,0.9213849602211471,0.0015729004937188944,0.1647062957661269,0.8337208037401542
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,middle,120,200,tau_mem,0.0004180459022625232,147.36916311001642,188.4520703984446,0.7819981112355704,4.313520451680043e-05,0.00037491069774572275,0.9995819540977374
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,late,260,360,tau_out,0.335417974370616,288.5310209440254,328.0690641586542,0.8794825616489452,0.019497640996633845,0.3159203333739821,0.664582025629384
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,late,260,360,tau_mem,0.0011742155155606523,234.2095767903277,328.0690641586542,0.7139032672616273,0.00022230383783718632,0.0009519116777234659,0.9988257844844394
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,10,60,tau_out,0.0001896408626777302,54.33902335958166,59.65279664740722,0.9109216401163227,1.1446703814426949e-07,0.00018952639563958593,0.9998103591373223
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,10,60,tau_mem,5.995814726377581e-07,42.67104787044098,59.65279664740722,0.7153235098541797,1.1446703814426949e-07,4.851144344934886e-07,0.9999994004185274
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,120,200,tau_out,0.16070348071304805,173.49442558940467,188.41331307668693,0.920818294399345,0.0017680085264299462,0.1589354721866181,0.8392965192869519
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,120,200,tau_mem,0.00040224492741159495,146.61168699661164,188.41331307668693,0.7781386814048462,4.410060804403745e-05,0.0003581443193675575,0.9995977550725884
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,260,360,tau_out,0.3286760365097549,286.05373588432684,328.0320871013111,0.872029740785634,0.022394153395681408,0.3062818831140735,0.671323963490245
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,260,360,tau_mem,0.0011542486461370916,228.9815431129007,328.0320871013111,0.6980461732762774,0.0002434576869614329,0.0009107909591756587,0.9988457513538629
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,10,60,tau_out,0.0001798985656613333,54.37790520849282,59.65076772502428,0.9116044483980811,1.164223646256647e-07,0.00017978214329670764,0.9998201014343386
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,10,60,tau_mem,5.816625001885259e-07,42.3058240434001,59.65076772502428,0.7092251392039042,1.164223646256647e-07,4.6524013556286124e-07,0.9999994183374998
