scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,left_core,1.9989261424598492e-10
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,corridor,0.9384050809812794
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,outer_reservoir,3.74294497153996e-08
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,target_funnel,0.06159488138937831
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,left_core,0.00026565998860665114
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,left_shoulders,9.350328151579848e-05
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,left_outer,1.4583736077255465e-05
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,corridor,0.9349005088552231
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,outer_reservoir,0.00030974118301469936
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,target_funnel,0.06441600295556238
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,left_core,0.0011612631354764584
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,left_shoulders,0.000484447821106963
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,left_outer,0.00023040765853020285
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,corridor,0.9361983733451585
