scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,10,60,tau_out,0.00023949630858590692,54.22344980523334,59.65729064160258,0.9089157288584624,1.1015930110882627e-07,0.0002393861492847981,0.9997605036914141
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,early,10,60,tau_mem,7.142844676245579e-07,44.15113767858237,59.65729064160258,0.7400794974720685,1.1015930110882627e-07,6.041251665157317e-07,0.9999992857155324
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,120,200,tau_out,0.19012640806459374,173.99230167448246,188.56104278232363,0.9227372690940226,0.0010145945631176122,0.18911181350147613,0.8098735919354063
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,middle,120,200,tau_mem,0.0004995872376635889,149.90819867923827,188.56104278232363,0.7950115064451223,4.0852291098953734e-05,0.0004587349465646352,0.9995004127623364
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,260,360,tau_out,0.36414529879671914,295.4900094371523,328.18797547941983,0.9003681777356344,0.01095549740360077,0.3531898013931184,0.6358547012032809
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,late,260,360,tau_mem,0.0013214517868926105,248.33427299172473,328.18797547941983,0.7566830339501497,0.00017260063634939085,0.0011488511505432196,0.9986785482131074
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,early,10,60,tau_out,0.0002134146861037887,54.27320563561818,59.65565022857144,0.9097747728449804,1.1172586706360373e-07,0.0002133029602367251,0.9997865853138962
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,early,10,60,tau_mem,6.511980336384947e-07,43.44717859504515,59.65565022857144,0.728299472532387,1.1172586706360372e-07,5.394721665748909e-07,0.9999993488019664
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,middle,120,200,tau_out,0.17583268357174658,173.82338787414253,188.5052869452217,0.9221141257680182,0.001297789486530748,0.17453489408521583,0.8241673164282535
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,middle,120,200,tau_mem,0.0004484949551660823,148.51466976461646,188.5052869452217,0.7878541348698287,4.1922805174352135e-05,0.0004065721499917302,0.9995515050448339
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,late,260,360,tau_out,0.3468405338404465,292.0323289453831,328.12313639607277,0.8900083430656808,0.015265178548733646,0.33157535529171284,0.6531594661595534
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,late,260,360,tau_mem,0.0012237460367842542,241.27386321414508,328.12313639607277,0.7353149974859037,0.00019583633704830443,0.0010279096997359498,0.9987762539632158
