scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,event_probability,mean_event_time_given_event,mean_hit_time_in_window,ratio,early_mass,late_mass,no_exit_mass,consistency_gap
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,10,60,tau_left,1.2797122908483092e-10,4.064098268943202,59.54469358523795,0.06825290423445482,1.2797122908483092e-10,0.0,0.9999999998720288,9.62964972193618e-35
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,10,60,tau_mem,2.531695077138702e-05,50.38102718170079,59.54469358523795,0.8461043990356686,1.6682496404901278e-06,2.3648701130896893e-05,0.9999746830492287,9.62964972193618e-35
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,120,200,tau_left,0.005796112845545411,12.759296805131699,185.25576357958178,0.06887395327730567,0.005796111588806082,1.2567393297899243e-09,0.9942038871544546,3.8963515573697816e-20
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.0012365662291420995,141.47277968113772,185.25576357958178,0.7636619608888128,0.0002174597282114907,0.0010191065009306087,0.9987634337708579,3.8963515573697816e-20
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,260,360,tau_left,0.02675727563022868,21.196199471944567,321.43576319310876,0.06594225627348921,0.02675583126076619,1.444369462488132e-06,0.9732427243697713,7.426784881525705e-18
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.0027422942433946093,201.07228347838526,321.43576319310876,0.6255442191029229,0.0009551139898434729,0.0017871802535511364,0.9972577057566054,7.426784881525705e-18
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,431,483,tau_left,0.07057107052223138,30.058999695457207,457.0013258607529,0.0657744255748967,0.07054871613915373,2.2354383077655138e-05,0.9294289294777687,1.1362438767648086e-16
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,431,483,tau_mem,0.0075116237547135705,225.09901328536367,457.0013258607529,0.49255658692323084,0.0037726517482027247,0.003738972006510846,0.9924883762452864,1.1362438767648086e-16
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,1319,1371,tau_left,0.8913171612032562,163.6882400763702,1344.9996159979912,0.12170132848321547,0.7985395197074855,0.09277764149577072,0.10868283879674379,4.694595406862234e-17
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,1319,1371,tau_mem,0.18708236136722708,271.88192290376014,1344.9996159979912,0.20214275132117673,0.17470702099270125,0.01237534037452584,0.8129176386327729,4.694595406862234e-17
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,2034,2086,tau_left,0.9915623017884588,324.11992973062837,2060.0000051357015,0.15733977132163993,0.8788420265030276,0.11272027528543127,0.008437698211541167,7.209944447028604e-17
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,2034,2086,tau_mem,0.2200137118058023,432.8961755564746,2060.0000051357015,0.21014377401807713,0.19482708658288386,0.025186625222918424,0.7799862881941977,7.209944447028604e-17
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,338,390,tau_left,0.05684616993529542,25.48499389918314,364.0213496006373,0.07000961324697678,0.056838902084137714,7.267851157705119e-06,0.9431538300647045,3.7816971776294395e-16
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,338,390,tau_mem,0.008055466106644305,207.98413848800854,364.0213496006373,0.5713514845109635,0.002990842996860302,0.005064623109784004,0.9919445338933557,3.7816971776294395e-16
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,997,1049,tau_left,0.8744055229159365,112.11678597658354,1022.9993831177271,0.10959614231134009,0.8104704401443227,0.06393508277161386,0.12559447708406346,8.803721640582296e-17
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,997,1049,tau_mem,0.23939949584841214,175.52119579729236,1022.9993831177271,0.17157507491585,0.22842680426463066,0.010972691583781474,0.7606005041515879,8.803721640582296e-17
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,1797,1849,tau_left,0.9726042116903171,500.85755782820644,1823.0000652733827,0.2747435764644892,0.6680503889849722,0.3045538227053449,0.027395788309682922,2.0209528495129803e-16
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,1797,1849,tau_mem,0.25123085885813573,358.0559553068715,1823.0000652733827,0.19641028112260453,0.22381796171197704,0.027412897146158688,0.7487691411418642,2.0209528495129803e-16
