d,dy,phase,p_near,p_far,window1_name,windowL_name,window1_N_direct,windowL_F_no_return,windowL_F_rollback,late_family,sep_mode,sep_gate_coarse,peak_ratio,valley_over_max,t_peak1,t_valley,t_peak2
2,0,0,0.49829664166220633,0.5017033583377937,early,late,0.9550488069785437,0.9403974328624796,0.05454848004258298,F_no_return,2.6038781163434903,2.608450704225352,,,,,
2,1,0,0.42702848468191285,0.572971515318087,early,late,0.9479419831427887,0.9399848951147701,0.05543258244688335,F_no_return,2.565934065934066,2.562674094707521,,,,,
2,2,2,0.3240506143238462,0.6759493856761539,peak1,peak2,0.9822381399111667,0.8872614310110994,0.11269993729833654,F_no_return,2.489247311827957,2.493150684931507,0.11416245017472973,0.002665073652568854,7,196,469
2,3,2,0.23490534007780314,0.7650946599221968,peak1,peak2,0.9705829555271052,0.8844812742377093,0.11548112468809303,F_no_return,2.4157894736842107,2.4301075268817205,0.2460094638390676,0.005414532766322392,10,195,468
2,4,2,0.1682324746088708,0.8317675253911293,peak1,peak2,0.9521589823573137,0.8809535529520498,0.1190110913886662,F_no_return,2.351421188630491,2.365079365079365,0.4896319526040841,0.01023261103346381,15,194,469
2,5,2,0.1211759934137946,0.8788240065862054,peak1,peak2,0.929702172737661,0.8779099066353249,0.12205610062035073,F_no_return,2.2562814070351758,2.290155440414508,0.9019996245602949,0.017926942998060205,20,194,469
2,6,2,0.08875967989870556,0.9112403201012943,peak1,peak2,0.8981312310050091,0.8748532188978663,0.12511498961728387,F_no_return,2.1658536585365855,2.2290076335877864,0.6469463486337754,0.018766744666618634,27,193,470
3,0,2,0.4190851718983807,0.5809148281016193,peak1,peak2,0.993409199510089,0.8884929621212463,0.11144725506032774,F_no_return,2.490666666666667,2.4932249322493223,0.08721469892061524,0.002829146340954761,6,204,472
3,1,2,0.3837612743896786,0.6162387256103213,peak1,peak2,0.9911026954407333,0.8877899835491972,0.1121506902957377,F_no_return,2.46684350132626,2.4823848238482387,0.10569040794092582,0.0033699085048784065,7,202,471
3,2,2,0.31548465756153704,0.6845153424384628,peak1,peak2,0.9850521281680118,0.8862022343387894,0.11373933761959666,F_no_return,2.4146981627296586,2.4224598930481283,0.16582669714051512,0.005044012275442203,10,201,469
3,3,2,0.24477865225610188,0.7552213477438982,peak1,peak2,0.9753847617408744,0.8834676519317582,0.11647727071037495,F_no_return,2.356589147286822,2.3641160949868074,0.28765391706464255,0.008267812622672465,14,199,469
3,4,2,0.18488078966746704,0.815119210332533,peak1,peak2,0.9629209507809251,0.8806091674174544,0.11933864172053592,F_no_return,2.295165394402036,2.3125,0.49986195406064804,0.013577044058550862,18,199,469
3,5,2,0.13871715075506064,0.8612828492449394,peak1,peak2,0.9459361829270546,0.8778646623274873,0.12208578366726536,F_no_return,2.2133995037220844,2.2455242966751916,0.8474731854064458,0.021737623987092704,23,198,469
