family,lower,center,upper,case
N_detour,0.7178423236514523,0.07676348547717843,0.2053941908713693,anchor
F_clean,0.9715909090909091,0.0,0.028409090909090908,anchor
F_linger,0.7102758115694411,0.08164510617525018,0.20807908225530877,anchor
F_rollback,0.8246828143021915,0.04152249134948097,0.13379469434832755,anchor
N_detour,0.5419222903885481,0.10633946830265849,0.35173824130879344,clear_instance
F_clean,0.7509283819628647,0.0,0.2490716180371353,clear_instance
F_linger,0.5477782147070389,0.07786079433739677,0.3743609909555643,clear_instance
F_rollback,0.6490473263675476,0.034419176398279044,0.31653349723417334,clear_instance
N_detour,0.9070904645476773,0.034229828850855744,0.05867970660146699,near_mass_loss
F_clean,1.0,0.0,0.0,near_mass_loss
F_linger,0.783157894736842,0.08968421052631578,0.1271578947368421,near_mass_loss
F_rollback,0.9834319526627219,0.008284023668639054,0.008284023668639054,near_mass_loss
