case,family,n,mass_mc,mass_exact,abs_err,t_escape_med,t_x27_med,t_x29_med,t_x42_med,t_x43_med,t_hit_med
anchor,N_direct,6060,0.303,0.29845700707110523,0.004542992928894762,,,,,,15.0
anchor,N_detour,482,0.0241,0.02553446016727734,0.0014344601672773398,25.0,,,,,62.0
anchor,F_clean,3520,0.176,0.17550025952928586,0.0004997404707141329,31.0,155.0,,275.0,,535.0
anchor,F_linger,8194,0.4097,0.4165164490865115,0.006816449086511467,28.5,151.0,,276.0,,530.0
anchor,F_rollback,1734,0.0867,0.08399182411269435,0.0027081758873056527,30.0,209.0,,334.0,,588.0
clear_instance,N_direct,6484,0.3242,0.3255854612326752,0.0013854612326751892,,,,,,25.0
clear_instance,N_detour,489,0.02445,0.024150647702938757,0.0002993522970612429,42.0,,,,,82.0
clear_instance,F_clean,3770,0.1885,0.18427803421749625,0.00422196578250375,52.0,,175.0,,290.0,544.0
clear_instance,F_linger,7629,0.38145,0.38484556833788225,0.0033955683378822377,44.0,,168.0,,283.0,533.0
clear_instance,F_rollback,1627,0.08135,0.08114028847672862,0.00020971152327138587,48.0,,220.0,,340.0,591.0
near_mass_loss,N_direct,1377,0.06885,0.06857685677075821,0.0002731432292417818,,,,,,41.0
near_mass_loss,N_detour,409,0.02045,0.020160824979039094,0.0002891750209609058,30.0,,,,,78.0
near_mass_loss,F_clean,13296,0.6648,0.6705427610168215,0.005742761016821585,28.0,149.0,,273.0,,532.0
near_mass_loss,F_linger,2375,0.11875,0.11546475262242918,0.003285247377570813,44.0,169.0,,293.0,,551.0
near_mass_loss,F_rollback,2535,0.12675,0.12525480456597596,0.0014951954340240436,30.0,202.0,,329.0,,594.0
