Wy,bx,start_x,target_x,corridor_halfwidth,wall_margin,delta_core,delta_open,phase,sep_peaks,valley_over_max,t_peak1,t_peak2,absorbed_mass,survival_tail
8,-0.12,7,58,1,5,0.95,0.6,1,0.5820262823230182,0.3246279089329771,586,1959,0.9959239579082151,0.004076042091621653
8,-0.08,7,58,1,5,0.95,0.6,2,1.8298784846318799,0.0822843186413291,425,1705,0.9999714891592383,2.8510840691322414e-05
8,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999993424899813,6.57509975429494e-07
8,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999973910263622,2.6089736107290126e-06
8,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998862,9.93453796985063e-14
10,-0.12,7,58,1,5,0.95,0.6,1,0.5368242606893954,0.31378485735041867,574,1999,0.9887670406007724,0.011232959399039028
10,-0.08,7,58,1,5,0.95,0.6,2,1.6288532675709002,0.08768034338839657,419,1740,0.9998062649938966,0.00019373500601661773
10,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999922377450401,7.762254912461595e-06
10,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999903347742898,9.66522567797104e-06
10,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998849,9.980529472678093e-14
12,-0.12,7,58,1,5,0.95,0.6,1,0.50595340811044,0.29654162098174547,566,2032,0.9800905527283607,0.019909447271425178
12,-0.08,7,58,1,5,0.95,0.6,2,1.2103849597135183,0.08778272310254148,415,1767,0.9994095555483191,0.0005904444515829855
12,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999617797707624,3.822022917465026e-05
12,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999707212065165,2.927879344613487e-05
12,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998839,9.975355937370833e-14
14,-0.12,7,58,1,5,0.95,0.6,1,0.48280295724847316,0.2778802727740437,561,2063,0.9707060473805768,0.029293952619196654
14,-0.08,7,58,1,5,0.95,0.6,2,1.1120967741935484,0.08511305929562037,412,1791,0.9987603708681813,0.001239629131709869
14,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9998836683783573,0.00011633162157462552
14,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999241916715311,7.580832842625083e-05
14,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998841,9.981303436553008e-14
16,-0.12,7,58,1,5,0.95,0.6,1,0.4633962264150943,0.2596895541065843,557,2092,0.9607375493085343,0.03926245069122858
16,-0.08,7,58,1,5,0.95,0.6,2,1.0470500373412994,0.08111369086421352,410,1812,0.9978578492771323,0.0021421507227477937
16,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9997345276559243,0.0002654723439978751
16,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9998277520775138,0.0001722479224386914
16,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998834,9.95295318441188e-14
18,-0.12,7,58,1,5,0.95,0.6,1,0.4458689458689459,0.242697356777851,555,2120,0.9501612632452454,0.04983873675450219
18,-0.08,7,58,1,5,0.95,0.6,1,0.9926803764377832,0.07658587366473477,408,1832,0.9966896553297814,0.003310344670093794
18,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9994952678876086,0.0005047321123078099
18,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9996496740495745,0.00035032595037117164
18,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998811,9.999838840162667e-14
20,-0.12,7,58,1,5,0.95,0.6,1,0.430151024811219,0.22714487482290288,553,2148,0.9389754137999795,0.061024586199746114
20,-0.08,7,58,1,5,0.95,0.6,1,0.9415605615409729,0.07196275317666824,408,1850,0.995230724884938,0.004769275114928123
20,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9991498787241829,0.0008501212757278289
20,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9993516129761002,0.0006483870238416735
20,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998799,9.972314786085474e-14
22,-0.12,7,58,1,5,0.95,0.6,1,0.4150460593654043,0.21305883312482965,552,2174,0.9272247646360963,0.07277523536362118
22,-0.08,7,58,1,5,0.95,0.6,1,0.8946078431372549,0.06747734470571132,407,1867,0.9934500860156915,0.006549913984157463
22,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9986833276110415,0.0013166723888622632
22,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9988924484593511,0.001107551540586893
22,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.999999999999878,9.990993696287402e-14
24,-0.12,7,58,1,5,0.95,0.6,1,0.4005837285662167,0.20038108135706253,552,2199,0.9149894938613767,0.08501050613831795
24,-0.08,7,58,1,5,0.95,0.6,1,0.8497409326424871,0.06325557251494879,407,1883,0.9913170158995286,0.008682984100310492
24,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9980803057945334,0.001919694205363996
24,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9982327562607042,0.0017672437392277078
24,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998789,9.987370637994501e-14
26,-0.12,7,58,1,5,0.95,0.6,1,0.3873059995367153,0.18902663723122964,551,2223,0.9023705478256968,0.09762945217397652
26,-0.08,7,58,1,5,0.95,0.6,1,0.8091106290672451,0.05936657871260878,407,1899,0.9888052867065706,0.011194713293259625
26,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9973249457650228,0.0026750542348708923
26,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.997338804421297,0.0026611955786274206
26,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998769,9.988096489163954e-14
28,-0.12,7,58,1,5,0.95,0.6,1,0.3744201457919152,0.17890399399058118,551,2246,0.8894778781143389,0.1105221218853161
28,-0.08,7,58,1,5,0.95,0.6,1,0.7707267144319345,0.05584786234711124,407,1913,0.9858959302249003,0.01410406977492432
28,-0.04,7,58,1,5,0.95,0.6,0,0.0,,,,0.9964011623994345,0.003598837600454281
28,0.0,7,58,1,5,0.95,0.6,0,0.0,,,,0.9961853539925443,0.003814646007373582
28,0.08,7,58,1,5,0.95,0.6,0,0.0,,,,0.9999999999998775,9.987110360109876e-14
