Wy,x_start,w_fast,w_slow,fast_skip,slow_skip,delta_fast,delta_slow,phase,sep_mode_width,peak_ratio,valley_over_max,t_peak1,t_peak2,p_m1,p_m2,t_mode_m1,t_mode_m2,absorbed_mass,survival_tail
5,6,0,0,1,1,0.85,0.85,0,1.6534562211981567,,,,,0.6243539154487945,0.37564608455120563,26,923,0.9998843610219766,0.00011563897799968736
5,8,0,0,1,1,0.85,0.85,2,1.5425434583714548,0.0966720597527921,0.061055143768142334,45,850,0.5864752088192419,0.4135247911807582,45,888,0.9998991220191988,0.00010087798077806274
5,10,0,0,1,1,0.85,0.85,2,1.4215775158658206,0.14814016255952542,0.11421750556198125,67,798,0.5612063141143975,0.4387936858856025,67,851,0.9999175828857618,8.24171142105359e-05
5,12,0,0,1,1,0.85,0.85,2,1.2862254025044724,0.21405816988620077,0.19687128336422938,92,724,0.5438198635140045,0.4561801364859955,92,811,0.9999358278887617,6.417211121228197e-05
5,14,0,0,1,1,0.85,0.85,0,1.144620811287478,,,,,0.5315859039332829,0.46841409606671713,120,769,0.9999519778853068,4.8022114664711965e-05
5,16,0,0,1,1,0.85,0.85,0,0.9973890339425587,,,,,0.5228269168259836,0.4771730831740164,151,724,0.9999652945199706,3.470548000037089e-05
5,18,0,0,1,1,0.85,0.85,0,0.8478073946689596,,,,,0.5164604255795008,0.4835395744204992,184,677,0.9999756767945173,2.4323205455268843e-05
5,20,0,0,1,1,0.85,0.85,0,0.6996587030716723,,,,,0.5117594741927262,0.48824052580727395,220,630,0.9999833682097781,1.6631790193303017e-05
5,22,0,0,1,1,0.85,0.85,0,0.550381033022862,,,,,0.508218584067354,0.49178141593264607,257,582,0.999988776707228,1.1223292744215012e-05
6,6,0,0,1,1,0.85,0.85,0,1.559718969555035,,,,,0.6393299286004787,0.3606700713995213,25,1024,0.9993367914832353,0.0006632085167400113
6,8,0,0,1,1,0.85,0.85,2,1.4553917765709852,0.09516956551117335,0.07244311722665708,47,917,0.6017413780283827,0.3982586219716176,47,985,0.9994013772670882,0.0005986227328856595
6,10,0,0,1,1,0.85,0.85,2,1.3405073020753266,0.1475022384537625,0.1301396307021403,72,851,0.575426436924299,0.424573563075701,72,944,0.9994905531034961,0.0005094468964763133
6,12,0,0,1,1,0.85,0.85,2,1.2167300380228137,0.2170316528931228,0.21428022147858344,100,740,0.5564434814194831,0.4435565185805169,100,900,0.9995847710885887,0.0004152289113809982
6,14,0,0,1,1,0.85,0.85,0,1.0855855855855856,,,,,0.5424460670874534,0.45755393291254653,131,854,0.9996731759257609,0.0003268240742085213
6,16,0,0,1,1,0.85,0.85,0,0.9481481481481482,,,,,0.5319381250032765,0.4680618749967235,164,804,0.9997502361860163,0.0002497638139527228
6,18,0,0,1,1,0.85,0.85,0,0.8067349926793558,,,,,0.5239178275689774,0.4760821724310225,201,752,0.9998137302950265,0.0001862697049412997
6,20,0,0,1,1,0.85,0.85,0,0.6661828737300436,,,,,0.5176866225402625,0.4823133774597373,240,699,0.9998634824709443,0.00013651752902586474
