t,f_total,f_from_corridor,f_from_outer,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.9999999999999999
8,0.0,0.0,0.0,0.9999999999999999
9,0.0,0.0,0.0,0.9999999999999999
10,0.0,0.0,0.0,0.9999999999999998
11,0.0,0.0,0.0,0.9999999999999998
12,0.0,0.0,0.0,0.9999999999999998
13,0.0,0.0,0.0,0.9999999999999998
14,0.0,0.0,0.0,0.9999999999999998
15,0.0,0.0,0.0,0.9999999999999996
16,0.0,0.0,0.0,0.9999999999999996
17,0.0,0.0,0.0,0.9999999999999996
18,0.0,0.0,0.0,0.9999999999999996
19,0.0,0.0,0.0,0.9999999999999994
20,0.0,0.0,0.0,0.9999999999999993
21,0.0,0.0,0.0,0.9999999999999993
22,0.0,0.0,0.0,0.9999999999999993
23,0.0,0.0,0.0,0.9999999999999993
24,0.0,0.0,0.0,0.9999999999999993
25,0.0,0.0,0.0,0.9999999999999993
26,0.0,0.0,0.0,0.9999999999999993
27,0.0,0.0,0.0,0.9999999999999993
28,0.0,0.0,0.0,0.9999999999999992
29,0.0,0.0,0.0,0.9999999999999991
30,0.0,0.0,0.0,0.9999999999999991
31,0.0,0.0,0.0,0.9999999999999991
32,0.0,0.0,0.0,0.999999999999999
33,0.0,0.0,0.0,0.9999999999999989
34,0.0,0.0,0.0,0.9999999999999989
35,0.0,0.0,0.0,0.9999999999999988
36,0.0,0.0,0.0,0.9999999999999988
37,0.0,0.0,0.0,0.9999999999999987
38,0.0,0.0,0.0,0.9999999999999987
39,0.0,0.0,0.0,0.9999999999999987
40,0.0,0.0,0.0,0.9999999999999987
41,0.0,0.0,0.0,0.9999999999999986
42,0.0,0.0,0.0,0.9999999999999986
43,0.0,0.0,0.0,0.9999999999999986
44,0.0,0.0,0.0,0.9999999999999986
45,0.0,0.0,0.0,0.9999999999999986
46,0.0,0.0,0.0,0.9999999999999984
47,0.0,0.0,0.0,0.9999999999999984
48,0.0,0.0,0.0,0.9999999999999984
49,0.0,0.0,0.0,0.9999999999999984
50,0.0,0.0,0.0,0.9999999999999984
51,3.949266677938419e-22,3.949266677938419e-22,0.0,0.9999999999999983
52,3.5938326769239632e-22,3.5938326769239632e-22,0.0,0.9999999999999982
53,4.675694790678413e-20,4.675694790678413e-20,0.0,0.9999999999999982
54,2.0565813492015003e-19,2.0565813492015003e-19,0.0,0.9999999999999982
55,1.7299688666412135e-18,1.7299688666412135e-18,0.0,0.9999999999999982
56,7.344637397557085e-18,7.344637397557085e-18,0.0,0.999999999999998
57,3.434596666421265e-17,3.434596666421265e-17,0.0,0.999999999999998
58,1.233621903906364e-16,1.233621903906364e-16,0.0,0.9999999999999978
59,4.3092749721128987e-16,4.3092749721128987e-16,0.0,0.9999999999999973
60,1.3160250439232533e-15,1.3160250439232533e-15,0.0,0.999999999999996
61,3.8158335333526136e-15,3.8158335333526136e-15,0.0,0.999999999999992
62,1.0172889464465789e-14,1.0172889464465789e-14,0.0,0.9999999999999818
63,2.5765518753740047e-14,2.5765518753740047e-14,0.0,0.999999999999956
64,6.145778191185814e-14,6.145778191185814e-14,0.0,0.9999999999998945
65,1.4011289790336531e-13,1.4011289790336531e-13,0.0,0.9999999999997544
66,3.0493543361596147e-13,3.0493543361596147e-13,0.0,0.9999999999994493
67,6.383938874654776e-13,6.383938874654776e-13,0.0,0.999999999998811
68,1.2870460161663795e-12,1.2870460161663795e-12,0.0,0.9999999999975239
69,2.510062205510773e-12,2.510062205510773e-12,0.0,0.9999999999950138
70,4.7433315119067465e-12,4.7433315119067465e-12,0.0,0.9999999999902704
