t,f_total,f_from_corridor,f_from_outer,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.9999999999999999
9,0.0,0.0,0.0,0.9999999999999999
10,0.0,0.0,0.0,0.9999999999999998
11,0.0,0.0,0.0,0.9999999999999998
12,0.0,0.0,0.0,0.9999999999999998
13,0.0,0.0,0.0,0.9999999999999998
14,0.0,0.0,0.0,0.9999999999999998
15,0.0,0.0,0.0,0.9999999999999998
16,0.0,0.0,0.0,0.9999999999999998
17,0.0,0.0,0.0,0.9999999999999998
18,0.0,0.0,0.0,0.9999999999999998
19,0.0,0.0,0.0,0.9999999999999998
20,0.0,0.0,0.0,0.9999999999999997
21,0.0,0.0,0.0,0.9999999999999996
22,0.0,0.0,0.0,0.9999999999999996
23,0.0,0.0,0.0,0.9999999999999996
24,0.0,0.0,0.0,0.9999999999999993
25,0.0,0.0,0.0,0.9999999999999993
26,0.0,0.0,0.0,0.9999999999999993
27,0.0,0.0,0.0,0.9999999999999992
28,0.0,0.0,0.0,0.9999999999999992
29,0.0,0.0,0.0,0.9999999999999991
30,0.0,0.0,0.0,0.9999999999999991
31,0.0,0.0,0.0,0.9999999999999989
32,0.0,0.0,0.0,0.9999999999999989
33,0.0,0.0,0.0,0.9999999999999989
34,0.0,0.0,0.0,0.9999999999999989
35,0.0,0.0,0.0,0.9999999999999987
36,0.0,0.0,0.0,0.9999999999999987
37,0.0,0.0,0.0,0.9999999999999987
38,0.0,0.0,0.0,0.9999999999999987
39,0.0,0.0,0.0,0.9999999999999987
40,0.0,0.0,0.0,0.9999999999999987
41,0.0,0.0,0.0,0.9999999999999984
42,0.0,0.0,0.0,0.9999999999999984
43,0.0,0.0,0.0,0.9999999999999983
44,0.0,0.0,0.0,0.9999999999999983
45,0.0,0.0,0.0,0.9999999999999983
46,0.0,0.0,0.0,0.9999999999999982
47,0.0,0.0,0.0,0.9999999999999982
48,0.0,0.0,0.0,0.9999999999999981
49,0.0,0.0,0.0,0.9999999999999981
50,0.0,0.0,0.0,0.999999999999998
51,5.770364586295253e-26,5.770364586295253e-26,0.0,0.999999999999998
52,5.251031773528681e-26,5.251031773528681e-26,0.0,0.9999999999999979
53,6.949431425590944e-24,6.949431425590944e-24,0.0,0.9999999999999979
54,3.067312815079596e-23,3.067312815079596e-23,0.0,0.9999999999999978
55,2.6189349258011416e-22,2.6189349258011416e-22,0.0,0.9999999999999978
56,1.1185235988911967e-21,1.1185235988911967e-21,0.0,0.9999999999999978
57,5.30398063913073e-21,5.30398063913073e-21,0.0,0.9999999999999976
58,1.9223289138699438e-20,1.9223289138699438e-20,0.0,0.9999999999999976
59,6.806847540645675e-20,6.806847540645675e-20,0.0,0.9999999999999974
60,2.1024665707611313e-19,2.1024665707611313e-19,0.0,0.9999999999999974
61,6.181068185440898e-19,6.181068185440898e-19,0.0,0.9999999999999973
62,1.6693788411857368e-18,1.6693788411857368e-18,0.0,0.9999999999999973
63,4.2894982571660354e-18,4.2894982571660354e-18,0.0,0.9999999999999971
64,1.0377967111301652e-17,1.0377967111301652e-17,0.0,0.9999999999999971
65,2.4019564609007593e-17,2.4019564609007593e-17,0.0,0.9999999999999971
66,5.3074179625688783e-17,5.3074179625688783e-17,0.0,0.9999999999999971
67,1.1287904142928552e-16,1.1287904142928552e-16,0.0,0.9999999999999969
68,2.3123636503050456e-16,2.3123636503050456e-16,0.0,0.9999999999999966
69,4.584347533424134e-16,4.584347533424134e-16,0.0,0.9999999999999961
70,8.808722536533074e-16,8.808722536533074e-16,0.0,0.9999999999999952
