case_id,Lx,Ly,q,bias_strength_b,bias_direction,theta_requested,start_x,start_y,near_x,near_y,far_x,far_y,r_requested,r_actual,theta_actual,t_max,boundary_rule,bias_rule
theta0_r02_b000,15,9,0.69999999999999996,0,E,0,2,4,4,4,12,4,2,2,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r02_b004,15,9,0.69999999999999996,0.040000000000000001,E,0,2,4,4,4,12,4,2,2,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r02_b008,15,9,0.69999999999999996,0.080000000000000002,E,0,2,4,4,4,12,4,2,2,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r02_b012,15,9,0.69999999999999996,0.12,E,0,2,4,4,4,12,4,2,2,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r02_b016,15,9,0.69999999999999996,0.16,E,0,2,4,4,4,12,4,2,2,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r03_b000,15,9,0.69999999999999996,0,E,0,2,4,5,4,12,4,3,3,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r03_b004,15,9,0.69999999999999996,0.040000000000000001,E,0,2,4,5,4,12,4,3,3,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r03_b008,15,9,0.69999999999999996,0.080000000000000002,E,0,2,4,5,4,12,4,3,3,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r03_b012,15,9,0.69999999999999996,0.12,E,0,2,4,5,4,12,4,3,3,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r03_b016,15,9,0.69999999999999996,0.16,E,0,2,4,5,4,12,4,3,3,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r04_b000,15,9,0.69999999999999996,0,E,0,2,4,6,4,12,4,4,4,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r04_b004,15,9,0.69999999999999996,0.040000000000000001,E,0,2,4,6,4,12,4,4,4,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r04_b008,15,9,0.69999999999999996,0.080000000000000002,E,0,2,4,6,4,12,4,4,4,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r04_b012,15,9,0.69999999999999996,0.12,E,0,2,4,6,4,12,4,4,4,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r04_b016,15,9,0.69999999999999996,0.16,E,0,2,4,6,4,12,4,4,4,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r05_b000,15,9,0.69999999999999996,0,E,0,2,4,7,4,12,4,5,5,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r05_b004,15,9,0.69999999999999996,0.040000000000000001,E,0,2,4,7,4,12,4,5,5,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r05_b008,15,9,0.69999999999999996,0.080000000000000002,E,0,2,4,7,4,12,4,5,5,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r05_b012,15,9,0.69999999999999996,0.12,E,0,2,4,7,4,12,4,5,5,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
theta0_r05_b016,15,9,0.69999999999999996,0.16,E,0,2,4,7,4,12,4,5,5,0,180,reflecting attempted-outside-stays,"global absolute stay-to-direction shift: p_dir=q/4+b, p_stay=1-q-b"
