case_id,bias_strength_b,r_requested,r_actual,theta_actual,classification,t1,t2,tv,R_peak,R_valley,score,p_absorbed,p_near,p_far,survival_tail,row_stochasticity_error,nonnegative_min_probability,mass_balance_error,decomposition_error
theta0_r02_b000,0,2,2,0,unimodal,2,,,0,1,0,0.68904216804005003,0.63004595078503356,0.058996217255016394,0.31095783195995008,0,0.17499999999999999,8.8817841970012523e-16,4.2690460541616737e-19
theta0_r02_b004,0.040000000000000001,2,2,0,unimodal,2,,,0,1,0,0.76938330908190167,0.62297726589348579,0.14640604318841585,0.23061669091810078,2.2204460492503131e-16,0.17499999999999999,2.3314683517128287e-15,6.8355558843422037e-19
theta0_r02_b008,0.080000000000000002,2,2,0,unimodal,2,,,0,1,0,0.81536198385790282,0.58371548330627387,0.23164650055162897,0.18463801614209713,0,0.17499999999999999,3.3306690738754696e-16,7.3014240053320689e-19
theta0_r02_b012,0.12,2,2,0,unimodal,2,,,0,1,0,0.83990783391087831,0.55441207739069343,0.28549575652018488,0.16009216608912166,0,0.17499999999999999,5.5511151231257827e-16,6.5052130349130266e-19
theta0_r02_b016,0.16,2,2,0,double_peak,2,8,7,0.19971319861762499,0.197606995884375,6.0639512601410841,0.85030196950710435,0.54018125216042123,0.31012071734668301,0.14969803049289371,0,0.14000000000000004,1.8873791418627661e-15,7.0473141211557788e-19
theta0_r03_b000,0,3,3,0,double_peak,3,8,4,0.77448575866284053,0.69703718279655646,5.5555555555555554,0.58779137750025912,0.52139508674072443,0.066396290759534585,0.41220862249974083,0,0.17499999999999999,2.2204460492503131e-16,3.5120103575531428e-19
theta0_r03_b004,0.040000000000000001,3,3,0,unimodal,7,,,0,1,0,0.71733986550590734,0.55082243372516382,0.16651743178074355,0.28266013449409555,2.2204460492503131e-16,0.17499999999999999,2.9976021664879227e-15,6.2341624917916505e-19
theta0_r03_b008,0.080000000000000002,3,3,0,unimodal,3,,,0,1,0,0.78407047974404009,0.51811501796388504,0.26595546178015517,0.21592952025595971,0,0.17499999999999999,4.4408920985006262e-16,8.2331602473117993e-19
theta0_r03_b012,0.12,3,3,0,unimodal,3,,,0,1,0,0.81389563274031707,0.48312915916879579,0.33076647357152122,0.1861043672596831,0,0.17499999999999999,2.7755575615628914e-16,8.6058547441036914e-19
theta0_r03_b016,0.16,3,3,0,double_peak,3,9,4,0.53417710493612502,0.42000000000000021,7.6311014990874968,0.82446211500672906,0.46203372103319557,0.36242839397353349,0.1755378849932685,0,0.14000000000000004,2.3314683517128287e-15,6.5052130349130266e-19
theta0_r04_b000,0,4,4,0,local_bump,15,70,45,0.87410044131492204,0.86602354717825647,55.512952770122737,0.49786263122912999,0.42811037209053571,0.069752259138594341,0.50213736877087001,0,0.17499999999999999,3.3306690738754696e-16,2.1684043449710089e-19
theta0_r04_b004,0.040000000000000001,4,4,0,unimodal,13,,,0,1,0,0.67103942760641799,0.49466388102879,0.17637554657762794,0.32896057239358545,2.2204460492503131e-16,0.17499999999999999,3.219646771412954e-15,4.3368086899420177e-19
theta0_r04_b008,0.080000000000000002,4,4,0,double_peak,4,12,5,0.50759789091392549,0.44668614400425455,9.0909090909090882,0.76110073306530268,0.47731042465585888,0.28379030840944386,0.23889926693469724,0,0.17499999999999999,6.6613381477509392e-16,8.4449184841253744e-19
theta0_r04_b012,0.12,4,4,0,double_peak,4,10,5,0.65373148295781391,0.47068666772962608,8.3333333333333321,0.79751237073275827,0.44212861955473187,0.3553837511780264,0.2024876292672419,0,0.17499999999999999,4.4408920985006262e-16,7.589415207398531e-19
theta0_r04_b016,0.16,4,4,0,unimodal,8,,,0,1,0,0.80849425631387184,0.41661063246448149,0.39188362384939041,0.19150574368612538,0,0.14000000000000004,2.7755575615628914e-15,7.3183646642771549e-19
theta0_r05_b000,0,5,5,0,unimodal,97,,,0,1,0,0.41834636488187016,0.34738932323070359,0.070957041651166577,0.58165363511812973,0,0.17499999999999999,3.8857805861880479e-16,2.1684043449710089e-19
theta0_r05_b004,0.040000000000000001,5,5,0,unimodal,68,,,0,1,0,0.62536887270185804,0.44465769069344774,0.18071118200841041,0.37463112729814563,2.2204460492503131e-16,0.17499999999999999,3.7747582837255322e-15,4.3368086899420177e-19
theta0_r05_b008,0.080000000000000002,5,5,0,unimodal,21,,,0,1,0,0.73995261593508865,0.44730021812663906,0.29265239780844965,0.26004738406491129,0,0.17499999999999999,5.5511151231257827e-16,4.3368086899420177e-19
theta0_r05_b012,0.12,5,5,0,double_peak,5,17,6,0.28353187827259946,0.25517869044533958,13.333333333333329,0.78494568065806092,0.41633013781409939,0.36861554284396147,0.21505431934193925,0,0.17499999999999999,3.3306690738754696e-16,7.3183646642771549e-19
theta0_r05_b016,0.16,5,5,0,double_peak,7,13,8,0.72784685710467878,0.63614026179183725,6.8649658022385998,0.7971661726221243,0.38857711692671548,0.40858905569540899,0.2028338273778727,0,0.14000000000000004,3.1086244689504383e-15,8.6736173798840355e-19
