t,f_total,f_near,f_far,survival
0,0,0,0,1
1,0,0,0,1
2,0.030624999999999996,0.030624999999999996,0,0.96937499999999999
3,0.013474999999999999,0.013474999999999999,0,0.95589999999999997
4,0.019988937499999998,0.019988937499999998,0,0.93591106250000011
5,0.016059708909374998,0.014981504999999999,0.001078203909375,0.91985135359062487
6,0.016127330255390624,0.014941305955078123,0.0011860243003125005,0.90372402333523427
7,0.015369497740985547,0.013025347666515624,0.0023441500744699221,0.88835452559424899
8,0.015025241856503922,0.012218900807711991,0.0028063410487919305,0.8733292837377451
9,0.014746510047484902,0.011179825670068099,0.0035666843774168028,0.85858277369025993
10,0.01445647181731707,0.010455930375023986,0.0040005414422930848,0.84412630187294291
11,0.014206308608889905,0.0097539894738793865,0.004452319135010519,0.82991999326405297
12,0.013927353163346616,0.0091711802807290244,0.0047561728826175913,0.81599264010070627
13,0.013655936232976354,0.0086346828190637919,0.0050212534139125629,0.80233670386773004
14,0.013372428945880952,0.0081576896924142432,0.005214739253466708,0.78896427492184906
15,0.013091910192176395,0.007718882260778469,0.0053730279313979265,0.77587236472967269
16,0.012811584268172829,0.0073171591098211532,0.0054944251583516745,0.76306078046149994
17,0.012537533609457877,0.0069447864016497236,0.0055927472078081521,0.75052324685204186
18,0.01227042095453185,0.0065991977901983835,0.0056712231643334665,0.73825282589751018
19,0.012012630971160192,0.0062768145663938801,0.005735816404766312,0.72624019492634984
20,0.011764759917296693,0.0059755535058591503,0.0057892064114375419,0.71447543500905342
21,0.011527493527643807,0.0056933447030960383,0.0058341488245477694,0.70294794148140938
22,0.011300841184200133,0.0054286349761071993,0.0058722062080929331,0.69164710029720911
23,0.011084661410733583,0.0051800089229394417,0.0059046524877941417,0.68056243888647572
24,0.010878538060633981,0.0049462729542930238,0.0059322651063409568,0.66968390082584162
25,0.01068194991274039,0.0047263479269413003,0.0059556019857990887,0.65900195091310132
26,0.010494275985487224,0.0045192731641133738,0.005975002821373851,0.64850767492761408
27,0.010314860534805723,0.004324171092799943,0.0059906894420057796,0.63819281439280839
28,0.010143032473059563,0.0041402401617317963,0.0060027923113277664,0.62804978191974881
29,0.0099781330009688467,0.003966740778650682,0.0060113922223181647,0.61807164891877986
30,0.0098195283256204101,0.0038029890927396988,0.0060165392328807108,0.60825212059315958
31,0.0096666209924562707,0.0036483501524322576,0.0060182708400240139,0.59858549960070317
32,0.009518855338622987,0.0035022335351025911,0.0060166218035203958,0.58906664426208033
33,0.0093757208564117182,0.0033640893145036716,0.006011631541908047,0.57969092340566852
34,0.0092367529500406165,0.0032334049369520477,0.0060033480130885679,0.57045417045562807
35,0.0091015323539227269,0.0031097024249576643,0.0059918299289650635,0.56135263810170521
36,0.0089696833935839493,0.0029925359751881778,0.0059771474183957706,0.55238295470812149
37,0.0088408716042487779,0.0028814897747271866,0.0059593818295215917,0.54354208310387253
38,0.008714800913146966,0.0027761760218714317,0.0059386248912755351,0.53482728219072562
39,0.0085912106223059378,0.002676233091721937,0.0059149775305840013,0.52623607156841956
40,0.0084698723226175662,0.002581323830378316,0.0058885484922392498,0.51776619924580203
41,0.0083505868503733101,0.0024911339552977155,0.0058594528950755955,0.50941561239542876
42,0.0082331813531855789,0.0024053705521225612,0.0058278108010630172,0.50118243104224314
43,0.008117506512894385,0.0023237606586149371,0.0057937458542794478,0.49306492452934891
44,0.0080034339520713739,0.0022460499303279782,0.0057573840217433952,0.48506149057727738
45,0.0078908538385159006,0.002172001383344942,0.0057188524551709582,0.47717063673876159
46,0.0077796726918620534,0.0021013942106611729,0.0056782784812008805,0.46939096404689939
47,0.0076698113899005315,0.0020340226690932347,0.0056357887208072967,0.46172115265699903
48,0.007561203367459449,0.0019696950339258995,0.0055915083335335491,0.45415994928953951
49,0.0074537929977579343,0.0019082326185629016,0.0055455603791950327,0.44670615629178156
50,0.0073475341443247251,0.0018494688564821835,0.0054980652878425414,0.4393586221474568
51,0.0072423888706772046,0.0017932484427650884,0.0054491404279121162,0.43211623327677967
52,0.0071383262946680872,0.0017394265324412619,0.0053988997622268255,0.42497790698211158
53,0.0070353215745706538,0.0016878679928629826,0.005347453581707671,0.41794258540754098
54,0.0069333550144317531,0.0016384467073129109,0.0052949083071188417,0.41100923039310916
