w2,skip2,phase,double_peak,clear_double_peak,sep_mode_width,t_peak1,t_peak2,p_m1,p_m2,valley_over_max
1,0,2,1,1,1.1657142857142857,38,436,0.19412069415309746,0.6715233582672426,0.2345893758599293
1,1,2,1,1,1.191304347826087,34,426,0.3185181757207524,0.5499823678892697,0.13652016059341252
1,2,0,0,0,1.0785973397823458,,,0.6262103897769986,0.24885542610562217,
1,3,0,0,0,1.0062111801242235,,,0.6913541175849982,0.18482246805117217,
1,4,0,0,0,0.9922480620155039,,,0.7104903979851726,0.1659314272198999,
1,5,0,0,0,0.9862258953168044,,,0.7228911739253907,0.1534247665915057,
1,6,0,0,0,0.9790940766550522,,,0.7317841275541234,0.14410916346641445,
2,0,1,1,0,1.2820512820512822,41,314,0.11820195338629597,0.6690890539852938,0.12018008905257961
2,1,2,1,1,1.3461538461538463,36,313,0.16992959270904667,0.6211546937979596,0.17560265816145268
2,2,2,1,1,1.3542168674698796,34,308,0.32115561592209313,0.4899068610776168,0.13569372255573628
2,3,2,1,1,1.1010830324909748,31,273,0.6293114684638912,0.21868795063441943,0.06715165060846752
2,4,0,0,0,0.95,,,0.6961376908949966,0.15974509026011519,
2,5,0,0,0,0.918918918918919,,,0.7172274709680169,0.14092356048066493,
2,6,0,0,0,0.9088888888888889,,,0.7307112388720999,0.12851850765536177,
3,0,1,1,0,1.3370165745856353,46,287,0.10269319434415908,0.4481166873674255,0.09114916491173004
3,1,1,1,0,1.4604105571847508,38,286,0.1405176690004699,0.4218224532738668,0.12061031400606029
3,2,2,1,1,1.5135135135135136,35,284,0.21613275340658228,0.37795269042599877,0.1941798070272299
3,3,2,1,1,1.4867256637168142,34,277,0.377993319560566,0.2891899438159274,0.1292282726049692
3,4,0,0,0,1.1702127659574468,,,0.6570718570043887,0.12745142335190335,
3,5,0,0,0,0.9446153846153846,,,0.7176938550206761,0.09207510246488282,
3,6,0,0,0,0.8663239074550129,,,0.7375591555383707,0.08015735369243912,
4,0,1,1,0,2.152289156626506,50,266,0.09082373145794789,0.23099704640342392,0.08750813791535604
4,1,1,1,0,1.4258675078864353,266,693,0.12733546100930965,0.21413569230387927,0.46550440951259925
4,2,2,1,1,1.5282392026578073,37,265,0.18449962253899693,0.19527741792113545,0.19748671872750828
4,3,2,1,1,1.5451505016722409,35,261,0.27549553871494153,0.16990902741886232,0.18019526540924055
4,4,1,1,0,1.5263157894736843,34,242,0.439980110699541,0.12676798270256429,0.12235608538888018
4,5,0,0,0,1.248780487804878,,,0.6864745363884887,0.05592294284385488,
4,6,0,0,0,1.0285714285714285,,,0.7396904811788763,0.040377016385092064,
5,0,1,1,0,2.316546762589928,245,2249,0.07223815365008827,0.102129118310995,0.5208644466522131
5,1,1,1,0,2.1466666666666665,245,1998,0.10880192722414615,0.09194579321195205,0.5601122620446022
5,2,1,1,0,1.404109589041096,245,1485,0.16111711799902523,0.08258104023397776,0.6504626555087831
5,3,1,1,0,1.4577464788732395,37,855,0.23172009674059632,0.07325990059928794,0.22083491588364063
5,4,1,1,0,1.475177304964539,35,694,0.3317199035945021,0.06219134852383401,0.16955111588999652
5,5,1,1,0,1.4545454545454546,34,565,0.49239030048487,0.045524084663301795,0.07531520293639536
5,6,0,0,0,1.1958762886597938,,,0.7109092609421813,0.02027936946496985,
