t,f_any,f_m1_first,f_m2_first,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0000000000000002
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0000000000000002
5,0.0,0.0,0.0,1.0000000000000004
6,0.0,0.0,0.0,1.0000000000000004
7,7.812500000000004e-10,7.812500000000004e-10,0.0,0.9999999992187504
8,4.406250000000003e-09,4.406250000000003e-09,0.0,0.9999999948125006
9,1.4349765625000005e-08,1.4349765625000005e-08,0.0,0.9999999804627351
10,3.540595000000002e-08,3.540595000000002e-08,0.0,0.999999945056785
11,7.350727521875003e-08,7.350727521875003e-08,0.0,0.9999998715495099
12,1.3553157124015632e-07,1.3553157124015632e-07,0.0,0.9999997360179388
13,2.2912519693815792e-07,2.2912519693815792e-07,0.0,0.9999995068927419
14,3.625439950950521e-07,3.625439950950521e-07,0.0,0.999999144348747
15,5.445041855524986e-07,5.445041855524986e-07,0.0,0.9999985998445614
16,7.84035281039908e-07,7.840352810379441e-07,1.9638061523437523e-18,0.9999978158092804
17,1.090330785407387e-06,1.090330785381995e-06,2.5392013549804715e-17,0.9999967254784952
18,1.4725965350855547e-06,1.4725965349108262e-06,1.7472847412109398e-16,0.99999525288196
19,1.939899576942198e-06,1.9398995760919865e-06,8.502112814315808e-16,0.9999933129823833
20,2.5010220619243956e-06,2.5010220586435045e-06,3.2808909109923146e-15,0.9999908119603214
21,3.164324955754779e-06,3.1643249450746275e-06,1.0680151532977194e-14,0.9999876476353655
22,3.937625809211754e-06,3.937625778738405e-06,3.04733493236868e-14,0.9999837100095565
23,4.828093782863303e-06,4.828093704653119e-06,7.821018387361299e-14,0.9999788819157736
24,5.842163899115483e-06,5.842163715183228e-06,1.8393225469334887e-13,0.9999730397518746
25,6.9854713133688895e-06,6.985470911470724e-06,4.018981662219483e-13,0.9999660542805614
26,8.262805380958018e-06,8.262804556302873e-06,8.246551447598668e-13,0.9999577914751805
27,9.678082502938734e-06,9.678080900466574e-06,1.6024721591380066e-12,0.9999481133926778
28,1.1234336170060506e-05,1.1234333200954772e-05,2.969105732997082e-12,0.9999368790565076
29,1.2933722270574344e-05,1.2933716995820764e-05,5.2747535806776174e-12,0.9999239453342372
30,1.4777537550049577e-05,1.4777528523182397e-05,9.026867179882846e-12,0.9999091677966873
31,1.6766249071887913e-05,1.6766234132635414e-05,1.4939252497841e-11,0.9998924015476154
32,1.8899532588993686e-05,1.889950859939092e-05,2.3989602764335952e-11,0.9998735020150266
33,2.1176317867922805e-05,2.1176280382627237e-05,3.748529556944886e-11,0.9998523256971588
34,2.3594839180432786e-05,2.3594782043466008e-05,5.7136966779782713e-11,0.9998287308579782
35,2.6152689373228254e-05,2.6152604234164856e-05,8.513906339874098e-11,0.9998025781686051
36,2.8846876129718018e-05,2.884675187342567e-05,1.2425629234693599e-10,0.9997737312924757
37,3.1673879237162054e-05,3.1673701322526725e-05,1.779146353319631e-10,0.9997420574132384
38,3.4629707861691724e-05,3.462945756629031e-05,2.502954014153802e-10,0.9997074277053768
39,3.7709957008105115e-05,3.770961057746008e-05,3.4643064503637495e-10,0.9996697177483689
40,4.090986249888244e-05,4.090939020069123e-05,4.722981912124409e-10,0.99962880788587
41,4.422435394678143e-05,4.422371903230002e-05,6.349144814109808e-10,0.9995845835319231
42,4.7648105317886006e-05,4.76472628944055e-05,8.42423480511553e-10,0.9995369354266054
43,5.1175582787933665e-05,5.1174478607971114e-05,1.104179962548142e-09,0.9994857598438175
44,5.4801089685347405e-05,5.479965885973327e-05,1.4308256141290978e-09,0.9994309587541321
45,5.8518808391034e-05,5.851697403448188e-05,1.8343565521191577e-09,0.9993724399457413
46,6.23228391291296e-05,6.232051094809128e-05,2.3281810383197904e-09,0.9993101171066121
