t,f_total,f_shortcut_no,f_shortcut_yes,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0000000000000002
2,0.020655928832000004,0.001877811712000001,0.018778117120000003,0.9793440711680003
3,0.012328902579354015,0.0010676336382394376,0.011261268941114578,0.9670151685886462
4,0.007277471804599566,0.0006366681255851245,0.006640803679014442,0.9597376967840469
5,0.004385793158527132,0.00038404746891306646,0.004001745689614066,0.9553519036255198
6,0.0030393265723025293,0.0005656147535677914,0.002473711818734738,0.9523125770532173
7,0.004189319070230683,0.002623607190550026,0.0015657118796806569,0.9481232579829867
8,0.007169878995431456,0.006159257212067507,0.0010106217833639492,0.9409533789875554
9,0.01041103037428793,0.009747842333158802,0.0006631880411291289,0.9305423486132673
10,0.012774232826985154,0.012332948018484327,0.00044128480850082663,0.9177681157862823
11,0.013858715504072304,0.013561563131717205,0.0002971523723550982,0.9039094002822101
12,0.013771679219278386,0.013569486002736775,0.00020219321654161012,0.8901377210629319
13,0.012838235468852734,0.012699368987453188,0.00013886648139954595,0.8772994855940792
14,0.011410163470835474,0.011313977340497553,9.618613033792035e-05,0.8658893221232438
15,0.00977686753930222,0.009709717602165444,6.7149937136777e-05,0.8561124545839416
16,0.008141073478029568,0.008093845493434079,4.722798459548965e-05,0.8479713811059122
17,0.006626156409415079,0.00659270408054662,3.345232886845949e-05,0.8413452246964972
18,0.0052945878698582504,0.005270730927960193,2.3856941898057745e-05,0.836050636826639
19,0.004167212114951804,0.004150085243669227,1.7126871282577382e-05,0.8318834247116873
20,0.0032392258173221064,0.003226850786801245,1.2375030520861428e-05,0.8286441988943651
21,0.0024918992153797064,0.0024829009245046687,8.998290875037504e-06,0.8261522996789856
22,0.001900448573312276,0.001893864945405309,6.583627906966882e-06,0.8242518511056733
23,0.001438910661461293,0.001434064367303475,4.846294157817836e-06,0.8228129404442122
24,0.0010828840532281453,0.0010792953277634662,3.588725464679156e-06,0.8217300563909842
25,0.0008108551931130247,0.0008081821840754699,2.673009037554782e-06,0.8209192011978712
26,0.0006046460128826218,0.0006026437096406727,2.002303241949076e-06,0.8203145551849886
27,0.00044935706646582866,0.00044784885211108925,1.5082143547394085e-06,0.8198651981185229
28,0.00033305210590952434,0.0003319099392160176,1.1421666935067328e-06,0.8195321460126135
29,0.0002463369617004155,0.00024546749381642815,8.69467883987319e-07,0.8192858090509132
30,0.000181921735538319,0.0001812565310494895,6.652044888294981e-07,0.8191038873153749
31,0.0001342135989544069,0.00013370221094307952,5.113880113273956e-07,0.8189696737164205
32,9.896154042795533e-05,9.856658059262091e-05,3.949598353344193e-07,0.8188707121759927
33,7.295914660674793e-05,7.265275724608839e-05,3.0638936065954463e-07,0.8187977530293862
34,5.380319597068389e-05,5.3564512043803135e-05,2.386839268807545e-07,0.8187439498334156
35,3.9701861202207154e-05,3.951517516746794e-05,1.866860347392155e-07,0.8187042479722134
36,2.9324895183704737e-05,2.917832318402317e-05,1.4657199968156622e-07,0.8186749230770299
37,2.168817309839957e-05,2.1572680576163354e-05,1.1549252223621578e-07,0.8186532349039316
38,1.6065668900340078e-05,1.5974355174396177e-05,9.131372594390238e-08,0.8186371692350313
39,1.1922935506502544e-05,1.1850505846812629e-05,7.242965968991535e-08,0.818625246299525
40,8.867197034470689e-06,8.809571158576533e-06,5.7625875894156374e-08,0.8186163791024906
41,6.610126290050546e-06,6.5641466041214065e-06,4.5979685929139445e-08,0.8186097689762006
42,4.9402184973332814e-06,4.903431619548487e-06,3.678687778479501e-08,0.8186048287577035
43,3.7023690585900704e-06,3.672861442543894e-06,2.9507616046176585e-08,0.8186011263886449
44,2.782825557514557e-06,2.7590992451074738e-06,2.3726312407083218e-08,0.8185983435630877
45,2.0981282950253887e-06,2.079006576391384e-06,1.9121718634004863e-08,0.8185962454347927
46,1.5869984241192413e-06,1.5715538898093504e-06,1.5444534309890892e-08,0.8185946584363687
47,1.2043969209031539e-06,1.1918963564511343e-06,1.2500564452019477e-08,0.8185934540394479
48,9.171779116890779e-07,9.070399170146097e-07,1.0137994674468226e-08,0.8185925368615364
49,7.009104278071306e-07,6.926726927133509e-07,8.237735093779634e-09,0.8185918359511086
50,5.375550403817784e-07,5.308489788116468e-07,6.706061570131532e-09,0.8185912983960685
51,4.137652347691111e-07,4.0829625039123073e-07,5.468984377880378e-09,0.8185908846308335
52,3.196449975110136e-07,3.1517707610418254e-07,4.467921406831071e-09,0.8185905649858364
53,2.4783942753631174e-07,2.4418306682609473e-07,3.6563607102169827e-09,0.8185903171464091
54,1.9286844273855023e-07,1.8987116625904937e-07,2.9972764795008514e-09,0.8185901242779664
55,1.5063799071760067e-07,1.4817686961340728e-07,2.4611211041933998e-09,0.8185899736399758
56,1.1808094723233749e-07,1.160566877827195e-07,2.0242594496179836e-09,0.8185898555590285
57,9.289284879257034e-08,9.122510490550484e-08,1.6677438870655044e-09,0.8185897626661799
58,7.333704994242353e-08,7.196069708226644e-08,1.3763528601570911e-09,0.8185896893291301
59,5.8100772088123976e-08,5.696293809392426e-08,1.1378339941997149e-09,0.818589631228358
60,4.6188516088298555e-08,4.5246209583245325e-08,9.42306505053231e-10,0.8185895850398422
61,3.684295454718035e-08,3.6061166467276096e-08,7.817880799042591e-10,0.8185895481968878
62,2.9486073208817663e-08,2.883625388528666e-08,6.498193235310011e-10,0.8185895187108148
63,2.367526439602717e-08,2.31340994853655e-08,5.411649106616696e-10,0.8185894950355506
