N,K,mode,q,beta,p_shortcut,rho,n0,target,sc_src,sc_dst,T_len,survival_end,n_peaks_paper,t1,tv,t2,paper_bimodal,macro_bimodal
10,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,6,6,7,545,9.884200090247548e-15,1,6,,,False,False
12,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,7,6,8,747,9.737600374843698e-15,1,9,,,False,False
14,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,8,6,9,979,9.925324567316826e-15,1,12,,,False,False
16,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,9,6,10,1239,9.99682972706976e-15,1,15,,,False,False
18,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,10,6,11,1530,9.93833191591196e-15,1,19,,,False,False
20,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,11,6,12,1849,9.95715066892983e-15,1,23,,,False,False
22,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,12,6,13,2197,9.992152537203189e-15,1,28,,,False,False
24,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,13,6,14,2574,9.9322278981498e-15,1,32,,,False,False
26,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,14,6,15,2979,9.926160247688966e-15,1,38,,,False,False
28,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,15,6,16,3412,9.918546743257694e-15,1,43,,,False,False
30,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,16,6,17,3872,9.9778927351591e-15,1,49,,,False,False
32,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,17,6,18,4360,9.987617469232787e-15,1,56,,,False,False
34,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,18,6,19,4876,9.947158049383983e-15,1,62,,,False,False
36,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,19,6,20,5418,9.976394496625819e-15,1,69,,,False,False
38,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,20,6,21,5987,9.989421177286852e-15,1,77,,,False,False
40,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,21,6,22,6583,9.978799291957235e-15,1,85,,,False,False
42,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,22,6,23,7205,9.985277183835066e-15,1,93,,,False,False
44,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,23,6,24,7853,9.995452435270364e-15,1,101,,,False,False
46,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,24,6,25,8527,9.999966691510433e-15,1,110,,,False,False
48,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,25,6,26,9227,9.992338267384045e-15,1,119,,,False,False
50,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,26,6,27,9953,9.968211331841209e-15,1,129,,,False,False
52,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,27,6,28,10703,9.985243765239552e-15,1,139,,,False,False
54,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,28,6,29,11479,9.972888038935391e-15,1,149,,,False,False
56,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,29,6,30,12279,9.984136344955838e-15,1,159,,,False,False
58,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,30,6,31,13104,9.984850401380046e-15,1,170,,,False,False
60,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,31,6,32,13953,9.995485370590488e-15,1,182,,,False,False
62,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,32,6,33,14827,9.988086958307171e-15,1,193,,,False,False
64,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,33,6,34,15725,9.982322530292491e-15,1,205,,,False,False
66,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,34,6,35,16646,9.993699447686001e-15,1,217,,,False,False
68,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,35,6,36,17591,9.997562137980212e-15,1,230,,,False,False
70,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,36,6,37,18560,9.991781811221407e-15,1,243,,,False,False
72,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,37,6,38,19552,9.991366297333961e-15,2,32,40,256,True,False
74,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,38,6,39,20567,9.992685084613877e-15,2,32,44,270,True,False
76,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,39,6,40,21605,9.992810777447846e-15,2,31,47,284,True,False
78,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,40,6,41,22666,9.98938985569245e-15,2,31,51,298,True,False
80,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,41,6,42,23749,9.99419911965662e-15,2,31,55,312,True,True
82,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,42,6,43,24855,9.990864309600367e-15,2,31,58,327,True,True
84,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,43,6,44,25983,9.99081551730557e-15,2,31,62,342,True,True
86,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,44,6,45,27133,9.991654814416948e-15,2,31,66,358,True,True
88,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,45,6,46,28305,9.991392964984255e-15,2,31,70,374,True,True
90,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,46,6,47,29498,9.999383865136903e-15,2,31,74,390,True,True
92,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,47,6,48,30714,9.991831547419772e-15,2,31,78,406,True,True
94,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,48,6,49,31950,9.999398629494371e-15,2,31,82,423,True,True
96,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,49,6,50,33208,9.999321008449935e-15,2,31,86,440,True,True
98,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,50,6,51,34488,9.990996577472637e-15,2,31,91,457,True,True
100,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,51,6,52,35788,9.992089703648366e-15,2,31,95,475,True,True
102,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,52,6,53,37109,9.991563483588596e-15,2,31,100,493,True,True
104,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,53,6,54,38450,9.996783960332743e-15,2,31,104,511,True,True
106,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,54,6,55,39812,9.997832563298977e-15,2,31,109,530,True,True
108,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,55,6,56,41195,9.993994851817091e-15,2,31,114,549,True,True
