N,K,mode,q,beta,p_shortcut,rho,n0,target,sc_src,sc_dst,T_len,survival_end,n_peaks_paper,t1,tv,t2,paper_bimodal,macro_bimodal
100,4,lazy_selfloop,0.6666667,0.0,0.0,1.0,1,51,6,52,40908,9.998632138099647e-15,1,517,,,False,False
100,4,lazy_selfloop,0.6666667,0.0005,0.00016666665000000002,1.0,1,51,6,52,40755,9.99850964580227e-15,1,516,,,False,False
100,4,lazy_selfloop,0.6666667,0.001,0.00033333330000000005,1.0,1,51,6,52,40604,9.994546053893166e-15,2,32,63,515,True,True
100,4,lazy_selfloop,0.6666667,0.002,0.0006666666000000001,1.0,1,51,6,52,40305,9.998379704783476e-15,2,32,68,513,True,True
100,4,lazy_selfloop,0.6666667,0.005,0.0016666665000000004,1.0,1,51,6,52,39444,9.99586600098589e-15,2,32,76,506,True,True
100,4,lazy_selfloop,0.6666667,0.01,0.003333333000000001,1.0,1,51,6,52,38113,9.999659153212428e-15,2,32,84,495,True,True
100,4,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,51,6,52,35788,9.992089703648366e-15,2,31,95,475,True,True
100,4,lazy_selfloop,0.6666667,0.03,0.009999999,1.0,1,51,6,52,33824,9.992036899925518e-15,2,31,103,457,True,True
100,4,lazy_selfloop,0.6666667,0.05,0.016666665000000004,1.0,1,51,6,52,30694,9.994880559969006e-15,2,30,117,424,True,True
100,4,lazy_selfloop,0.6666667,0.07,0.023333331000000006,1.0,1,51,6,52,28317,9.996156168476725e-15,2,29,129,395,True,True
100,4,lazy_selfloop,0.6666667,0.1,0.03333333000000001,1.0,1,51,6,52,25670,9.994944810336869e-15,2,28,148,356,True,True
100,4,lazy_selfloop,0.6666667,0.15,0.049999995000000005,1.0,1,51,6,52,22724,9.999840193635647e-15,2,27,185,295,True,True
100,4,lazy_selfloop,0.6666667,0.2,0.06666666000000002,1.0,1,51,6,52,20811,9.985063602489736e-15,1,26,,,False,False
100,4,lazy_selfloop,0.6666667,0.3,0.09999999000000001,1.0,1,51,6,52,18506,9.986069663685949e-15,1,24,,,False,False
100,4,lazy_selfloop,0.6666667,0.5,0.16666665000000003,1.0,1,51,6,52,16351,9.99518431052199e-15,1,22,,,False,False
100,4,lazy_selfloop,0.6666667,1.0,0.33333330000000005,1.0,1,51,6,52,14595,9.985151354442608e-15,1,19,,,False,False
