t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,2,nan,nan,nan,nan,nan,nan
6,8,nan,nan,nan,nan,nan,nan
7,14,nan,nan,nan,nan,nan,nan
8,12,nan,nan,nan,nan,nan,nan
9,24,nan,nan,nan,nan,nan,nan
10,23,nan,nan,nan,nan,nan,nan
11,28,nan,nan,nan,nan,nan,nan
12,30,nan,nan,nan,nan,nan,nan
13,32,nan,nan,nan,nan,nan,nan
14,25,nan,nan,nan,nan,nan,nan
15,32,nan,nan,nan,nan,nan,nan
16,46,nan,nan,nan,nan,nan,nan
17,34,nan,nan,nan,nan,nan,nan
18,36,nan,nan,nan,nan,nan,nan
19,44,nan,nan,nan,nan,nan,nan
20,47,nan,nan,nan,nan,nan,nan
21,41,nan,nan,nan,nan,nan,nan
22,49,nan,nan,nan,nan,nan,nan
23,37,nan,nan,nan,nan,nan,nan
24,49,nan,nan,nan,nan,nan,nan
25,47,nan,nan,nan,nan,nan,nan
26,42,nan,nan,nan,nan,nan,nan
27,48,nan,nan,nan,nan,nan,nan
28,44,nan,nan,nan,nan,nan,nan
29,48,nan,nan,nan,nan,nan,nan
30,37,nan,nan,nan,nan,nan,nan
31,42,nan,nan,nan,nan,nan,nan
32,32,nan,nan,nan,nan,nan,nan
33,53,1.0,0.3102310231023102,0.0,0.6897689768976898,0.0,0.3102310231023102
34,33,nan,nan,nan,nan,nan,nan
35,39,nan,nan,nan,nan,nan,nan
36,49,nan,nan,nan,nan,nan,nan
37,41,nan,nan,nan,nan,nan,nan
38,50,1.0,0.3307349665924276,0.0,0.6692650334075724,0.0,0.3307349665924276
39,45,nan,nan,nan,nan,nan,nan
40,37,nan,nan,nan,nan,nan,nan
41,44,nan,nan,nan,nan,nan,nan
42,53,1.0,0.3352017937219731,0.0,0.6647982062780269,0.0,0.3352017937219731
43,39,nan,nan,nan,nan,nan,nan
44,41,nan,nan,nan,nan,nan,nan
45,32,nan,nan,nan,nan,nan,nan
46,47,nan,nan,nan,nan,nan,nan
47,55,0.9988776655443322,0.3400673400673401,0.001122334455667789,0.6588103254769921,0.0,0.3400673400673401
48,37,nan,nan,nan,nan,nan,nan
49,37,nan,nan,nan,nan,nan,nan
50,37,nan,nan,nan,nan,nan,nan
51,51,0.9988700564971752,0.35141242937853107,0.0011299435028248588,0.6474576271186441,0.0,0.35141242937853107
52,40,nan,nan,nan,nan,nan,nan
53,48,nan,nan,nan,nan,nan,nan
54,35,nan,nan,nan,nan,nan,nan
55,43,nan,nan,nan,nan,nan,nan
