N,K,mode,q,beta,p_shortcut,rho,n0,target,sc_src,sc_dst,T_len,survival_end,n_peaks_paper,t1,tv,t2,paper_bimodal,macro_bimodal
10,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,6,6,7,979,9.92958496644586e-15,1,12,,,False,False
12,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,7,6,8,1414,9.811631877924565e-15,1,18,,,False,False
14,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,8,6,9,1917,9.964648611288524e-15,1,24,,,False,False
16,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,9,6,10,2488,9.953580900819311e-15,1,32,,,False,False
18,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,10,6,11,3125,9.916538051541e-15,1,40,,,False,False
20,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,11,6,12,3826,9.921499117304808e-15,1,49,,,False,False
22,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,12,6,13,4589,9.99892209916056e-15,1,59,,,False,False
24,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,13,6,14,5415,9.981252351908358e-15,1,70,,,False,False
26,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,14,6,15,6301,9.998579653000556e-15,1,82,,,False,False
28,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,15,6,16,7247,9.985202298849353e-15,1,95,,,False,False
30,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,16,6,17,8251,9.985941986236225e-15,1,108,,,False,False
32,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,17,6,18,9312,9.992675613396011e-15,1,122,,,False,False
34,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,18,6,19,10430,9.970264599726889e-15,1,137,,,False,False
36,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,19,6,20,11602,9.982383323030763e-15,1,153,,,False,False
38,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,20,6,21,12828,9.994119416620536e-15,1,170,,,False,False
40,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,21,6,22,14108,9.983133388924173e-15,1,187,,,False,False
42,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,22,6,23,15439,9.998511170128917e-15,1,206,,,False,False
44,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,23,6,24,16822,9.997041535224414e-15,1,225,,,False,False
46,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,24,6,25,18256,9.984717678808418e-15,1,244,,,False,False
48,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,25,6,26,19738,9.999328047308403e-15,1,265,,,False,False
50,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,26,6,27,21270,9.992057884708645e-15,1,286,,,False,False
52,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,27,6,28,22849,9.998641404874023e-15,1,308,,,False,False
54,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,28,6,29,24476,9.992858217389809e-15,1,330,,,False,False
56,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,29,6,30,26149,9.992593984947136e-15,1,353,,,False,False
58,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,30,6,31,27868,9.9884249895037e-15,2,52,69,377,True,False
60,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,31,6,32,29631,9.995267640755727e-15,2,52,78,402,True,False
62,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,32,6,33,31439,9.99390823016669e-15,2,51,86,427,True,False
64,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,33,6,34,33290,9.998764640067839e-15,2,51,94,453,True,False
66,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,34,6,35,35185,9.993727575298837e-15,2,51,102,480,True,False
68,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,35,6,36,37122,9.992406321770658e-15,2,51,111,507,True,False
70,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,36,6,37,39100,9.9975724893152e-15,2,51,120,535,True,True
72,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,37,6,38,41120,9.995793852485294e-15,2,51,129,563,True,True
74,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,38,6,39,43180,9.998839978907818e-15,2,51,138,592,True,True
76,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,39,6,40,45281,9.994955944815962e-15,2,51,148,622,True,True
78,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,40,6,41,47421,9.995124252447426e-15,2,51,158,652,True,True
80,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,41,6,42,49600,9.995448701725593e-15,2,51,168,683,True,True
82,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,42,6,43,51817,9.99903829458004e-15,2,51,179,714,True,True
84,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,43,6,44,54073,9.99657000787389e-15,2,51,190,747,True,True
86,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,44,6,45,56366,9.997574039076796e-15,2,51,201,779,True,True
88,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,45,6,46,58696,9.999110517710427e-15,2,51,213,812,True,True
90,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,46,6,47,61063,9.998752553687312e-15,2,51,225,846,True,True
92,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,47,6,48,63466,9.999615753527923e-15,2,51,237,880,True,True
94,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,48,6,49,65905,9.999498328352243e-15,2,51,250,915,True,True
96,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,49,6,50,68380,9.996570224631894e-15,2,51,263,950,True,True
98,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,50,6,51,70889,9.998466282970025e-15,2,51,277,986,True,True
100,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,51,6,52,73433,9.998569484119555e-15,2,51,291,1022,True,True
102,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,52,6,53,76011,9.999726995979437e-15,2,51,305,1059,True,True
104,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,53,6,54,78624,9.99620507076091e-15,2,51,319,1097,True,True
106,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,54,6,55,81269,9.999015197268003e-15,2,51,334,1135,True,True
108,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,55,6,56,83948,9.998497351353052e-15,2,51,350,1173,True,True
110,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,56,6,57,86660,9.997447005851621e-15,2,51,366,1212,True,True
112,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,57,6,58,89404,9.998355952387239e-15,2,51,382,1251,True,True
114,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,58,6,59,92180,9.999930392153115e-15,2,51,398,1291,True,True
116,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,59,6,60,94989,9.99764110371946e-15,2,51,415,1331,True,True
118,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,60,6,61,97829,9.997453395169037e-15,2,51,432,1372,True,True
120,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,61,6,62,100700,9.998245253419192e-15,2,51,450,1413,True,True
122,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,62,6,63,103602,9.999041089656532e-15,2,51,468,1454,True,True
124,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,63,6,64,106535,9.998993683907722e-15,2,51,487,1496,True,True
126,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,64,6,65,109499,9.99736918824132e-15,2,51,506,1539,True,True
128,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,65,6,66,112492,9.999295455483944e-15,2,51,525,1582,True,True
130,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,66,6,67,115516,9.998162099764403e-15,2,51,545,1625,True,True
132,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,67,6,68,118569,9.998985923173637e-15,2,51,566,1668,True,True
134,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,68,6,69,121652,9.998304435226768e-15,2,51,586,1713,True,True
136,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,69,6,70,124764,9.99820890260827e-15,2,51,608,1757,True,True
138,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,70,6,71,127905,9.998068725095663e-15,2,51,629,1802,True,True
140,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,71,6,72,131074,9.999799914965161e-15,2,51,651,1847,True,True
142,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,72,6,73,134273,9.99791042227795e-15,2,51,674,1893,True,True
144,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,73,6,74,137499,9.999216233472742e-15,2,51,697,1938,True,True
146,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,74,6,75,140754,9.99841037463822e-15,2,51,720,1985,True,True
148,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,75,6,76,144036,9.999674462641053e-15,2,51,744,2031,True,True
150,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,76,6,77,147347,9.998033441862348e-15,2,51,769,2078,True,True
152,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,77,6,78,150684,9.999710031474244e-15,2,51,794,2126,True,True
154,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,78,6,79,154049,9.999882579582693e-15,2,51,819,2173,True,True
156,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,79,6,80,157442,9.998265990884124e-15,2,51,845,2221,True,True
158,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,80,6,81,160861,9.998636579836757e-15,2,51,871,2269,True,True
160,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,81,6,82,164307,9.998550569458443e-15,2,51,898,2318,True,True
