N,K,mode,q,beta,p_shortcut,rho,n0,target,sc_src,sc_dst,T_len,survival_end,n_peaks_paper,t1,tv,t2,paper_bimodal,macro_bimodal
100,2,lazy_selfloop,0.6666667,0.0,0.0,1.0,1,51,6,52,98713,9.997252659964868e-15,1,1250,,,False,False
100,2,lazy_selfloop,0.6666667,0.0005,0.00016666665000000002,1.0,1,51,6,52,97777,9.996904297471455e-15,2,54,160,1243,True,True
100,2,lazy_selfloop,0.6666667,0.001,0.00033333330000000005,1.0,1,51,6,52,96863,9.9987029670136e-15,2,54,173,1236,True,True
100,2,lazy_selfloop,0.6666667,0.002,0.0006666666000000001,1.0,1,51,6,52,95101,9.998214350189576e-15,2,54,189,1222,True,True
100,2,lazy_selfloop,0.6666667,0.005,0.0016666665000000004,1.0,1,51,6,52,90282,9.998711040400503e-15,2,53,217,1183,True,True
100,2,lazy_selfloop,0.6666667,0.01,0.003333333000000001,1.0,1,51,6,52,83535,9.996349082223036e-15,2,53,247,1124,True,True
100,2,lazy_selfloop,0.6666667,0.02,0.006666666000000002,1.0,1,51,6,52,73433,9.998569484119555e-15,2,51,291,1022,True,True
100,2,lazy_selfloop,0.6666667,0.03,0.009999999,1.0,1,51,6,52,66261,9.99947098249951e-15,2,50,329,935,True,True
100,2,lazy_selfloop,0.6666667,0.05,0.016666665000000004,1.0,1,51,6,52,56829,9.999186061079308e-15,2,48,410,780,True,True
100,2,lazy_selfloop,0.6666667,0.07,0.023333331000000006,1.0,1,51,6,52,50973,9.999570829638474e-15,1,46,,,False,False
100,2,lazy_selfloop,0.6666667,0.1,0.03333333000000001,1.0,1,51,6,52,45520,9.994785703283025e-15,1,44,,,False,False
100,2,lazy_selfloop,0.6666667,0.15,0.049999995000000005,1.0,1,51,6,52,40553,9.994915391421024e-15,1,41,,,False,False
100,2,lazy_selfloop,0.6666667,0.2,0.06666666000000002,1.0,1,51,6,52,37858,9.991806892034335e-15,1,39,,,False,False
100,2,lazy_selfloop,0.6666667,0.3,0.09999999000000001,1.0,1,51,6,52,35091,9.991373558155066e-15,1,35,,,False,False
100,2,lazy_selfloop,0.6666667,0.5,0.16666665000000003,1.0,1,51,6,52,32905,9.993847474129248e-15,1,31,,,False,False
100,2,lazy_selfloop,0.6666667,1.0,0.33333330000000005,1.0,1,51,6,52,31342,9.994941530306476e-15,1,26,,,False,False
