t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,2,nan,nan,nan,nan,nan,nan
9,1,nan,nan,nan,nan,nan,nan
10,1,nan,nan,nan,nan,nan,nan
11,0,nan,nan,nan,nan,nan,nan
12,4,nan,nan,nan,nan,nan,nan
13,2,nan,nan,nan,nan,nan,nan
14,2,nan,nan,nan,nan,nan,nan
15,3,nan,nan,nan,nan,nan,nan
16,7,nan,nan,nan,nan,nan,nan
17,2,nan,nan,nan,nan,nan,nan
18,2,nan,nan,nan,nan,nan,nan
19,3,nan,nan,nan,nan,nan,nan
20,2,nan,nan,nan,nan,nan,nan
21,3,nan,nan,nan,nan,nan,nan
22,3,nan,nan,nan,nan,nan,nan
23,3,nan,nan,nan,nan,nan,nan
24,8,nan,nan,nan,nan,nan,nan
25,2,nan,nan,nan,nan,nan,nan
26,6,nan,nan,nan,nan,nan,nan
27,5,nan,nan,nan,nan,nan,nan
28,7,nan,nan,nan,nan,nan,nan
29,4,nan,nan,nan,nan,nan,nan
30,2,nan,nan,nan,nan,nan,nan
31,3,nan,nan,nan,nan,nan,nan
32,5,nan,nan,nan,nan,nan,nan
33,7,nan,nan,nan,nan,nan,nan
34,8,nan,nan,nan,nan,nan,nan
35,7,nan,nan,nan,nan,nan,nan
36,5,nan,nan,nan,nan,nan,nan
37,2,nan,nan,nan,nan,nan,nan
38,3,nan,nan,nan,nan,nan,nan
39,1,nan,nan,nan,nan,nan,nan
40,6,nan,nan,nan,nan,nan,nan
41,4,nan,nan,nan,nan,nan,nan
42,6,nan,nan,nan,nan,nan,nan
43,5,nan,nan,nan,nan,nan,nan
44,4,nan,nan,nan,nan,nan,nan
45,7,nan,nan,nan,nan,nan,nan
46,7,nan,nan,nan,nan,nan,nan
47,8,nan,nan,nan,nan,nan,nan
48,6,nan,nan,nan,nan,nan,nan
49,6,nan,nan,nan,nan,nan,nan
50,4,nan,nan,nan,nan,nan,nan
51,1,nan,nan,nan,nan,nan,nan
52,6,nan,nan,nan,nan,nan,nan
53,4,nan,nan,nan,nan,nan,nan
54,3,nan,nan,nan,nan,nan,nan
55,5,nan,nan,nan,nan,nan,nan
56,3,nan,nan,nan,nan,nan,nan
57,2,nan,nan,nan,nan,nan,nan
58,3,nan,nan,nan,nan,nan,nan
59,6,nan,nan,nan,nan,nan,nan
60,1,nan,nan,nan,nan,nan,nan
61,7,nan,nan,nan,nan,nan,nan
