t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,2,nan,nan,nan,nan,nan,nan
8,3,nan,nan,nan,nan,nan,nan
9,4,nan,nan,nan,nan,nan,nan
10,6,nan,nan,nan,nan,nan,nan
11,6,nan,nan,nan,nan,nan,nan
12,6,nan,nan,nan,nan,nan,nan
13,11,nan,nan,nan,nan,nan,nan
14,10,nan,nan,nan,nan,nan,nan
15,11,nan,nan,nan,nan,nan,nan
16,16,nan,nan,nan,nan,nan,nan
17,14,nan,nan,nan,nan,nan,nan
18,15,nan,nan,nan,nan,nan,nan
19,13,nan,nan,nan,nan,nan,nan
20,17,nan,nan,nan,nan,nan,nan
21,11,nan,nan,nan,nan,nan,nan
22,14,nan,nan,nan,nan,nan,nan
23,18,nan,nan,nan,nan,nan,nan
24,27,nan,nan,nan,nan,nan,nan
25,16,nan,nan,nan,nan,nan,nan
26,23,nan,nan,nan,nan,nan,nan
27,21,nan,nan,nan,nan,nan,nan
28,18,nan,nan,nan,nan,nan,nan
29,24,nan,nan,nan,nan,nan,nan
30,18,nan,nan,nan,nan,nan,nan
31,21,nan,nan,nan,nan,nan,nan
32,19,nan,nan,nan,nan,nan,nan
33,27,nan,nan,nan,nan,nan,nan
34,22,nan,nan,nan,nan,nan,nan
35,25,nan,nan,nan,nan,nan,nan
36,24,nan,nan,nan,nan,nan,nan
37,23,nan,nan,nan,nan,nan,nan
38,23,nan,nan,nan,nan,nan,nan
39,37,nan,nan,nan,nan,nan,nan
40,29,nan,nan,nan,nan,nan,nan
41,27,nan,nan,nan,nan,nan,nan
42,31,nan,nan,nan,nan,nan,nan
43,21,nan,nan,nan,nan,nan,nan
44,22,nan,nan,nan,nan,nan,nan
45,33,nan,nan,nan,nan,nan,nan
46,27,nan,nan,nan,nan,nan,nan
47,34,nan,nan,nan,nan,nan,nan
48,28,nan,nan,nan,nan,nan,nan
49,29,nan,nan,nan,nan,nan,nan
50,20,nan,nan,nan,nan,nan,nan
51,22,nan,nan,nan,nan,nan,nan
52,22,nan,nan,nan,nan,nan,nan
53,36,nan,nan,nan,nan,nan,nan
54,23,nan,nan,nan,nan,nan,nan
55,20,nan,nan,nan,nan,nan,nan
56,25,nan,nan,nan,nan,nan,nan
57,29,nan,nan,nan,nan,nan,nan
58,31,nan,nan,nan,nan,nan,nan
59,28,nan,nan,nan,nan,nan,nan
60,35,nan,nan,nan,nan,nan,nan
61,16,nan,nan,nan,nan,nan,nan
