t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,5,nan,nan,nan,nan,nan,nan
9,0,nan,nan,nan,nan,nan,nan
10,3,nan,nan,nan,nan,nan,nan
11,0,nan,nan,nan,nan,nan,nan
12,2,nan,nan,nan,nan,nan,nan
13,0,nan,nan,nan,nan,nan,nan
14,3,nan,nan,nan,nan,nan,nan
15,4,nan,nan,nan,nan,nan,nan
16,2,nan,nan,nan,nan,nan,nan
17,3,nan,nan,nan,nan,nan,nan
18,1,nan,nan,nan,nan,nan,nan
19,0,nan,nan,nan,nan,nan,nan
20,1,nan,nan,nan,nan,nan,nan
21,1,nan,nan,nan,nan,nan,nan
22,2,nan,nan,nan,nan,nan,nan
23,4,nan,nan,nan,nan,nan,nan
24,1,nan,nan,nan,nan,nan,nan
25,1,nan,nan,nan,nan,nan,nan
26,1,nan,nan,nan,nan,nan,nan
27,0,nan,nan,nan,nan,nan,nan
28,2,nan,nan,nan,nan,nan,nan
29,0,nan,nan,nan,nan,nan,nan
30,3,nan,nan,nan,nan,nan,nan
31,3,nan,nan,nan,nan,nan,nan
32,2,nan,nan,nan,nan,nan,nan
33,4,nan,nan,nan,nan,nan,nan
34,1,nan,nan,nan,nan,nan,nan
35,5,nan,nan,nan,nan,nan,nan
36,1,nan,nan,nan,nan,nan,nan
37,1,nan,nan,nan,nan,nan,nan
38,3,nan,nan,nan,nan,nan,nan
39,2,nan,nan,nan,nan,nan,nan
40,0,nan,nan,nan,nan,nan,nan
41,4,nan,nan,nan,nan,nan,nan
42,4,nan,nan,nan,nan,nan,nan
43,1,nan,nan,nan,nan,nan,nan
44,1,nan,nan,nan,nan,nan,nan
45,0,nan,nan,nan,nan,nan,nan
46,1,nan,nan,nan,nan,nan,nan
47,0,nan,nan,nan,nan,nan,nan
48,2,nan,nan,nan,nan,nan,nan
49,3,nan,nan,nan,nan,nan,nan
50,0,nan,nan,nan,nan,nan,nan
51,5,nan,nan,nan,nan,nan,nan
52,3,nan,nan,nan,nan,nan,nan
53,1,nan,nan,nan,nan,nan,nan
54,2,nan,nan,nan,nan,nan,nan
55,4,nan,nan,nan,nan,nan,nan
56,1,nan,nan,nan,nan,nan,nan
57,3,nan,nan,nan,nan,nan,nan
58,1,nan,nan,nan,nan,nan,nan
59,2,nan,nan,nan,nan,nan,nan
60,2,nan,nan,nan,nan,nan,nan
61,0,nan,nan,nan,nan,nan,nan
