N,K,beta,window,metric,value
100,2,0.001,other,P(C>=1|window),0.0192930864286858
100,2,0.001,other,P(J>=1|window),0.0
100,2,0.005,other,P(C>=1|window),0.090736520419498
100,2,0.005,other,P(J>=1|window),0.0
100,2,0.01,other,P(C>=1|window),0.1640721274870185
100,2,0.01,other,P(J>=1|window),0.0
100,2,0.02,other,P(C>=1|window),0.2743603323115768
100,2,0.02,other,P(J>=1|window),0.0
100,2,0.03,other,P(C>=1|window),0.3585487789007938
100,2,0.03,other,P(J>=1|window),0.0
100,4,0.001,other,P(C>=1|window),0.0080507994103639
100,4,0.001,other,P(J>=1|window),0.2765877392819222
100,4,0.005,other,P(C>=1|window),0.0402989320162395
100,4,0.005,other,P(J>=1|window),0.280701300716299
100,4,0.01,other,P(C>=1|window),0.0752982146105667
100,4,0.01,other,P(J>=1|window),0.28530886977312303
100,4,0.02,other,P(C>=1|window),0.1384513747614353
100,4,0.02,other,P(J>=1|window),0.2908129024139593
100,4,0.03,other,P(C>=1|window),0.19274087991893252
100,4,0.03,other,P(J>=1|window),0.2979437595000844
100,2,0.001,peak1,P(C>=1|window),1.0
100,2,0.001,peak1,P(J>=1|window),0.0
100,2,0.005,peak1,P(C>=1|window),1.0
100,2,0.005,peak1,P(J>=1|window),0.0
100,2,0.01,peak1,P(C>=1|window),1.0
100,2,0.01,peak1,P(J>=1|window),0.0
100,2,0.02,peak1,P(C>=1|window),1.0
100,2,0.02,peak1,P(J>=1|window),0.0
100,2,0.03,peak1,P(C>=1|window),1.0
100,2,0.03,peak1,P(J>=1|window),0.0
100,4,0.001,peak1,P(C>=1|window),1.0
100,4,0.001,peak1,P(J>=1|window),0.375
100,4,0.005,peak1,P(C>=1|window),1.0
100,4,0.005,peak1,P(J>=1|window),0.3469827586206896
100,4,0.01,peak1,P(C>=1|window),1.0
100,4,0.01,peak1,P(J>=1|window),0.303030303030303
100,4,0.02,peak1,P(C>=1|window),0.9999999999999999
100,4,0.02,peak1,P(J>=1|window),0.318287037037037
100,4,0.03,peak1,P(C>=1|window),1.0
100,4,0.03,peak1,P(J>=1|window),0.2860993453985367
100,2,0.001,peak2,P(C>=1|window),0.0133645172068159
100,2,0.001,peak2,P(J>=1|window),0.0
100,2,0.005,peak2,P(C>=1|window),0.0825904121110176
100,2,0.005,peak2,P(J>=1|window),0.0
100,2,0.01,peak2,P(C>=1|window),0.1485507246376811
100,2,0.01,peak2,P(J>=1|window),0.0
100,2,0.02,peak2,P(C>=1|window),0.2677026311142504
100,2,0.02,peak2,P(J>=1|window),0.0
100,2,0.03,peak2,P(C>=1|window),0.3507184672698243
100,2,0.03,peak2,P(J>=1|window),0.0
100,4,0.001,peak2,P(C>=1|window),0.007557540364136001
100,4,0.001,peak2,P(J>=1|window),0.2543799381655788
100,4,0.005,peak2,P(C>=1|window),0.0377820535245758
100,4,0.005,peak2,P(J>=1|window),0.2576526150078712
100,4,0.01,peak2,P(C>=1|window),0.0700226441386517
100,4,0.01,peak2,P(J>=1|window),0.2748650060964988
100,4,0.02,peak2,P(C>=1|window),0.1250848608282415
100,4,0.02,peak2,P(J>=1|window),0.2654446707399863
100,4,0.03,peak2,P(C>=1|window),0.17369901547116728
100,4,0.03,peak2,P(J>=1|window),0.2853375527426159
100,2,0.001,valley,P(C>=1|window),0.8537414965986394
100,2,0.001,valley,P(J>=1|window),0.0
100,2,0.005,valley,P(C>=1|window),0.9286367795059468
100,2,0.005,valley,P(J>=1|window),0.0
100,2,0.01,valley,P(C>=1|window),0.923271075214538
100,2,0.01,valley,P(J>=1|window),0.0
100,2,0.02,valley,P(C>=1|window),0.9141710404445816
100,2,0.02,valley,P(J>=1|window),0.0
100,2,0.03,valley,P(C>=1|window),0.88864522417154
100,2,0.03,valley,P(J>=1|window),0.0
100,4,0.001,valley,P(C>=1|window),0.8522727272727273
100,4,0.001,valley,P(J>=1|window),0.2613636363636363
100,4,0.005,valley,P(C>=1|window),0.9331896551724137
100,4,0.005,valley,P(J>=1|window),0.3491379310344827
100,4,0.01,valley,P(C>=1|window),0.9382978723404256
100,4,0.01,valley,P(J>=1|window),0.3478723404255319
100,4,0.02,valley,P(C>=1|window),0.9293478260869564
100,4,0.02,valley,P(J>=1|window),0.344806763285024
100,4,0.03,valley,P(C>=1|window),0.9407044137316094
100,4,0.03,valley,P(J>=1|window),0.35176103432902356
