t,f_K2,f_K4
1,1.2925547969880425e-13,6.4280933174758534e-15
2,1.2920253069798267e-13,6.429950895096502e-15
3,1.291556526154339e-13,6.4250560211511266e-15
4,1.2910535741681435e-13,6.419195682674041e-15
5,1.290560155396395e-13,7.716049389900796e-06
6,1.2900519627828605e-13,1.8835733889337385e-05
7,4.572473838144987e-06,3.0649948566561986e-05
8,1.0653863870252836e-05,4.188079152040828e-05
9,1.824930155770023e-05,5.2026149443558385e-05
10,2.634098795349307e-05,6.095481030849621e-05
11,3.459306069552045e-05,6.870174456134429e-05
12,4.2668135088566756e-05,7.53693886128705e-05
13,5.0404953282816706e-05,8.10810282121154e-05
14,5.770033411458321e-05,8.595945161010272e-05
15,6.450949775351897e-05,9.011786300464488e-05
16,7.081808144442623e-05,9.365671522430723e-05
17,7.663292095264087e-05,9.666333538987651e-05
18,8.19727712834598e-05,9.921279114644226e-05
19,8.686330647952713e-05,0.000101369229166061
20,9.1333527515916e-05,0.00010318731351675538
21,9.541358890311505e-05,0.0001047135925595301
22,9.913340251239032e-05,0.00010598772468997806
23,0.00010252180776575675,0.00010704354363033661
24,0.00010560609555295784,0.0001079099678394789
25,0.00010841176834202491,0.00010861176882102248
26,0.00011096245017631849,0.00010917021642984474
27,0.0001132798917679944,0.00010960361925431447
28,0.00011538403340728229,0.00010992777663855889
29,0.00011729310132224063,0.00011015635685694207
30,0.00011902372139812903,0.00011030121383244023
31,0.00012059103985413826,0.00011037265281888054
32,0.00012200884425117612,0.00011037965372911179
33,0.00012328968074832992,0.0001103300593053337
34,0.00012444496521742552,0.0001102307340806301
35,0.00012548508694622983,0.0001100876990453246
36,0.00012641950439324861,0.00010990624607762541
37,0.00012725683292698955,0.00010969103549540271
38,0.00012800492477504986,0.00010944617950825785
39,0.00012867094158168109,0.00010917531387347804
40,0.00012926142006635484,0.00010888165966694134
41,0.00012978233131736888,0.00010856807675509717
42,0.00013023913426226825,0.00010823711028419694
43,0.00013063682384332098,0.00010789103127812625
44,0.00013097997440008333,0.00010753187224848588
45,0.00013127277872782616,0.00010716145856374123
46,0.00013151908324414568,0.00010678143619327113
47,0.00013172241965885714,0.00010639329633291937
48,0.00013188603350585781,0.00010599839732790854
49,0.00013201290986095192,0.00010559798423391914
50,0.00013210579653724958,0.00010519320629547051
51,0.00013216722501984706,0.0001047851325704663
52,0.000132199529374215,0.00010437476588915296
53,0.0001322048633379766,0.00010396305530328351
54,0.0001321852157834285,0.00010355090715564972
55,0.00013214242471812837,0.00010313919488019732
56,0.0001320781899729039,0.00010272876762760777
57,0.00013199408471062157,0.00010232045779969308
58,0.00013189156587472658,0.00010191508756736521
59,0.00013177198368384682,0.0001015134744407084
60,0.0001316365902673895,0.00010111643595519687
61,0.00013148654752698528,0.00010072479353494222
62,0.0001313229342996439,0.00010033937559158584
63,0.00013114675289051708,9.996101991581024e-05
64,0.00013095893503604615,9.959057541715406e-05
65,0.0001307603473519748,9.922890326670097e-05
66,0.00013055179631505924,9.887687749612369e-05
67,0.00013033403282232335,9.853538510542208e-05
68,0.00013010775636722796,9.82053257303802e-05
69,0.00012987361886815832,9.788761091931979e-05
70,0.00012963222818106906,9.75831630670466e-05
71,0.0001293841513249843,9.729291405202342e-05
72,0.00012912991744619097,9.701780362076177e-05
