t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,2,nan,nan,nan,nan,nan,nan
6,16,nan,nan,nan,nan,nan,nan
7,17,nan,nan,nan,nan,nan,nan
8,28,nan,nan,nan,nan,nan,nan
9,33,nan,nan,nan,nan,nan,nan
10,42,nan,nan,nan,nan,nan,nan
11,41,nan,nan,nan,nan,nan,nan
12,37,nan,nan,nan,nan,nan,nan
13,58,1.0,0.23059617547806524,0.0,0.7694038245219348,0.0,0.23059617547806524
14,50,1.0,0.23297872340425532,0.0,0.7670212765957447,0.0,0.23297872340425532
15,57,1.0,0.23552894211576847,0.0,0.7644710578842315,0.0,0.23552894211576847
16,60,1.0,0.23738317757009345,0.0,0.7626168224299066,0.0,0.23738317757009345
17,69,1.0,0.23555555555555555,0.0,0.7644444444444445,0.0,0.23555555555555555
18,60,1.0,0.24023769100169778,0.0,0.7597623089983022,0.0,0.24023769100169778
19,62,1.0,0.23950617283950618,0.0,0.7604938271604939,0.0,0.23950617283950618
20,46,nan,nan,nan,nan,nan,nan
21,80,1.0,0.25984251968503935,0.0,0.7401574803149606,0.0,0.25984251968503935
22,70,1.0,0.2604327666151468,0.0,0.7395672333848532,0.0,0.2604327666151468
23,61,1.0,0.2661596958174905,0.0,0.7338403041825095,0.0,0.2661596958174905
24,51,1.0,0.2699248120300752,0.0,0.7300751879699248,0.0,0.2699248120300752
25,62,1.0,0.27020958083832336,0.0,0.7297904191616766,0.0,0.27020958083832336
26,70,1.0,0.28210838901262064,0.0,0.7178916109873794,0.0,0.28210838901262064
27,71,1.0,0.2870848708487085,0.0,0.7129151291512915,0.0,0.2870848708487085
28,70,1.0,0.2869822485207101,0.0,0.7130177514792899,0.0,0.2869822485207101
29,65,1.0,0.2972572275759822,0.0,0.7027427724240178,0.0,0.2972572275759822
30,64,1.0,0.2972572275759822,0.0,0.7027427724240178,0.0,0.2972572275759822
31,66,1.0,0.2989010989010989,0.0,0.701098901098901,0.0,0.2989010989010989
32,65,1.0,0.29926470588235293,0.0,0.700735294117647,0.0,0.29926470588235293
33,58,1.0,0.30176211453744495,0.0,0.698237885462555,0.0,0.30176211453744495
34,73,1.0,0.3053715967623252,0.0,0.6946284032376747,0.0,0.3053715967623252
35,56,1.0,0.30959302325581395,0.0,0.690406976744186,0.0,0.30959302325581395
36,68,1.0,0.31072210065645517,0.0,0.6892778993435449,0.0,0.31072210065645517
37,68,1.0,0.3118518518518518,0.0,0.6881481481481482,0.0,0.3118518518518518
