K,window,class,mode,delta,prop,baseline_prop,delta_prop,n
K=2,peak1,C0J0,shift,-5,0.0,0.0,0.0,865
K=2,peak1,C1pJ0,shift,-5,1.0,1.0,0.0,865
K=2,peak1,C0J1p,shift,-5,0.0,0.0,0.0,865
K=2,peak1,C1pJ1p,shift,-5,0.0,0.0,0.0,865
K=2,peak1,C0J0,width,-5,0.0,0.0,0.0,824
K=2,peak1,C1pJ0,width,-5,1.0,1.0,0.0,824
K=2,peak1,C0J1p,width,-5,0.0,0.0,0.0,824
K=2,peak1,C1pJ1p,width,-5,0.0,0.0,0.0,824
K=2,peak1,C0J0,shift,-2,0.0,0.0,0.0,931
K=2,peak1,C1pJ0,shift,-2,1.0,1.0,0.0,931
K=2,peak1,C0J1p,shift,-2,0.0,0.0,0.0,931
K=2,peak1,C1pJ1p,shift,-2,0.0,0.0,0.0,931
K=2,peak1,C0J0,width,-2,0.0,0.0,0.0,917
K=2,peak1,C1pJ0,width,-2,1.0,1.0,0.0,917
K=2,peak1,C0J1p,width,-2,0.0,0.0,0.0,917
K=2,peak1,C1pJ1p,width,-2,0.0,0.0,0.0,917
K=2,peak1,C0J0,shift,-1,0.0,0.0,0.0,954
K=2,peak1,C1pJ0,shift,-1,1.0,1.0,0.0,954
K=2,peak1,C0J1p,shift,-1,0.0,0.0,0.0,954
K=2,peak1,C1pJ1p,shift,-1,0.0,0.0,0.0,954
K=2,peak1,C0J0,width,-1,0.0,0.0,0.0,946
K=2,peak1,C1pJ0,width,-1,1.0,1.0,0.0,946
K=2,peak1,C0J1p,width,-1,0.0,0.0,0.0,946
K=2,peak1,C1pJ1p,width,-1,0.0,0.0,0.0,946
K=2,peak1,C0J0,shift,0,0.0,0.0,0.0,979
K=2,peak1,C1pJ0,shift,0,1.0,1.0,0.0,979
K=2,peak1,C0J1p,shift,0,0.0,0.0,0.0,979
K=2,peak1,C1pJ1p,shift,0,0.0,0.0,0.0,979
K=2,peak1,C0J0,width,0,0.0,0.0,0.0,979
K=2,peak1,C1pJ0,width,0,1.0,1.0,0.0,979
K=2,peak1,C0J1p,width,0,0.0,0.0,0.0,979
K=2,peak1,C1pJ1p,width,0,0.0,0.0,0.0,979
K=2,peak1,C0J0,shift,1,0.0,0.0,0.0,1000
K=2,peak1,C1pJ0,shift,1,1.0,1.0,0.0,1000
K=2,peak1,C0J1p,shift,1,0.0,0.0,0.0,1000
K=2,peak1,C1pJ1p,shift,1,0.0,0.0,0.0,1000
K=2,peak1,C0J0,width,1,0.0,0.0,0.0,1008
K=2,peak1,C1pJ0,width,1,1.0,1.0,0.0,1008
K=2,peak1,C0J1p,width,1,0.0,0.0,0.0,1008
K=2,peak1,C1pJ1p,width,1,0.0,0.0,0.0,1008
K=2,peak1,C0J0,shift,2,0.0,0.0,0.0,1010
K=2,peak1,C1pJ0,shift,2,1.0,1.0,0.0,1010
K=2,peak1,C0J1p,shift,2,0.0,0.0,0.0,1010
K=2,peak1,C1pJ1p,shift,2,0.0,0.0,0.0,1010
K=2,peak1,C0J0,width,2,0.0,0.0,0.0,1024
K=2,peak1,C1pJ0,width,2,1.0,1.0,0.0,1024
K=2,peak1,C0J1p,width,2,0.0,0.0,0.0,1024
K=2,peak1,C1pJ1p,width,2,0.0,0.0,0.0,1024
K=2,peak1,C0J0,shift,5,0.004417078307055374,0.0,0.004417078307055374,1077
K=2,peak1,C1pJ0,shift,5,0.9955829216929446,1.0,-0.0044170783070554,1077
K=2,peak1,C0J1p,shift,5,0.0,0.0,0.0,1077
K=2,peak1,C1pJ1p,shift,5,0.0,0.0,0.0,1077
K=2,peak1,C0J0,width,5,0.004255092429963004,0.0,0.004255092429963004,1118
K=2,peak1,C1pJ0,width,5,0.995744907570037,1.0,-0.0042550924299630255,1118
K=2,peak1,C0J1p,width,5,0.0,0.0,0.0,1118
K=2,peak1,C1pJ1p,width,5,0.0,0.0,0.0,1118
K=2,valley,C0J0,shift,-5,0.07224043432370367,0.0767289247854619,-0.004488490461758227,1265
K=2,valley,C1pJ0,shift,-5,0.9277595656762964,0.9232710752145381,0.004488490461758254,1265
K=2,valley,C0J1p,shift,-5,0.0,0.0,0.0,1265
K=2,valley,C1pJ1p,shift,-5,0.0,0.0,0.0,1265
K=2,valley,C0J0,width,-5,0.07672892478546191,0.0767289247854619,1.3877787807814457e-17,981
K=2,valley,C1pJ0,width,-5,0.9232710752145383,0.9232710752145381,2.220446049250313e-16,981
K=2,valley,C0J1p,width,-5,0.0,0.0,0.0,981
K=2,valley,C1pJ1p,width,-5,0.0,0.0,0.0,981
