K,beta,h_min,second_frac,t2_over_t1,hv_over_max_thresh,t1,t2,h1,h2,hv_over_max,is_bimodal,source
K=2,0.001,1e-08,0.005,8,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,8,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,8,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,10,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,10,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,10,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,12,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,12,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.005,12,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,8,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,8,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,8,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,10,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,10,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,10,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,12,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,12,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.01,12,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.02,8,0.1,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.02,8,0.2,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
K=2,0.001,1e-08,0.02,8,0.3,54.0,1236.0,1.3448403005621247e-05,0.0002496540723806706,0.04379119797305306,1,cases
