t,exact,eq41_as_written,eq41_sign_baseline_fixed,eq41_also_true_ck
1,0.0,256.4625,-256.4625,-0.038095238095238095
2,0.0,-65.477761627029273,65.588872738140384,0.0037403701378304844
3,0.058201058201058201,-65.187267556887606,65.298378667998717,0.031475009878193919
4,0.054169816074577979,-161.64187189356539,161.74063732566416,0.044143847764620946
5,0.055945482249337125,-178.82235850829132,178.90877826137774,0.043222535253046939
6,0.051775980401398823,-204.46727270764528,204.54271852383184,0.043220197640743083
7,0.048859440275568329,-214.5188133083897,214.58557142453053,0.041149278605482014
8,0.045554382326171271,-223.18513710215335,223.24503650773177,0.039644368934359538
9,0.042650425331495867,-227.85555660978434,227.91007065743967,0.037996822408271379
10,0.039898607498383816,-231.06601908109901,231.11624855153882,0.036586058315899419
11,0.037368243360464642,-232.83832627457097,232.88509534206858,0.035266645856756696
12,0.035008760921625039,-233.77884865032973,233.82276885972269,0.034073129330187877
13,0.032813498833571315,-234.07029237070828,234.11181971491645,0.032967187640393394
14,0.030763889572512009,-233.91757308601645,233.95704919384821,0.031940565146649392
15,0.028848799729446229,-233.43091657792542,233.46859965720107,0.030977560754173095
16,0.027057090579045793,-232.6976704153705,232.73375771688645,0.03006895885175585
17,0.025379650011324305,-231.77523951281881,231.80988373887573,0.029206317860925774
18,0.023808227494633651,-230.70614197090753,230.73946319001322,0.028383491993544486
19,0.022335511482458634,-229.52081698882578,229.55291129725733,0.027595539593972727
20,0.020954860556639037,-228.2420603900639,228.27300620391148,0.026838673818011101
21,0.019660221566299872,-226.88703281212201,226.9168954409394,0.026109915011612856
22,0.01844602828191243,-225.46893245508195,225.49776742806484,0.025406925479782874
23,0.017307139488202283,-223.99799931228521,224.02585479948751,0.024727840510616112
24,0.016238786216992838,-222.48224629244461,222.50916486933189,0.024071152222692345
25,0.015236532088868669,-220.92795578070901,220.95397571621893,0.023435615873887439
26,0.0142962407233313,-219.3400444259957,219.36520062476605,0.022820181073840517
27,0.013414049109084491,-217.72233410316253,217.7466587966985,0.022223939887784026
28,0.012586345071250675,-216.0777628936842,216.10128614920123,0.02164608887120698
29,0.011809747914501025,-214.40855385182772,214.4313039486257,0.02108590139591329
30,0.011081091458074738,-212.71635391701474,212.73835762654696,0.020542707843156597
31,0.010397408954579714,-211.00235028900584,211.02363308487566,0.020015881612989006
32,0.0097559195121073614,-209.26736908328255,209.28795530019947,0.019504829425465754
33,0.0091540157503203513,-207.51195937072426,207.53187232622822,0.019008984731027161
34,0.008589252490722911,-205.73646476449677,205.7557268534719,0.018527803344759939
35,0.0080593363327626422,-203.94108414223716,203.95971691148906,0.018060760641049171
36,0.0075621160025994743,-202.12592276743859,202.14394697561688,0.017607349819645555
37,0.007095573386627503,-200.29103488008891,200.30847054679177,0.017167080886149628
38,0.0066578151797363973,-198.43645870772549,198.45332515457481,0.016739480090150693
39,0.0062470650912582792,-196.56224476587613,196.57856065159144,0.016324089639188568
40,0.0058616565610066314,-194.66847825204322,194.68426160299111,0.015920467562349554
