mode,index,coefficient_total
t_alpha,1,-7.0267201318622510731e-64
t_alpha,2,-5.6973406474558792485e-65
t_alpha,3,3.570333472405684329e-63
t_alpha,4,-1.1774504004742150447e-63
t_alpha,5,-1.9750780911180381395e-63
alpha,1,5.4770434757542519175e-62
alpha,2,-1.6890241127770242022e-62
alpha,3,-2.6403375673859696397e-61
alpha,4,1.0889517090837337204e-61
alpha,5,9.2372883030751322215e-62
gamma,1,4.4450109127579583622e-63
gamma,2,-4.801148881248582606e-124
gamma,3,-1.4816703042526527874e-62
gamma,4,4.538193650214044851e-123
gamma,5,0.0
gamma,6,-1.0589118517166104652e-122
gamma,7,4.7413449736084889197e-62
gamma,8,2.4286426956223599398e-123
gamma,9,-3.7041757606316319685e-62
s,1,0.070240294983484274399
B_closed_form,1,0.070240294983484274399
s,2,0.008738963298864905453
B_closed_form,2,0.008738963298864905453
s,3,-0.16787897664527327601
B_closed_form,3,-0.16787897664527327601
s,4,0.035396346418198542099
B_closed_form,4,0.035396346418198542099
s,5,0.053503371944725554056
B_closed_form,5,0.053503371944725554056
