N,K,beta,flag,n_peaks,t1,h1,t2,h2,h2_over_h1,paper,macro
30,4,0.0,0,1,43,0.007096795473509212,,,,False,False
30,4,0.01,0,1,43,0.007194120840194747,,,,False,False
30,4,0.02,0,1,43,0.007288047833497768,,,,False,False
30,4,0.03,0,1,42,0.007379497075709455,,,,False,False
30,4,0.04,0,1,42,0.007469221391868177,,,,False,False
30,4,0.05,0,1,42,0.007555906629297679,,,,False,False
30,4,0.06,0,1,41,0.007640741338406884,,,,False,False
30,4,0.07,0,1,41,0.007723896293928287,,,,False,False
30,4,0.08,0,1,41,0.007804320902325581,,,,False,False
35,4,0.0,0,1,60,0.005184998580701442,,,,False,False
35,4,0.01,0,1,59,0.0052683221552270645,,,,False,False
35,4,0.02,0,1,58,0.0053488142936434615,,,,False,False
35,4,0.03,0,1,58,0.005426946148225996,,,,False,False
35,4,0.04,0,1,57,0.00550287483693749,,,,False,False
35,4,0.05,0,1,56,0.0055761718536899395,,,,False,False
35,4,0.06,0,1,56,0.005647854966771738,,,,False,False
35,4,0.07,0,1,55,0.005717145513786813,,,,False,False
35,4,0.08,0,1,55,0.00578464463085008,,,,False,False
40,4,0.0,0,1,78,0.003953571474349372,,,,False,False
40,4,0.01,0,1,77,0.0040298583336182605,,,,False,False
40,4,0.02,0,1,76,0.004103439679504268,,,,False,False
40,4,0.03,0,1,75,0.004174472900413749,,,,False,False
40,4,0.04,0,1,74,0.00424309970338869,,,,False,False
40,4,0.05,0,1,73,0.004309447297700373,,,,False,False
40,4,0.06,0,1,72,0.004373629468315071,,,,False,False
40,4,0.07,0,1,71,0.004435747551671041,,,,False,False
40,4,0.08,0,1,70,0.0044958913251243165,,,,False,False
45,4,0.0,0,1,99,0.003114099285827868,,,,False,False
45,4,0.01,0,1,98,0.0031808641379888784,,,,False,False
45,4,0.02,0,1,96,0.003245032437543614,,,,False,False
45,4,0.03,0,1,94,0.0033065719854395393,,,,False,False
45,4,0.04,0,1,93,0.003365860227714902,,,,False,False
45,4,0.05,0,1,92,0.003422822135821597,,,,False,False
45,4,0.06,0,1,90,0.0034777616238331494,,,,False,False
45,4,0.07,0,1,89,0.003530731566714208,,,,False,False
45,4,0.08,0,1,88,0.003581798808072184,,,,False,False
50,4,0.0,0,1,123,0.0025162541569607243,,,,False,False
50,4,0.01,0,1,120,0.002577557286869055,,,,False,False
50,4,0.02,0,1,118,0.002636114722891363,,,,False,False
50,4,0.03,1,2,15,0.00047562505372823413,116,0.002692118033734453,5.660168682520021,True,False
50,4,0.04,1,2,15,0.0006292790748059919,114,0.0027457528798409668,4.363330976304096,True,False
50,4,0.05,1,2,15,0.000780604405906304,112,0.0027971820005500895,3.5833541027769136,True,False
50,4,0.06,1,2,15,0.0009296442608982843,110,0.0028465473628669093,3.061974867801997,True,False
50,4,0.07,1,2,15,0.0010764409455562452,108,0.0028939720852244654,2.688463400775804,True,False
50,4,0.08,1,2,14,0.0012211198558378777,106,0.002939562171993598,2.4072675241011474,True,False
55,4,0.0,0,1,149,0.0020754900404091115,,,,False,False
55,4,0.01,1,2,15,0.00016091295517795006,146,0.0021301815265734976,13.238098350861664,True,False
55,4,0.02,1,2,15,0.00031935774820835404,142,0.002182172244832856,6.8330023526129455,True,False
55,4,0.03,1,2,15,0.0004753846143809378,140,0.0022316508226729,4.694411125566258,True,False
55,4,0.04,1,2,15,0.000629038647521182,137,0.0022788241838274667,3.622709340368042,True,False
55,4,0.05,1,2,15,0.0007803639906788761,134,0.002323836274708716,2.9778876299598336,True,False
55,4,0.06,1,2,15,0.0009294038577231342,132,0.0023668431073296647,2.5466250087749667,True,False
55,4,0.07,1,2,15,0.0010762005544282683,129,0.0024080132061841614,2.237513441408157,True,False
55,4,0.08,1,2,14,0.0012210570781632,127,0.0024474609576351065,2.004378829953428,True,False
60,4,0.0,0,1,177,0.0017411818943236668,,,,False,False
60,4,0.01,2,2,15,0.00016090882288945994,173,0.0017917206186982856,11.135005442984005,True,True
60,4,0.02,2,2,15,0.00031935361604747326,169,0.0018395248668225711,5.7601504238145775,True,True
60,4,0.03,2,2,15,0.0004753804823476664,165,0.001884827739028417,3.964882465767622,True,True
60,4,0.04,2,2,15,0.0006290345156155198,161,0.0019278228452974998,3.064733011369171,True,True
60,4,0.05,2,2,15,0.0007803598589008233,158,0.0019687087531646682,2.522821658122824,True,True
60,4,0.06,2,2,15,0.0009293997260726907,155,0.0020076315950331544,2.1601379242026293,True,True
60,4,0.07,2,2,15,0.0010761964229054342,151,0.0020447627520186044,1.8999902884812678,True,True
60,4,0.08,2,2,14,0.0012210566953351517,148,0.0020802321239746084,1.7036327075735274,True,True
65,4,0.0,0,1,208,0.0014816136074351284,,,,False,False
65,4,0.01,2,2,15,0.0001609087867334776,203,0.001527442728593325,9.492599873512908,True,True
65,4,0.02,2,2,15,0.0003193535798914909,198,0.0015705495547828424,4.917901829428308,True,True
65,4,0.03,2,2,15,0.00047538044619168404,193,0.0016111925470999645,3.3892697102023748,True,True
65,4,0.04,2,2,15,0.0006290344794595375,188,0.0016495851350883527,2.622408133343765,True,True
65,4,0.05,2,2,15,0.000780359822744841,184,0.001685910944482139,2.1604276582975643,True,True
65,4,0.06,2,2,15,0.0009293996899167084,179,0.0017203550867782357,1.851039015229725,True,True
65,4,0.07,2,2,15,0.0010761963867494519,176,0.0017530794834127329,1.6289587151539706,True,True
65,4,0.08,2,2,14,0.0012210566953351517,172,0.0017842277566714323,1.4612161445801688,True,True
70,4,0.0,0,1,242,0.0012760553332868338,,,,False,False
70,4,0.01,2,2,15,0.0001609087867334776,235,0.0013187164918470155,8.195428718453273,True,True
70,4,0.02,2,2,15,0.0003193535798914909,228,0.0013586601148702685,4.25440702851025,True,True
70,4,0.03,2,2,15,0.00047538044619168404,222,0.0013961433563992962,2.936896895074098,True,True
70,4,0.04,2,2,15,0.0006290344794595375,216,0.0014314044911673662,2.2755580781473537,True,True
70,4,0.05,2,2,15,0.000780359822744841,211,0.001464645093366806,1.876884291934786,True,True
70,4,0.06,2,2,15,0.0009293996899167084,205,0.0014960568057360445,1.6097022862898944,True,True
70,4,0.07,2,2,15,0.0010761963867494519,201,0.0015258001629630297,1.4177711259294996,True,True
70,4,0.08,2,2,14,0.0012210566953351517,196,0.0015540315466378316,1.2726940137790128,True,True
75,4,0.0,0,1,278,0.0011104986220673908,,,,False,False
75,4,0.01,2,2,15,0.0001609087867334776,269,0.0011496702103159031,7.144856621286738,True,True
75,4,0.02,2,2,15,0.0003193535798914909,261,0.001186135622384554,3.7141766902615463,True,True
75,4,0.03,2,2,15,0.00047538044619168404,253,0.0012201754342243613,2.566734589104995,True,True
75,4,0.04,2,2,15,0.0006290344794595375,246,0.0012520402428523518,1.9904159211242236,True,True
75,4,0.05,2,2,15,0.000780359822744841,240,0.001281942332467586,1.6427579881784231,True,True
75,4,0.06,2,2,15,0.0009293996899167084,233,0.0013100781657428959,1.40959608654518,True,True
75,4,0.07,2,2,15,0.0010761963867494519,227,0.0013366147246015644,1.2419803123839517,True,True
75,4,0.08,2,2,14,0.0012210566953351517,222,0.0013617051467931587,1.1151858484502246,True,True
80,4,0.0,0,1,316,0.0009751939858667412,,,,False,False
80,4,0.01,2,2,15,0.0001609087867334776,305,0.0010119076840700036,6.288703709798546,True,True
80,4,0.02,2,2,15,0.0003193535798914909,295,0.0010459183950956076,3.275110914526109,True,True
80,4,0.03,2,2,15,0.00047538044619168404,286,0.0010775277436971295,2.266664000022092,True,True
80,4,0.04,2,2,15,0.0006290344794595375,278,0.0011069920009890292,1.7598272227305407,True,True
80,4,0.05,2,2,15,0.000780359822744841,270,0.0011345394195309247,1.4538670321856024,True,True
80,4,0.06,2,2,15,0.0009293996899167084,262,0.001160371829947741,1.2485175565872333,True,True
80,4,0.07,2,2,15,0.0010761963867494519,255,0.0011846615550060878,1.1007856647653729,True,True
80,4,0.08,2,2,14,0.0012210566953351517,248,0.0012075685088033506,0.9889536771033396,True,True
