case_id,classification,L,K,q,drift,beta,start,target1,target2,shortcut_src,shortcut_dst,steps,survival_final,row_stochasticity_error,mass_balance_error,decomposition_error,shape_t1,shape_t2,shape_tv,R_peak,R_valley,peak_separation,shape_score,total_mass,total_peak_t,total_peak_height,total_mean_t,target1_mass,target1_peak_t,target1_peak_height,target1_mean_t,target2_mass,target2_peak_t,target2_peak_height,target2_mean_t,split_t,early_target1_mass,early_target2_mass,late_target1_mass,late_target2_mass,early_dominant_target,late_dominant_target
001_unimodal_L31_x0_a15_16_gm0p6_b0p00,unimodal,31,2,0.6666666666666666,-0.6,0.0,0,15,16,,,199,9.683203647236941e-11,0.0,2.671474153004283e-16,0.0,32,,,0.0,1.0,0,0.0,0.9999999999031687,32,0.041225001100800414,37.499999913800586,9.313225736579361e-10,32,3.839377412796641e-11,37.49999991380059,0.9999999989718462,32,0.04122500106240664,37.4999999138006,32,3.419830147663142e-10,0.3672014660522009,5.893395588916219e-10,0.6327985329196453,target2,target2
002_shoulder_L31_x0_a15_16_gm0p6_b0p03,shoulder,31,2,0.6666666666666666,-0.6,0.03,0,15,16,5,16,199,9.393258268593205e-11,0.0,4.0145295941707015e-16,0.0,11,32,14,3.880372167098639e-05,3.508357485861149e-05,21,23.226770885655547,0.9999999999060685,32,0.04122516660671088,37.4988089872265,9.086074100794642e-10,32,3.7623187489977004e-11,37.3983751570312,0.9999999989974611,32,0.04122516656908769,37.498808987317744,14,0.0,1.1574976127210088e-05,9.086074100794641e-10,0.9999884240213338,target2,target2
003_unimodal_L31_x0_a15_16_gm0p3_b0p00,unimodal,31,2,0.6666666666666666,-0.3,0.0,0,15,16,,,717,9.885956129995943e-11,0.0,2.688821387764051e-16,0.0,55,,,0.0,1.0,0,0.0,0.9999999999011426,55,0.014901136370975584,74.98608851900416,9.274276422585961e-05,55,1.381972577287388e-06,74.98608851900416,0.9999072571369167,55,0.014899754398398296,74.98608851900417,55,3.0120631487806704e-05,0.3247459601361208,6.262213273805289e-05,0.6751612970007961,target2,target2
004_unimodal_L31_x0_a15_16_gm0p3_b0p03,unimodal,31,2,0.6666666666666666,-0.3,0.03,0,15,16,5,16,709,9.935086114696643e-11,0.0,2.8709673527416157e-16,0.0,54,,,0.0,1.0,0,0.0,0.9999999999006515,54,0.014917746640101297,74.77163722776804,8.833507878631948e-05,54,1.3346654402726287e-06,74.20378776488673,0.9999116648218649,54,0.014916411974661025,74.77168739322647,54,2.7990359097337167e-05,0.31148837625312104,6.0344719688982315e-05,0.6884232885687441,target2,target2
005_unimodal_L31_x0_a15_16_gp0p0_b0p00,unimodal,31,2,0.6666666666666666,0.0,0.0,0,15,16,,,2500,0.00013554090677448806,0.0,3.67544536472586e-16,0.0,112,,,0.0,1.0,0,0.0,0.9998644590932283,112,0.002750147713006134,337.16973457502405,0.49993222954661426,112,0.0013750738565030673,337.1697345750241,0.4999322295466141,112,0.0013750738565030665,337.1697345750241,112,0.08292092510224186,0.08292092510224186,0.4170113044443724,0.4170113044443723,tie,tie
006_unimodal_L31_x0_a15_16_gp0p0_b0p03,unimodal,31,2,0.6666666666666666,0.0,0.03,0,15,16,5,16,2500,4.2534767737796896e-05,0.0,3.7643499428696714e-16,0.0,105,,,0.0,1.0,0,0.0,0.9999574652322646,105,0.0030027499704210637,299.89608511115847,0.4166487265088139,107,0.0012810736511926256,303.9783198847339,0.5833087387234507,103,0.0017224878220589318,296.98020573749704,105,0.06985876732434095,0.11299826624355584,0.346789959184473,0.47031047247989477,target2,target2
007_unimodal_L31_x0_a15_16_gp0p3_b0p00,unimodal,31,2,0.6666666666666666,0.3,0.0,0,15,16,,,717,9.88595612999593e-11,0.0,3.84849843101465e-16,0.0,55,,,0.0,1.0,0,0.0,0.9999999999011426,55,0.014901136370975584,74.98608851900416,0.9999072571369167,55,0.014899754398398296,74.98608851900416,9.274276422585961e-05,55,1.381972577287388e-06,74.98608851900418,55,0.3247459601361208,3.0120631487806707e-05,0.6751612970007961,6.262213273805291e-05,target1,target1
008_unimodal_L31_x0_a15_16_gp0p3_b0p03,unimodal,31,2,0.6666666666666666,0.3,0.03,0,15,16,5,16,706,9.839130792402336e-11,0.0,4.0245584642661925e-16,0.0,54,,,0.0,1.0,0,0.0,0.9999999999016109,54,0.014789804269550217,72.61003268241532,0.9523857421608767,54,0.01438971191680663,74.20378775838832,0.0476142577407345,18,0.0010713941775719678,40.73156428082379,54,0.30177840206634554,0.03646376860994689,0.6506073400945308,0.011150489130787616,target1,target1
009_unimodal_L31_x0_a15_16_gp0p6_b0p00,unimodal,31,2,0.6666666666666666,0.6,0.0,0,15,16,,,199,9.683203647236944e-11,0.0,3.191891195797325e-16,0.0,32,,,0.0,1.0,0,0.0,0.9999999999031691,32,0.041225001100800435,37.4999999138006,0.9999999989718467,32,0.04122500106240666,37.49999991380059,9.313225736579357e-10,32,3.839377412796639e-11,37.4999999138006,32,0.36720146605220116,3.4198301476631396e-10,0.6327985329196455,5.893395588916217e-10,target1,target1
010_local_bump_L31_x0_a15_16_gp0p6_b0p03,local_bump,31,2,0.6666666666666666,0.6,0.03,0,15,16,5,16,198,9.657334877338786e-11,0.0,2.454633718507182e-16,0.0,11,32,15,0.040376851561261036,0.03593273576750014,21,23.59725372075313,0.9999999999034279,32,0.040569841007583894,36.89024438421906,0.9756097777854558,32,0.04039758996018189,37.39837515484735,0.024390222117972156,11,0.0016380824482271758,16.564994953491503,15,8.034908196191158e-05,0.013230211849356221,0.9755294287034938,0.011160010268615935,target2,target1
