t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.008888888888888889,0.008888888888888889,0.0,0.9911111111111113
3,0.00977777777777778,0.00977777777777778,0.0,0.9813333333333335
4,0.008079012345679013,0.008079012345679013,0.0,0.9732543209876545
5,0.006323621399176955,0.006323621399176955,0.0,0.9669306995884778
6,0.004911758573388204,0.004911758573388204,0.0,0.9620189410150896
7,0.00382730534979424,0.00382730534979424,0.0,0.9581916356652953
8,0.003204522627648225,0.0029999512757201653,0.00020457135192805974,0.954987113037647
9,0.0035001666656505627,0.00236650546359803,0.001133661202052533,0.9514869463719964
10,0.005109323336808415,0.0018783669960338034,0.0032309563407746113,0.946377623035188
11,0.008083150886648491,0.0014995111584498759,0.006583639728198616,0.9382944721485397
12,0.01213822274503515,0.0012034069239366333,0.010934815821098518,0.9261562494035044
13,0.016808193501817857,0.0009704471832528796,0.015837746318564976,0.9093480559016865
14,0.021597471600107193,0.0007860966421783322,0.020811374957928862,0.8877505843015794
15,0.026082311821901127,0.0006400043518567468,0.02544230747004438,0.8616682724796783
16,0.029957422523823333,0.0005262323476948783,0.029431190176128455,0.8317108499558551
17,0.033043770587300784,0.0004440563877510622,0.03259971419954972,0.7986670793685544
18,0.03527391489094569,0.00039830379638785196,0.034875611094557835,0.7633931644776086
19,0.03666700165166806,0.00039846010844093863,0.03626854154322712,0.7267261628259408
20,0.037301315092323754,0.00045649905325248534,0.03684481603907127,0.6894248477336171
21,0.037289067819090777,0.0005840069413872852,0.03670506087770349,0.6521357799145261
22,0.0367558403826718,0.0007893924458941892,0.03596644793677761,0.6153799395318543
23,0.035825504265803436,0.0010758320810056808,0.034749672184797756,0.5795544352660509
24,0.03461043127561214,0.001440284481796278,0.033170146793815865,0.5449440039904389
25,0.0332061986274131,0.0018735862846604302,0.03133261234275267,0.5117378053630258
26,0.03168974407516242,0.002361416583631121,0.029328327491531293,0.4800480612878633
27,0.030119908582749693,0.002885810174736491,0.0272340984080132,0.4499281527051136
28,0.028539431368356828,0.0034268922279084998,0.02511253914044833,0.42138872133675687
29,0.026977656962249533,0.003964562224921144,0.02301309473732839,0.39441106437450735
30,0.025453421571562378,0.004479937895733055,0.020973483675829324,0.3689576428029449
31,0.02397777336425147,0.004956454709876699,0.019021318654374772,0.3449798694386934
32,0.022556332452412106,0.005380588159421404,0.0171757442929907,0.3224235369862814
33,0.021191207667234428,0.0057422183341509095,0.015448989333083517,0.3012323293190469
34,0.019882462162994607,0.006034688794042795,0.01384777336895181,0.2813498671560523
35,0.01862916530586902,0.006254627414913588,0.012374537890955432,0.26272070185018337
36,0.017430091797351985,0.006401599938887463,0.011028491858464523,0.24529061005283134
37,0.01628413744019768,0.006477661662869166,0.009806475777328514,0.22900647261263365
38,0.015190519909447956,0.006486862688763627,0.008703657220684329,0.2138159527031857
39,0.014148826411751424,0.0064347502155906325,0.007714076196160792,0.19966712629143427
40,0.013158960988558217,0.006327899385171628,0.006831061603386589,0.18650816530287606
41,0.012221034232050945,0.006173493366811857,0.0060475408652390875,0.17428713107082516
42,0.011335228417712145,0.005978964278382669,0.005356264139329477,0.162951902653113
43,0.010501662124693074,0.0057516993859582305,0.004749962738734843,0.15245024052841993
44,0.009720270627761816,0.005498811739319979,0.0042214588884418374,0.14272996990065812
45,0.008990711832629807,0.005226970778428431,0.0037637410542013753,0.1337392580680283
46,0.00831230230676272,0.004942286212238432,0.0033700160945242873,0.12542695576126558
47,0.0076839839748370905,0.004650237337233226,0.003033746637603864,0.11774297178642852
48,0.007104319197948515,0.0043556396562118415,0.0027486795417366733,0.11063865258847999
49,0.006571510102209169,0.004062640937944265,0.0025088691642649037,0.10406714248627084
50,0.006083437009202081,0.003774739523905204,0.0023086974852968766,0.09798370547706875
