t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.017777777777777778,0.017777777777777778,0.0,0.9822222222222222
3,0.011851851851851853,0.011851851851851853,0.0,0.9703703703703703
4,0.00845432098765432,0.00845432098765432,0.0,0.9619160493827161
5,0.006004938271604939,0.006004938271604939,0.0,0.9559111111111113
6,0.004356213991769548,0.004356213991769548,0.0,0.9515548971193417
7,0.0032108276177411983,0.0032108276177411983,0.0,0.9483440695016006
8,0.002401536741350404,0.002401536741350404,0.0,0.9459425327602502
9,0.0018186506365899509,0.0018186506365899509,0.0,0.9441238821236602
10,0.0032540561881285036,0.001392023591850836,0.0018620325962776677,0.9408698259355317
11,0.007282096700073951,0.001075321379148391,0.00620677532092556,0.933587729235458
12,0.013540533629157197,0.0008373334723295495,0.012703200156827648,0.9200471956063009
13,0.02112515178796464,0.0006565860629567887,0.02046856572500785,0.8989220438183362
14,0.029032748209618067,0.000518031596134038,0.02851471661348403,0.8698892956087181
15,0.0364148571599049,0.0004109504268908747,0.03600390673301402,0.8334744384488132
16,0.042680770206211416,0.0003275939137593832,0.042353176292452034,0.7907936682426019
17,0.047502361550504045,0.0002622879529133749,0.04724007359759067,0.7432913066920978
18,0.05077060587230729,0.00021082939077665127,0.05055977648153064,0.6925207008197906
19,0.05253616879308923,0.0001700724867645434,0.05236609630632468,0.6399845320267014
20,0.052952008361509796,0.0001376410871618235,0.052814367274347976,0.5870325236651915
21,0.05222596157923317,0.00011172541179051795,0.05211423616744265,0.5348065620859583
22,0.050585463474374384,9.093670847106415e-05,0.05049452676590332,0.48422109861158397
23,0.0482535755942491,7.420206583756097e-05,0.04817937352841154,0.4359675230173349
24,0.045434283951053894,6.068746934227592e-05,0.04537359648171162,0.39053323906628107
25,0.042304772470804775,4.9740964852219e-05,0.042255031505952556,0.3482284665954763
26,0.03901258828050315,4.0850299042850246e-05,0.0389717379814603,0.30921587831497316
27,0.03567600173623672,3.3611090353963874e-05,0.03564239064588276,0.2735398765787364
28,0.03238627551676117,2.7702732747898717e-05,0.032358572784013266,0.24115360106197523
29,0.029210923525250423,2.287002747418067e-05,0.029188053497776242,0.21194267753672485
30,0.026197337211470516,1.89090920206169e-05,0.026178428119449898,0.1857453403252543
31,0.02337638276399339,1.5656486697573028e-05,0.023360726277295817,0.1623689575612609
32,0.02076573617588261,1.298077847066534e-05,0.020752755397411945,0.14160322138537831
33,0.018372836508365364,1.0775962735039294e-05,0.018362060545630325,0.12323038487701297
34,0.01619741268440685,8.956309836000374e-06,0.016188456374570847,0.10703297219260612
35,0.01423358615660196,7.452310186289908e-06,0.01422613384641567,0.09279938603600417
36,0.012471579100304454,6.207470858041998e-06,0.012465371629446413,0.08032780693569971
37,0.010899071715794368,5.17577529023673e-06,0.010893895940504132,0.06942873521990534
38,0.009502257439038805,4.31966174108108e-06,0.009497937777297724,0.05992647778086653
39,0.008266644674383152,3.608409251829801e-06,0.008263036265131323,0.05165983310648338
40,0.007177650363791074,3.0168449993334637e-06,0.007174633518791741,0.04448218274269231
41,0.006221025827741451,2.5243060495410558e-06,0.00621850152169191,0.038261156914950856
42,0.00538314984027023,2.1138031822241786e-06,0.005381036037088006,0.032878007074680624
43,0.004651218442076478,1.7713457415507841e-06,0.004649447096334927,0.028226788632604152
44,0.00401335589895174,1.485395195027702e-06,0.004011870503756712,0.024213432733652413
45,0.003458666654173794,1.2464218637945201e-06,0.0034574202323099995,0.020754766079478616
46,0.002977244169185491,1.0465445768175373e-06,0.0029761976246086737,0.017777521910293127
47,0.0025601491959545233,8.792371442973113e-07,0.002559269958810226,0.015217372714338605
48,0.0021993672376525303,7.39088802278817e-07,0.0021986281488502513,0.013018005476686077
49,0.0018877526731022117,6.216083495612128e-07,0.0018871310647526505,0.011130252803583865
