t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667
2,0.17777777777777778,0.17777777777777778,0.0,0.2888888888888889
3,0.0971851851851852,0.0971851851851852,0.0,0.1917037037037037
4,0.057679012345679015,0.057679012345679015,0.0,0.13402469135802472
5,0.037262222222222224,0.037262222222222224,0.0,0.09676246913580248
6,0.025231275720164613,0.025231275720164613,0.0,0.07153119341563788
7,0.01770368175582991,0.01770368175582991,0.0,0.05382751165980798
8,0.012750992836457862,0.012750992836457862,0.0,0.04107651882335012
9,0.009373609327033485,0.009373609327033485,0.0,0.031702909496316635
10,0.007004324467069725,0.007004324467069725,0.0,0.024698585029246913
11,0.00530442515163836,0.00530442515163836,0.0,0.01939415987760855
12,0.004062160659396022,0.004062160659396022,0.0,0.01533199921821253
13,0.0031403649607683807,0.0031403649607683807,0.0,0.01219163425744415
14,0.0024475052545639433,0.0024475052545639433,0.0,0.009744129002880205
15,0.0019209691566072628,0.0019209691566072628,0.0,0.007823159846272944
16,0.0015170172962362875,0.0015170172962362875,0.0,0.006306142550036656
17,0.0012045394480987802,0.0012045394480987802,0.0,0.005101603101937876
18,0.0009610607822481266,0.0009610607822481266,0.0,0.00414054231968975
19,0.0007701229610728984,0.0007701229610728984,0.0,0.003370419358616852
20,0.0006195289587886619,0.0006195289587886588,3.153368552012172e-18,0.0027508903998281903
21,0.0005001439722081307,0.0005001439722081097,2.1022457013414486e-17,0.0022507464276200597
22,0.00040506220255588616,0.0004050622025558083,7.78391508350027e-17,0.0018456842250641737
23,0.00032901904571582127,0.0003290190457156102,2.1110284167159414e-16,0.0015166651793483523
24,0.00026797075661209624,0.0002679707566116284,4.678149471705465e-16,0.001248694422736256
25,0.0002187901905230576,0.00021879019052216013,8.974845474663802e-16,0.0010299042322131986
26,0.00017904413283047346,0.0001790441328289295,1.5439620793902988e-15,0.0008508600993827252
27,0.00014682870853483513,0.000146828708532397,2.4381344427257085e-15,0.00070403139084789
28,0.00012064661661427063,0.00012064661661067773,3.592900306494776e-15,0.0005833847742336194
29,9.931480238948419e-05,9.931480238448315e-05,5.00104112425252e-15,0.00048406997184413517
30,8.189449547476464e-05,8.189449546812874e-05,6.6358969091270625e-15,0.00040217547636937066
31,6.763782754505699e-05,6.763782753660271e-05,8.454281814195914e-15,0.0003345376488243137
32,5.594684106200468e-05,5.5946841051603825e-05,1.040085217709627e-14,0.00027859080776230903
33,4.634182793637669e-05,4.6341827923963574e-05,1.2413121889016119e-14,0.00023224897982593228
34,3.843674197637165e-05,3.8436741961945214e-05,1.442643581433404e-14,0.00019381223784956065
35,3.192000892887316e-05,3.1920008912494765e-05,1.637839352317884e-14,0.0001618922289206875
36,2.6539479573836912e-05,2.65394795556245e-05,1.821241048445556e-14,0.00013535274934685056
37,2.2090580456441624e-05,2.2090580436561344e-05,1.9880278536239386e-14,0.00011326216889040897
38,1.840694523521887e-05,1.8406945213875143e-05,2.1343724877399238e-14,9.48552236551901e-05
39,1.5352979598140284e-05,1.535297957556522e-05,2.257506420986797e-14,7.950224405704982e-05
40,1.281794005523047e-05,1.2817940031673377e-05,2.3557094953174556e-14,6.668430400181934e-05
