t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.13333333333333333,0.13333333333333333,0.0,0.8666666666666667
2,0.044444444444444446,0.044444444444444446,0.0,0.8222222222222222
3,0.0242962962962963,0.0242962962962963,0.0,0.7979259259259259
4,0.014419753086419754,0.014419753086419754,0.0,0.7835061728395063
5,0.009315555555555556,0.009315555555555556,0.0,0.7741906172839508
6,0.006307818930041153,0.006307818930041153,0.0,0.7678827983539096
7,0.004425920438957478,0.004425920438957478,0.0,0.7634568779149522
8,0.003187748209114465,0.003187748209114465,0.0,0.7602691297058377
9,0.002343402331758371,0.002343402331758371,0.0,0.7579257273740794
10,0.001751081116767431,0.001751081116767431,0.0,0.756174646257312
11,0.0013261062879095897,0.0013261062879095897,0.0,0.7548485399694024
12,0.0010155401648490052,0.0010155401648490052,0.0,0.7538329998045534
13,0.000785091240192095,0.000785091240192095,0.0,0.7530479085643613
14,0.0006118763136409857,0.0006118763136409857,0.0,0.7524360322507204
15,0.00048024228915181564,0.00048024228915181564,0.0,0.7519557899615685
16,0.00037925432405907177,0.00037925432405907177,0.0,0.7515765356375097
17,0.00030113486202469505,0.00030113486202469505,0.0,0.7512754007754849
18,0.00024026519556203166,0.00024026519556203166,0.0,0.7510351355799229
19,0.0001925307402682246,0.0001925307402682246,0.0,0.7508426048396546
20,0.00015488223969716472,0.00015488223969716472,0.0,0.7506877225999575
21,0.00012503599305202745,0.00012503599305202745,0.0,0.7505626866069055
22,0.00010126555063895209,0.00010126555063895209,0.0,0.7504614210562666
23,8.225476142890256e-05,8.225476142890256e-05,0.0,0.7503791662948377
24,6.69926891529071e-05,6.69926891529071e-05,0.0,0.7503121736056848
25,5.469754763054004e-05,5.469754763054004e-05,0.0,0.7502574760580543
26,4.476103320723238e-05,4.476103320723238e-05,0.0,0.750212715024847
27,3.670717713309925e-05,3.670717713309925e-05,0.0,0.750176007847714
28,3.0161654152669432e-05,3.0161654152669432e-05,0.0,0.7501458461935614
29,2.482870059612079e-05,2.482870059612079e-05,0.0,0.7501210174929652
30,2.048007984200431e-05,2.0473623867032187e-05,6.455974972121984e-09,0.7501005374131233
31,1.69740166338719e-05,1.690945688415068e-05,6.455974972121987e-08,0.7500835633964895
32,1.4333582624847547e-05,1.3986710262900956e-05,3.4687236194658983e-07,0.7500692298138646
33,1.291345581496007e-05,1.1585456980990894e-05,1.327998833969176e-06,0.7500563163580496
34,1.3666831499824937e-05,9.609185490486304e-06,4.057646009338634e-06,0.7500426495265499
35,1.84946590561563e-05,7.980002228123691e-06,1.051465682803261e-05,0.7500241548674937
36,3.062747989143998e-05,6.634869888906126e-06,2.399261000253385e-05,0.7499935273876023
37,5.496703513344038e-05,5.522645109140337e-06,4.9444390024300043e-05,0.7499385603524689
38,9.830804895636901e-05,4.6017363034687866e-06,9.370631265290022e-05,0.7498402523035125
39,0.000169372097452017,3.838244893891305e-06,0.00016553385255812568,0.7496708802060604
40,0.000278611898845608,3.2044850079183437e-06,0.0002754074138376896,0.749392268307215
41,0.00043777902533984216,2.6778007308690595e-06,0.0004351012246089731,0.7489544892818751
42,0.0006592833069015311,2.23961820795995e-06,0.0006570436886935711,0.7482952059749735
43,0.0009554014943402171,1.8746837822630612e-06,0.0009535268105579541,0.7473398044806334
44,0.0013374117522711366,1.5704500053239383e-06,0.0013358413022658126,0.7460023927283622
45,0.001814737559939277,1.3165795640958882e-06,0.0018134209803751813,0.7441876551684229
46,0.0023941802350867314,1.1045435209541668e-06,0.0023930756915657775,0.7417934749333362
47,0.0030793058500750117,9.27295203115148e-07,0.003078378554871897,0.7387141690832613
48,0.0038700329460314617,7.790049341303587e-07,0.0038692539410973316,0.7348441361372298
49,0.004762445504169568,6.548438224985267e-07,0.004761790660347069,0.7300816906330603
50,0.005748834074136976,5.508071998905093e-07,0.005748283266937085,0.7243328565589233
51,0.006817949072592648,4.635701781166916e-07,0.006817485502414532,0.7175149074863307
52,0.007955435524327823,3.903692801457389e-07,0.007955045155047677,0.7095594719620029
53,0.00914440860762868,3.289052811046743e-07,0.009144079702347575,0.7004150633543742
54,0.010366124302795716,2.772633358384299e-07,0.010365847039459877,0.6900489390515785
55,0.011600698749236662,2.3384722115258142e-07,0.011600464902015509,0.6784482403023419
56,0.012827832798812588,1.973251229139161e-07,0.012827635473689675,0.6656204075035292
57,0.014027503767496816,1.6658488169101353e-07,0.014027337182615125,0.6515929037360325
58,0.015180593573655943,1.4069699985152426e-07,0.015180452876656092,0.6364123101623766
59,0.016269430428971624,1.1888402708861098e-07,0.016269311544944536,0.620142879733405
60,0.01727822927686363,1.0049519529544634e-07,0.017278128781668334,0.6028646504565414
61,0.0181934236819719,8.498537947219136e-08,0.018193338696592426,0.5846712267745695
62,0.01900388846511126,7.189762840369029e-08,0.019003816567482856,0.5656673383094583
63,0.01970105781433395,6.08486447256208e-08,0.01970099696568922,0.5459662804951243
64,0.020278947785177408,5.1516704717378556e-08,0.02027889626847269,0.5256873327099469
65,0.020734095041996428,4.363159853410693e-08,0.020734051410397893,0.5049532376679504
66,0.021065425477671523,3.696624547742471e-08,0.021065388511426045,0.483887812190279
67,0.021274067123847818,3.132969940661912e-08,0.02127403579414841,0.46261374506643116
68,0.021363121700142356,2.6561309008110137e-08,0.02136309513883335,0.44125062336628884
69,0.021337408430330534,2.2525838387798567e-08,0.021337385904492145,0.41991321493595835
70,0.021203192553696057,1.9109386959768903e-08,0.0212031734443091,0.3987100223822623
71,0.020967909443175815,1.6215975197600127e-08,0.020967893227200617,0.3777421129390865
72,0.020639893550419532,1.3764685564348888e-08,0.020639879785733967,0.35710221938866693
73,0.020228119649154507,1.1687266716783718e-08,0.02022810796188779,0.33687409973951243
74,0.019741962135304655,9.926124599539685e-09,0.019741952209180055,0.31713213760420783
75,0.019190976534485267,8.432636885528611e-09,0.019190968101848383,0.29794116106972257
76,0.018584705912631626,7.1657378541346625e-09,0.018584698746893773,0.27935645515709095
