beta,has_two,phase,t1,t2,tv,sep_peaks,peak_ratio,valley_ratio,mass_tmax,survival_tmax,is_bimodal
0.0,1,2,192,322,264,2.6262626262626263,0.1938222771022492,0.010650904116814908,0.9999996145718452,3.8542815482803977e-07,1
0.02,1,2,192,322,266,2.6,0.19241172891666547,0.01959521041274204,0.9999996058251294,3.9417487049670623e-07,1
0.04,1,2,192,322,268,2.6,0.19109917134739685,0.02764310994467404,0.9999995971325099,4.0286749010297497e-07,1
0.06,1,2,192,322,270,2.5242718446601944,0.18988077203424492,0.034949921065910924,0.9999995884503768,4.115496232061004e-07,1
0.08,1,2,192,322,271,2.5242718446601944,0.1887526664480135,0.04169631124671517,0.9999995797439937,4.202560062133734e-07,1
0.1,1,2,192,322,273,2.4761904761904763,0.1877109778219016,0.047950811369233196,0.9999995709858166,4.2901418336541375e-07,1
0.12,1,2,192,322,274,2.452830188679245,0.18675183463484965,0.05387575068213843,0.9999995621541253,4.3784587462151184e-07,1
0.14,1,2,192,322,275,2.4299065420560746,0.1858713859551763,0.059530604680428374,0.9999995532319144,4.4676808571522584e-07,1
0.16,1,2,107,322,276,2.8289473684210527,0.37088460038726934,0.13019691147706353,0.9999995442059928,4.557940070144705e-07,1
0.18,1,2,108,322,277,2.834437086092715,0.33532147595429,0.1277555693452349,0.9999995350662598,4.6493374012836137e-07,1
0.2,1,2,108,321,278,2.7662337662337664,0.30633499651607066,0.1256882453829077,0.9999995258051155,4.7419488451696535e-07,1
0.22,1,2,109,321,278,2.735483870967742,0.28250360043790246,0.12397332265017061,0.9999995164169893,4.835830106497562e-07,1
0.24,1,2,109,321,279,2.6835443037974684,0.2624196031028289,0.12248206335152473,0.9999995068979585,4.931020414455119e-07,1
0.26,1,2,109,321,280,2.6335403726708075,0.2454360845344435,0.1213295639568958,0.9999994972454402,5.02754559710517e-07,1
0.28,1,2,109,321,280,1.0469135802469136,0.23091365037296385,0.12036740931445364,0.9999994874579439,5.125420559677805e-07,1
0.3,1,2,109,321,281,1.0443349753694582,0.2183771166399092,0.11963792423157728,0.9999994775348715,5.224651283357772e-07,1
