beta,phase_legacy,phase_timescale,n_peaks_timescale,t1_legacy,t2_legacy,t2_timescale,peak_ratio_legacy,peak_ratio_timescale,valley_ratio_legacy,valley_ratio_timescale
0.0,1,1,2,192,322,322,0.1938222771022492,0.1938222771022492,0.010650904116814908,0.010650904116814908
0.02,1,1,2,192,322,322,0.19241172891666547,0.19241172891666547,0.01959521041274204,0.01959521041274204
0.04,1,1,2,192,322,322,0.19109917134739685,0.19109917134739685,0.02764310994467404,0.02764310994467404
0.06,1,1,2,192,322,322,0.18988077203424492,0.18988077203424492,0.034949921065910924,0.034949921065910924
0.08,1,1,2,192,322,322,0.1887526664480135,0.1887526664480135,0.04169631124671517,0.04169631124671517
0.1,1,1,2,192,322,322,0.1877109778219016,0.1877109778219016,0.047950811369233196,0.047950811369233196
0.12,1,1,2,192,322,322,0.18675183463484965,0.18675183463484965,0.05387575068213843,0.05387575068213843
0.14,1,1,2,192,322,322,0.1858713859551763,0.1858713859551763,0.059530604680428374,0.059530604680428374
0.16,2,2,3,107,322,322,0.37088460038726934,0.37088460038726934,0.13019691147706353,0.13019691147706353
0.18,2,2,3,108,322,322,0.33532147595429,0.33532147595429,0.1277555693452349,0.1277555693452349
0.2,2,2,3,108,321,321,0.30633499651607066,0.30633499651607066,0.1256882453829077,0.1256882453829077
0.22,2,2,3,109,321,321,0.28250360043790246,0.28250360043790246,0.12397332265017061,0.12397332265017061
0.24,2,2,3,109,191,321,0.6958416238494477,0.2624196031028289,0.13964384208982852,0.12248206335152473
0.26,2,2,3,109,191,321,0.7420208419959886,0.2454360845344435,0.15243596566516188,0.1213295639568958
0.28,2,2,3,109,191,321,0.7868322635520365,0.23091365037296385,0.16550494010213102,0.12036740931445364
0.3,2,2,3,109,191,321,0.8302790428579615,0.2183771166399092,0.178819433842123,0.11963792423157728
