beta,has_two,phase,is_bimodal,t1,t2,sep_peaks,peak_ratio,valley_ratio
0.0,1,2,1,192,322,2.6262626262626263,0.1938222771022492,0.010650904116814908
0.005,1,2,1,192,322,2.6262626262626263,0.19346024568596693,0.012966856560741343
0.01,1,2,1,192,322,2.6,0.1931045165173352,0.01524315250188732
0.015,1,2,1,192,322,2.6,0.1927550306601162,0.01745211191296522
0.02,1,2,1,192,322,2.6,0.19241172891666547,0.01959521041274204
0.025,1,2,1,192,322,2.6,0.1920745518527799,0.021701096014360273
0.03,1,2,1,192,322,2.6,0.19174343982173334,0.023722417018204347
0.035,1,2,1,192,322,2.6,0.1914183329875295,0.025728367810292894
0.04,1,2,1,192,322,2.6,0.19109917134739685,0.02764310994467404
0.045,1,2,1,192,322,2.5742574257425743,0.19078589475355323,0.029553932472518255
0.05,1,2,1,192,322,2.5742574257425743,0.1904784429342641,0.03137806228860737
