smooth_window,t_ignore,min_ratio,max_valley_ratio,onset_beta_has_two,onset_beta_clear
9,60,0.18,0.85,0.0,0.0
9,60,0.18,0.9,0.0,0.0
9,60,0.18,0.95,0.0,0.0
9,60,0.2,0.85,0.0,0.0
9,60,0.2,0.9,0.0,0.0
9,60,0.2,0.95,0.0,0.0
9,60,0.22,0.85,0.0,0.0
9,60,0.22,0.9,0.0,0.0
9,60,0.22,0.95,0.0,0.0
9,80,0.18,0.85,0.0,0.0
9,80,0.18,0.9,0.0,0.0
9,80,0.18,0.95,0.0,0.0
9,80,0.2,0.85,0.0,0.0
9,80,0.2,0.9,0.0,0.0
9,80,0.2,0.95,0.0,0.0
9,80,0.22,0.85,0.0,0.0
9,80,0.22,0.9,0.0,0.0
9,80,0.22,0.95,0.0,0.0
9,100,0.18,0.85,0.0,0.0
9,100,0.18,0.9,0.0,0.0
9,100,0.18,0.95,0.0,0.0
9,100,0.2,0.85,0.0,0.0
9,100,0.2,0.9,0.0,0.0
9,100,0.2,0.95,0.0,0.0
9,100,0.22,0.85,0.0,0.0
9,100,0.22,0.9,0.0,0.0
9,100,0.22,0.95,0.0,0.0
11,60,0.18,0.85,0.0,0.0
11,60,0.18,0.9,0.0,0.0
11,60,0.18,0.95,0.0,0.0
11,60,0.2,0.85,0.0,0.0
11,60,0.2,0.9,0.0,0.0
11,60,0.2,0.95,0.0,0.0
11,60,0.22,0.85,0.0,0.0
11,60,0.22,0.9,0.0,0.0
11,60,0.22,0.95,0.0,0.0
11,80,0.18,0.85,0.0,0.0
11,80,0.18,0.9,0.0,0.0
11,80,0.18,0.95,0.0,0.0
11,80,0.2,0.85,0.0,0.0
11,80,0.2,0.9,0.0,0.0
11,80,0.2,0.95,0.0,0.0
11,80,0.22,0.85,0.0,0.0
11,80,0.22,0.9,0.0,0.0
11,80,0.22,0.95,0.0,0.0
11,100,0.18,0.85,0.0,0.0
11,100,0.18,0.9,0.0,0.0
11,100,0.18,0.95,0.0,0.0
11,100,0.2,0.85,0.0,0.0
11,100,0.2,0.9,0.0,0.0
11,100,0.2,0.95,0.0,0.0
11,100,0.22,0.85,0.0,0.0
11,100,0.22,0.9,0.0,0.0
11,100,0.22,0.95,0.0,0.0
13,60,0.18,0.85,0.0,0.0
13,60,0.18,0.9,0.0,0.0
13,60,0.18,0.95,0.0,0.0
13,60,0.2,0.85,0.0,0.0
13,60,0.2,0.9,0.0,0.0
13,60,0.2,0.95,0.0,0.0
13,60,0.22,0.85,0.0,0.0
13,60,0.22,0.9,0.0,0.0
13,60,0.22,0.95,0.0,0.0
13,80,0.18,0.85,0.0,0.0
13,80,0.18,0.9,0.0,0.0
13,80,0.18,0.95,0.0,0.0
13,80,0.2,0.85,0.0,0.0
13,80,0.2,0.9,0.0,0.0
13,80,0.2,0.95,0.0,0.0
13,80,0.22,0.85,0.0,0.0
13,80,0.22,0.9,0.0,0.0
13,80,0.22,0.95,0.0,0.0
13,100,0.18,0.85,0.0,0.0
13,100,0.18,0.9,0.0,0.0
13,100,0.18,0.95,0.0,0.0
13,100,0.2,0.85,0.0,0.0
13,100,0.2,0.9,0.0,0.0
13,100,0.2,0.95,0.0,0.0
13,100,0.22,0.85,0.0,0.0
13,100,0.22,0.9,0.0,0.0
13,100,0.22,0.95,0.0,0.0
