N,beta,peak_id,t_left,t_peak,t_right,mass_total,fraction_total,mass_yes,mass_no,shortcut_share,dominant_site,dominant_site_fraction,site_entropy
61,0.0,peak1,48,114,160,0.30993178465674287,0.3099318303106508,0.0,0.30993178465674287,0.0,60,0.04019416329773326,3.705379812207343
61,0.0,peak2,161,192,242,0.04703455098589836,0.04703455791423281,0.0,0.04703455098589836,0.0,38,0.050099085143474734,3.5812030111254076
61,0.0,other,,,,0.6430335170542959,0.6430336117751165,0.0,0.6430335170542959,0.0,21,0.12152186405905123,2.6724603397274227
61,0.02,peak1,48,114,161,0.3169078564364599,0.3169079041714862,0.011526894314657896,0.305380962121802,0.03637301531200455,60,0.03913180194492428,3.739275970487419
61,0.02,peak2,162,192,242,0.046985519742129826,0.04698552681943943,0.0013570186375096037,0.04562850110462022,0.028881635128382446,38,0.04925262019717127,3.606520798288873
61,0.02,other,,,,0.6361064731939697,0.6361065690090736,0.0007128368070382285,0.6353936363869327,0.0011206249850893454,21,0.12146390369601366,2.674915077658502
61,0.04,peak1,48,114,161,0.323408591312526,0.32340864112530754,0.022735942247872152,0.3006726490646539,0.07030098413774441,60,0.038187475685189536,3.764690199025083
61,0.04,peak2,162,192,242,0.04725290125429366,0.04725290853238866,0.002693721147198177,0.04455918010709548,0.05700647104612249,38,0.04829482091380557,3.6349677943036784
61,0.04,other,,,,0.6293383534089046,0.6293384503423034,0.0014024538107369978,0.627935899598168,0.0022284575588638425,21,0.12140460746963838,2.6773516737874457
61,0.06,peak1,48,114,162,0.3301694460752581,0.3301694980749393,0.03378557610958193,0.29638386996567617,0.10232799100944344,60,0.03730928861470628,3.786052396672919
61,0.06,peak2,163,192,242,0.047106556451034426,0.047106563870030774,0.0038645823733710035,0.04324197407766343,0.08203916109614376,38,0.047615420774122355,3.6524863992474126
61,0.06,other,,,,0.6227238399798093,0.6227239380550295,0.0020700885492377368,0.6206537514305722,0.003324248111819287,21,0.12134400888556723,2.6797736192480786
61,0.08,peak1,48,114,162,0.33637473155125136,0.3363747857198177,0.044442037336313335,0.2919326942149381,0.1321206177745904,60,0.036527041771279696,3.802219794279762
61,0.08,peak2,163,192,242,0.04736726305961062,0.04736727068746281,0.005115629768067355,0.042251633291543265,0.10799926864318615,38,0.04676164014958113,3.6750801821636543
61,0.08,other,,,,0.6162578443527921,0.6162579435927195,0.002716890423802029,0.6135409539289901,0.004408691019025273,21,0.12128214177010264,2.682183945134692
61,0.1,peak1,48,114,163,0.342928534508723,0.3429285909724065,0.055039845111201864,0.2878886893975212,0.16049946146957866,60,0.03580086008702274,3.8165675508912065
61,0.1,peak2,164,192,242,0.04713580570482627,0.04713581346580545,0.006124013344475873,0.0410117923603504,0.1299227466870017,38,0.04621329362792946,3.68760477623963
61,0.1,other,,,,0.6099354951350198,0.6099355955617889,0.003343928079952658,0.6065915670550661,0.0054824290545878495,21,0.12121904014254666,2.684585285958026
61,0.12,peak1,48,114,164,0.34939967864639665,0.34939973746392566,0.06543480384465904,0.2839648748017375,0.1872778020236278,60,0.035140899199801255,3.828542770353178
61,0.12,peak2,165,191,242,0.04684802617755066,0.04684803406389203,0.007045034015515082,0.03980299216203558,0.15038059423923023,38,0.045719487298368146,3.6984068268010017
61,0.12,other,,,,0.6037521268372632,0.6037522284721828,0.003952196101396471,0.5997999307358659,0.006546057439333469,21,0.121154738100909,2.686979931680384
61,0.14,peak1,48,114,164,0.35521207399790145,0.35521213512916955,0.07535268453069445,0.279859389467207,0.21213435591477,60,0.034552931786056895,3.8371651884035987
61,0.14,peak2,165,191,242,0.047084484595906625,0.047084492699049685,0.008163495529798337,0.03892098906610827,0.17337973644311794,38,0.04500118122442985,3.7151821737119457
61,0.14,other,,,,0.5977032693082753,0.5977033721717799,0.0045426210862829,0.5931606482219933,0.007600127554162613,21,0.12108926971989059,2.689369871088531
61,0.16,peak1,48,114,165,0.36148665480522885,0.3614867184009349,0.08532860888448092,0.276158045920748,0.2360491258811656,60,0.034007963066788785,3.8456415639908608
61,0.16,peak2,166,191,242,0.046728531455812704,0.04672853967668036,0.008954351305327303,0.0377741801504854,0.19162492435258083,38,0.044594647933442616,3.723138375389928
61,0.16,other,,,,0.5917846378107634,0.5917847419223851,0.0051160671677682205,0.5866685706429947,0.008645150348435032,21,0.12102266896010919,2.6917568284337348
61,0.18,peak1,48,114,166,0.36768099370253093,0.36768105982222066,0.09511253129801478,0.2725684624045161,0.2586822080201533,60,0.03351295459369963,3.852895438162748
61,0.18,peak2,167,191,242,0.04632670277548956,0.046326711106372216,0.009677251310928755,0.03664945146456079,0.20889143261127524,38,0.04421976807672492,3.7301541166261054
61,0.18,other,,,,0.5859921236930544,0.585992229071407,0.0056733410341559005,0.5803187826588985,0.009681599469974489,21,0.12095496958761072,2.694142294727548
61,0.2,peak1,48,114,166,0.3731329233995657,0.3731329919811608,0.10436319915611618,0.26876972424344947,0.27969442686878604,60,0.03307382538543845,3.8574999900960534
61,0.2,peak2,167,191,242,0.04654510718663774,0.046545115741598975,0.010682608622969431,0.0358624985636683,0.2295108824249569,38,0.043603626608274354,3.7431849165383015
61,0.2,other,,,,0.5803217856144632,0.58032189227724,0.006215196497965897,0.5741065891164976,0.010709914140798709,21,0.12088620510278902,2.696527554718482
61,0.22,peak1,48,114,167,0.3791423437825034,0.379142415000079,0.11376028103074695,0.26538206275175646,0.3000463622602017,60,0.03266673721741979,3.8628587948312445
61,0.22,peak2,168,190,242,0.046087627093089334,0.04608763575012573,0.01129949629380994,0.03478813079927939,0.24517418245436762,38,0.04328552929338745,3.748472508605589
61,0.22,other,,,,0.5747698412858202,0.5747699492497955,0.006742338658045568,0.5680275026277739,0.011730501800446335,21,0.12081640867788764,2.69891371032329
61,0.24,peak1,48,114,168,0.385075019795532,0.3850750937090813,0.12297727328081587,0.26209774651471607,0.31935925977778207,60,0.03229758595624324,3.8675610825578826
61,0.24,peak2,169,190,242,0.04559212856885155,0.045592137320071106,0.011862764145482527,0.033729364423369025,0.26019325084960265,38,0.04298311529027256,3.753260000087405
61,0.24,other,,,,0.5693326596898097,0.5693327689708471,0.007255427694190889,0.5620772319956191,0.012743740536760834,21,0.12074561310233112,2.7013017011087497
61,0.26,peak1,48,114,168,0.3901967269277706,0.390196803453193,0.13162481960638653,0.2585719073213841,0.33732937906153077,60,0.03197418108331784,3.8698810248892217
61,0.26,peak2,169,190,242,0.045796323203546485,0.04579633218512613,0.012769741067921949,0.03302658213562454,0.2788376920820808,38,0.04244605289702033,3.763705871274262
61,0.26,other,,,,0.564006753748618,0.5640068643616809,0.007755082329631123,0.5562516714189865,0.013749981322187537,21,0.12067385073517138,2.70369232229102
61,0.28,peak1,48,114,169,0.39595657071677903,0.3959566500508121,0.1404860545794532,0.2554705161373259,0.35480167515629,60,0.031672945441196906,3.8735177899166198
61,0.28,peak2,170,189,242,0.04525445551389178,0.04525446458109444,0.013244911916645974,0.03200954359724582,0.2926764175204843,38,0.04217943676641208,3.7674263963398995
61,0.28,other,,,,0.5587887734089284,0.5587888853680933,0.008241882993065476,0.5505468904158629,0.014749550071998255,21,0.12060115346402416,2.7060862406246
61,0.3,peak1,48,113,170,0.401643716589851,0.40164379879260653,0.14917962544264268,0.25246409114720836,0.3714227791467764,60,0.03140073921360977,3.876797344262509
61,0.3,peak2,171,189,242,0.0446805796276284,0.044680588772217526,0.013676914825500324,0.031003664802128076,0.30610423901133,38,0.04191770197377104,3.7709224004722324
61,0.3,other,,,,0.5536754991167052,0.5536756124351758,0.008716374708693908,0.5449591244080111,0.01574274953939518,21,0.12052755266987265,2.70848400848152
81,0.0,peak1,64,153,212,0.2849054102777692,0.28490551967232675,0.0,0.2849054102777692,0.0,80,0.03780285386877008,3.852228788575914
81,0.0,peak2,213,257,321,0.04696612371285003,0.04696614174633811,0.0,0.04696612371285003,0.0,51,0.04398929294182865,3.683884551876068
81,0.0,other,,,,0.668128082041539,0.6681283385813352,0.0,0.668128082041539,0.0,29,0.10392299751463689,2.834895573346563
81,0.02,peak1,64,153,213,0.2922652278410034,0.2922653425212904,0.01163658503746715,0.2806286428035362,0.039815153938865505,80,0.036629185846002506,3.9062180338226318
81,0.02,peak2,214,257,321,0.04703430059235479,0.04703431904787593,0.001284779393677818,0.045749521198676965,0.02731579671637879,51,0.04318021630712954,3.7213312563974883
81,0.02,other,,,,0.6607000791824952,0.6607003384308336,0.0006512741722050441,0.6600488050102904,0.0009857334556564394,29,0.10391229039941065,2.837206660422971
81,0.04,peak1,64,153,214,0.2995031372849416,0.2995032573478884,0.023027334001813976,0.27647580328312765,0.07688511783402859,80,0.03556004394523401,3.945946331673816
81,0.04,peak2,215,257,321,0.04704885243006288,0.047048871290712946,0.0024752129801879283,0.04457363944987496,0.0526094230218958,51,0.04245773115229966,3.751570495243475
81,0.04,other,,,,0.6534476094114028,0.6534478713613986,0.001281776810022961,0.6521658326013798,0.0019615601795184923,29,0.10389991345577283,2.839494008674225
81,0.06,peak1,64,153,215,0.306619657171173,0.3066197827180785,0.03417630438752632,0.2724433527836467,0.11146155697528261,80,0.034585099475389874,3.976636100648761
81,0.06,peak2,216,257,321,0.04701534928601781,0.04701536853668056,0.003580294106446108,0.04343505517957169,0.07615160071799942,51,0.04180989704124939,3.7766415571407217
81,0.06,other,,,,0.6463645840881276,0.6463648487452408,0.0018926138316799125,0.644471970256448,0.0029280902423667863,29,0.103885902595911,2.8417621713802044
81,0.08,peak1,64,153,216,0.3136157160657958,0.31361584720168056,0.04508785797879015,0.2685278580870058,0.14376785240357925,80,0.033695175989092385,4.000938276038083
81,0.08,peak2,217,257,321,0.04693867762116311,0.04693869724819296,0.004608062651896083,0.04233061496926704,0.09817197427433401,51,0.04122633992866234,3.7977631010855974
81,0.08,other,,,,0.6394451881712733,0.6394454555501266,0.0024848111162299254,0.636960377055044,0.003885886018371878,29,0.10387029408108844,2.8440150616455613
81,0.1,peak1,64,153,217,0.3204926283108056,0.32049276514388003,0.055766638347548955,0.2647259899632567,0.17400287376802903,80,0.032882104213837464,4.020495754407669
81,0.1,peak2,218,257,321,0.046823079565325505,0.046823099556256235,0.005565667029511221,0.04125741253581428,0.11886589009478214,51,0.04069802072168819,3.815763973388881
81,0.1,other,,,,0.6326838651779619,0.6326841352998642,0.003059321307445323,0.6296245438705168,0.004835465982026891,29,0.10385312440290718,2.8462560605319793
81,0.12,peak1,64,153,218,0.32725206336488843,0.3272522060061159,0.06621754334340349,0.2610345200214849,0.20234415839135733,80,0.032138598928922485,4.036425884752083
81,0.12,peak2,219,257,321,0.046672197626964035,0.0466722179702416,0.006459428349651575,0.04021276927731246,0.1383999185399351,51,0.04021705010897704,3.8312477335021993
81,0.12,other,,,,0.6260753031326212,0.6260755760236423,0.003617029981089697,0.6224582731515316,0.0057773081975787555,29,0.1038344301748536,2.848488098936878
81,0.14,peak1,64,153,219,0.33389600979805384,0.3338961583607901,0.07644569343443136,0.2574503163636225,0.2289506049523235,80,0.031458153761245215,4.0495307671727305
81,0.14,peak2,220,257,321,0.0464891238378208,0.04648914452255869,0.00729490612550773,0.03919421771231307,0.15691640373684623,51,0.03977653828728364,3.844673492496766
81,0.14,other,,,,0.6196144214271816,0.6196146971166514,0.004158761239386942,0.6154556601877941,0.006711853526275112,29,0.10381424803365055,2.850713721688016
81,0.16,peak1,64,153,220,0.3404267351206088,0.3404268897203027,0.08645639685815651,0.2539703382624523,0.25396476815349456,80,0.03083495071640455,4.0604067123185095
81,0.16,peak2,221,257,321,0.04627645222225516,0.0462764732380116,0.008076964775978569,0.03819948744627658,0.1745372514121602,51,0.039370471099941996,3.856401499862936
81,0.16,other,,,,0.6132963585223465,0.6132966370416858,0.004685282789739402,0.6086110757326066,0.007639508574660297,29,0.10379261454991998,2.8529351390808544
81,0.18,peak1,64,153,221,0.346846742666521,0.34684690342046237,0.09625511258747668,0.2505916300790442,0.27751482354274853,80,0.030263781913294638,4.0695079049213305
81,0.18,peak2,222,256,321,0.04603633343502542,0.04603635477160188,0.00880984011597383,0.03722649331905158,0.1913671106846037,51,0.038993606248258976,3.8667211709586304
81,0.18,other,,,,0.6071164604261262,0.6071167418079352,0.005197310558735954,0.6019191498673904,0.008560648405230254,29,0.10376956614762249,2.8551542692311416
