N,beta,site,p_full,p_peak1,p_peak2,p_peak3,p_other,p_yes,p_no
61,0.0,0,0.012653634805178747,0.012369091734843159,9.232833786936466e-05,0.0,0.0001922147324662232,0.0,0.012653634805178747
61,0.0,1,0.012237412519315583,0.011943629153220493,8.813433656090002e-05,0.0,0.00020564902953418957,0.0,0.012237412519315583
61,0.0,2,0.011534014245798717,0.011225065432615759,8.720245286268508e-05,0.0,0.00022174636032027287,0.0,0.011534014245798717
61,0.0,3,0.010605779565629784,0.010276782272916903,8.846470060791192e-05,0.0,0.0002405325921049692,0.0,0.010605779565629784
61,0.0,4,0.009525586085567809,0.00917271104443066,9.09803079610113e-05,0.0,0.000261894733176138,0.0,0.009525586085567809
61,0.0,5,0.008367944673330765,0.007988414881202511,9.394175296732624e-05,0.0,0.0002855880391609286,0.0,0.008367944673330765
61,0.0,6,0.00720145456855919,0.006793457395842908,9.66828320359144e-05,0.0,0.0003113143406803676,0.0,0.00720145456855919
61,0.0,7,0.006083705558618767,0.005645979294266787,9.868807018252338e-05,0.0,0.00033903819416945683,0.0,0.006083705558618767
61,0.0,8,0.005059578262247236,0.004589903053698357,9.960221014122899e-05,0.0,0.00037007299840765027,0.0,0.005059578262247236
61,0.0,9,0.004164482567336203,0.0036547765380033864,9.923852651464135e-05,0.0,0.0004104675028181752,0.0,0.004164482567336203
61,0.0,10,0.0034361617123908703,0.002858023795756964,9.758524027988325e-05,0.0,0.000480552676354023,0.0,0.0034361617123908703
61,0.0,11,0.002942921540627964,0.0022092748960617853,9.48101800157465e-05,0.0,0.0006388364645504323,0.0,0.002942921540627964
61,0.0,12,0.002841176014015796,0.0017163662113910084,9.126477724504755e-05,0.0,0.0010335450253797398,0.0,0.002841176014015796
61,0.0,13,0.0034731729932813383,0.0013923222651132292,8.748917114788557e-05,0.0,0.001993361557020224,0.0,0.0034731729932813383
61,0.0,14,0.005487784098215115,0.0012619518555768336,8.422031513515022e-05,0.0,0.0041416119275031315,0.0,0.005487784098215115
61,0.0,15,0.009893444666393416,0.0013656360421565403,8.240427752256373e-05,0.0,0.00844540434671431,0.0,0.009893444666393416
61,0.0,16,0.017859700358986104,0.0017569265824625153,8.321229976126688e-05,0.0,0.01601956147676232,0.0,0.017859700358986104
61,0.0,17,0.030108442083055686,0.002490689025559188,8.805769957418661e-05,0.0,0.027529695357922313,0.0,0.030108442083055686
61,0.0,18,0.04604789592109779,0.003600810889327779,9.8607693340893e-05,0.0,0.042348477338429114,0.0,0.04604789592109779
61,0.0,19,0.06327200199769802,0.005071274664367682,0.00011678120639828142,0.0,0.05808394612693206,0.0,0.06327200199769802
61,0.0,20,0.07808452243321867,0.006810259982019706,0.00014472147820068456,0.0,0.07112954097299828,0.0,0.07808452243321867
61,0.0,21,0.08696800473823729,0.008640630000439069,0.00018473158226179682,0.0,0.07814264315553644,0.0,0.08696800473823729
61,0.0,22,0.08807709092394012,0.010318017227711364,0.00023916263645633735,0.0,0.07751991105977242,0.0,0.08807709092394012
61,0.0,23,0.08182193378691441,0.011578375111626613,0.0003102489814758403,0.0,0.06993330969381195,0.0,0.08182193378691441
61,0.0,24,0.07035884910110621,0.012203330173514514,0.0003998919830951006,0.0,0.05775562694449659,0.0,0.07035884910110621
61,0.0,25,0.056509862757847494,0.012080823261264279,0.0005094037560096729,0.0,0.043919635740573545,0.0,0.056509862757847494
61,0.0,26,0.04277470347193378,0.011237284887177918,0.0006392327044937025,0.0,0.030898185880262153,0.0,0.04277470347193378
61,0.0,27,0.03080246440419517,0.009828088337141947,0.000788702427872855,0.0,0.020185673639180366,0.0,0.03080246440419517
61,0.0,28,0.021329980771613855,0.008090447012417033,0.000955802047182077,0.0,0.012283731712014745,0.0,0.021329980771613855
61,0.0,29,0.014400155860813727,0.006278086269754313,0.0011370673231742073,0.0,0.006985002267885206,0.0,0.014400155860813727
61,0.0,30,0.00965897694271468,0.004602176353971156,0.0013275866748482495,0.0,0.0037292139138952744,0.0,0.00965897694271468
61,0.0,31,0.006605123529264615,0.0031966128003329927,0.001521154124355854,0.0,0.0018873566045757685,0.0,0.006605123529264615
