g1,g2,phase,t1,t2,tv,sep_peaks,peak_ratio,valley_ratio,mass_tmax,survival_tmax
-0.9,-0.9,2,62,766,84,1.8051282051282052,0.1876886594465741,0.019179989008588017,0.5530960832364997,0.44690391676344854
-0.75,-0.9,2,66,770,92,1.7212713936430317,0.10963618831219356,0.01663190244041752,0.6173613195131642,0.3826386804867966
-0.6,-0.9,2,70,772,92,1.625,0.20564261934796363,0.11311800871172681,0.6258085447079896,0.37419145529197195
-0.45,-0.9,2,70,772,88,1.691566265060241,0.7863122327555955,0.31892844180775604,0.6327307505695317,0.3672692494304458
-0.3,-0.9,2,66,772,90,1.721951219512195,0.3088410900567028,0.05822955597189277,0.6330608841422924,0.36693911585767014
-0.15,-0.9,2,66,772,90,1.7053140096618358,0.13605636373060914,0.0679808734536546,0.6232819914354807,0.3767180085644966
0.0,-0.9,2,66,816,90,1.8159806295399517,0.16649386660495474,0.0817795827334356,0.5741870498646013,0.42581295013537435
0.15,-0.9,2,66,772,90,1.7177615571776155,0.6303507668938609,0.10907731148572966,0.5602290977151085,0.4397709022848659
0.3,-0.9,2,70,772,90,1.6956521739130435,0.4727283480536141,0.20145963874196438,0.5769740506238561,0.4230259493761004
0.45,-0.9,2,68,772,92,1.6183908045977011,0.15327679786266493,0.08410613657031575,0.5867499362516055,0.41325006374836815
0.6,-0.9,2,66,772,92,1.721951219512195,0.13367461546029025,0.024313239621843275,0.5958086708987695,0.4041913291011881
0.75,-0.9,2,62,774,86,1.8303341902313626,0.3974845627494132,0.0786734817419867,0.5792812387825712,0.42071876121738555
0.9,-0.9,2,78,592,94,1.2506082725060828,0.863722732069156,0.42385622287341673,0.5107564314676332,0.48924356853231077
-0.9,-0.75,2,66,806,78,1.712962962962963,0.8859317615650729,0.4583728494131197,0.5669666731454815,0.43303332685447454
-0.75,-0.75,2,74,522,100,1.103448275862069,0.2536966528857508,0.0851786776325224,0.5639196036410464,0.4360803963589196
-0.6,-0.75,2,80,524,112,1.1044776119402986,0.19733713550822798,0.07455609009648717,0.6049590083002241,0.3950409916997445
-0.45,-0.75,2,86,528,164,1.0303030303030303,0.4439069274957257,0.3190547060237357,0.6140129661555724,0.3859870338444119
-0.3,-0.75,2,76,528,106,1.1105651105651106,0.6513081552323902,0.24405592972105428,0.6163166773244554,0.3836833226755141
-0.15,-0.75,2,78,528,108,1.0344827586206897,0.23511455632086725,0.14772561347592558,0.6078863967034378,0.3921136032965469
0.0,-0.75,2,78,578,108,1.1494252873563218,0.2539334427655409,0.18497992398634677,0.5597412954863734,0.44025870451361016
