t,f_total,f_shortcut_no,f_shortcut_yes,survival,shortcut_share_inst,shortcut_share_cum
0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,0.0,1.0,0.0,0.0
2,0.0,0.0,0.0,1.0,0.0,0.0
3,0.0,0.0,0.0,1.0,0.0,0.0
4,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
5,0.0,0.0,0.0,1.0,0.0,0.0
6,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
7,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
8,3.1932336835758615e-14,0.0,3.1932336835758615e-14,0.999999999999968,1.0,1.0
9,5.223284099403964e-13,0.0,5.223284099403964e-13,0.9999999999994458,1.0,1.0
10,2.346694253429057e-12,0.0,2.346694253429057e-12,0.9999999999970993,1.0,1.0
11,6.239091663347396e-12,0.0,6.239091663347396e-12,0.9999999999908601,1.0,1.0
12,1.231584125429271e-11,0.0,1.231584125429271e-11,0.9999999999785442,1.0,1.0
13,2.0044228351496456e-11,0.0,2.0044228351496456e-11,0.9999999999585002,1.0,1.0
14,2.850560171640507e-11,0.0,2.850560171640507e-11,0.9999999999299944,1.0,1.0
15,3.671373689227875e-11,0.0,3.671373689227875e-11,0.9999999998932806,1.0,1.0
16,4.3829476909757627e-11,0.0,4.3829476909757627e-11,0.9999999998494513,1.0,1.0
17,4.928421658295538e-11,0.0,4.928421658295538e-11,0.999999999800167,1.0,1.0
18,5.2803399326459856e-11,0.0,5.2803399326459856e-11,0.9999999997473635,1.0,1.0
19,5.437031097830817e-11,0.0,5.437031097830817e-11,0.9999999996929932,1.0,1.0
20,5.415848687555171e-11,0.0,5.415848687555171e-11,0.9999999996388347,1.0,1.0
21,5.2458355775665865e-11,0.0,5.2458355775665865e-11,0.9999999995863764,1.0,1.0
22,4.961252206955658e-11,0.0,4.961252206955658e-11,0.9999999995367638,1.0,1.0
23,4.596650794487278e-11,0.0,4.596650794487278e-11,0.9999999994907977,1.0,1.0
24,4.1836014759363707e-11,0.0,4.1836014759363707e-11,0.9999999994489616,1.0,1.0
25,3.75301667007799e-11,4.1478796213946006e-14,3.748868790456596e-11,0.9999999994114314,0.9988947878504072,0.9999295260158807
26,3.8276924630887284e-11,5.139871802359938e-12,3.3137052828527346e-11,0.9999999993731543,0.8657187887500147,0.9917342506096896
27,1.5918134177841793e-10,1.3024219306630222e-10,2.893914871211572e-11,0.999999999213973,0.18179987923709873,0.8277113727786358
28,1.6067872521027741e-09,1.581783410846073e-09,2.50038412567012e-11,0.9999999976071857,0.015561388867119224,0.2823484629485446
29,1.213551281768003e-08,1.2114114335717219e-08,2.1398481962810853e-11,0.999999985471673,0.00176329441403051,0.04797565107253009
30,6.702711122535234e-08,6.700895394955014e-08,1.815727580218847e-11,0.9999999184445617,0.00027089450030364225,0.008769044075367093
31,2.9005797097331983e-07,2.9004268165818653e-07,1.5289315133311376e-11,0.9999996283865905,5.2711239349866794e-05,0.001965624843264996
