dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
1,False,Shortcut endpoints must be distinct.,,,,,,,,,,,,,,,,,
2,False,Invalid shortcut: dst=2 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
3,True,,0.9012782628100844,0.09872173718991302,5000,True,138,3.893505628424599e-06,140,4.327628153780049e-06,True,798,0.00038358593027019544,802,0.0003835896614549496,4,1.000009727115777,0.0003835225809206267,0.9998348496527907
4,True,,0.906604333487723,0.09339566651227516,5000,True,137,8.31504285989243e-06,139,9.244731868930609e-06,True,785,0.0007837702211739643,789,0.0007837597274701897,4,0.9999866112497119,0.0,0.0
5,True,,0.9117905876251425,0.08820941237485584,5000,True,128,4.567268974506295e-06,130,5.112975523376421e-06,True,732,0.00041763850913136046,736,0.0004176438903875006,4,1.0000128849615695,0.00038170124917695275,0.9139512780343149
6,True,,0.9167756837987754,0.08322431620122367,5000,True,129,8.732923263592908e-06,131,9.751709472090293e-06,True,747,0.0008179515879159612,751,0.0008179649953011048,4,1.0000163914164868,0.0,0.0
7,True,,0.921666057110717,0.07833394288928199,5000,True,116,4.580951315799819e-06,118,5.2003748698040846e-06,True,672,0.00045602797584101527,676,0.0004560211727537448,4,0.9999850818642039,0.0003750984359102094,0.8225460972461592
8,True,,0.9263777190109196,0.07362228098907904,5000,True,119,8.83937922975908e-06,121,9.93983191846878e-06,True,711,0.0008539635586089611,715,0.0008539793186997598,4,1.000018455226385,0.0,0.0
9,True,,0.930996808372575,0.06900319162742419,5000,True,106,5.03135304304631e-06,108,5.781907117957844e-06,True,610,0.0004997646689704242,614,0.0004997771613071278,4,1.0000249964382824,0.00036181702202801034,0.7239747915221724
10,True,,0.9354396115058231,0.0645603884941753,5000,True,109,9.3861399258862e-06,111,1.0639153161748474e-05,True,677,0.0008922561868682161,681,0.0008922380937238139,4,0.9999797220297617,0.0,0.0
11,True,,0.9397817700236994,0.06021822997629984,5000,True,98,6.248074719180844e-06,100,7.240770846145937e-06,True,554,0.0005500338585613243,558,0.0005500457892510791,4,1.0000216908278812,0.0003426541359388527,0.6229691692709669
12,True,,0.9439447784826496,0.05605522151734976,5000,True,99,1.0132387600904349e-05,101,1.1610720925628293e-05,True,635,0.0009331835346745841,639,0.0009332042729043103,4,1.0000222230986249,0.0,0.0
13,True,,0.9479963492036089,0.0520036507963902,5000,True,88,6.492339043296166e-06,90,7.668392528526774e-06,True,500,0.0006082357150744143,504,0.0006082567147227028,4,1.0000345255100416,0.00031616128841559596,0.5198005979917101
14,True,,0.9518647685902334,0.04813523140976579,5000,True,89,1.0797250974225443e-05,91,1.256516877358605e-05,True,597,0.000977334732904572,601,0.0009773186680409067,4,0.9999835625777695,0.0,0.0
15,True,,0.9556108092846285,0.04438919071537145,5000,True,80,7.726354753848178e-06,82,9.262626340889766e-06,True,452,0.0006761996440531608,456,0.0006761723229145325,4,0.9999595960470128,0.0002848500264108199,0.4212683908489769
16,True,,0.9591702016986,0.040829798301399114,5000,True,79,1.1064949368572889e-05,81,1.316270244550592e-05,True,551,0.0010253698463642056,555,0.001025399359897883,4,1.0000287833056354,0.0,0.0
17,True,,0.9625973470972725,0.037402652902727276,5000,True,72,8.95039567616877e-06,74,1.0941060349236795e-05,True,404,0.00075616020990979,408,0.0007561207804613604,4,0.9999478556952442,0.0002455042857606278,0.3246892455605162
18,True,,0.9658357099462018,0.03416429005379821,5000,True,71,1.3007104105388892e-05,73,1.5757437715884566e-05,True,505,0.0010785809509224358,509,0.0010786050468527526,4,1.0000223404004087,0.0,0.0
19,True,,0.968933779729996,0.031066220270004403,5000,True,64,9.968118526521145e-06,66,1.2511910045411471e-05,True,356,0.0008510528097053545,360,0.0008511041647302542,4,1.0000603429356134,0.0001982731573980893,0.2329739766287054
20,True,,0.9718428455679116,0.028157154432087883,5000,True,61,1.1671575965447544e-05,63,1.4757618531725905e-05,True,453,0.0011390768237514361,457,0.0011391221188412222,4,1.000039764736532,0.0,0.0
21,True,,0.974605933178383,0.025394066821616587,5000,True,56,1.0452496698601722e-05,58,1.3624426456760225e-05,True,316,0.0009649986507595468,320,0.0009649280827481914,4,0.9999268724248476,0.0001541132893559316,0.15971479337299913
22,True,,0.9771820967522706,0.022817903247729112,5000,True,55,1.5845104787606894e-05,57,2.0394472567073955e-05,True,395,0.0012112010228551874,399,0.0012112458977739742,4,1.0000370499346847,0.0,0.0
23,True,,0.9796093624270039,0.020390637572996112,5000,True,50,1.3716538957301005e-05,52,1.8344013250896798e-05,True,276,0.0011032765739219838,280,0.0011031783103488202,4,0.9999109347778371,0.00010815745586364608,0.0980416808860638
